Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Executive Engineer Bhoranj Division HP.PWD Bhoranj,Executive Engineer Bhoranj Division HP.PWD Bhoranj,"C.O library at Govt. Degree College Bhoranj Tarkawari District Hamirpur HP SH C.O building portion water supply and sanitary installation , septic tank RWH ete","C.O library at Govt. Degree College Bhoranj Tarkawari District Hamirpur HP SH C.O building portion water supply and sanitary installation , septic tank RWH ete",Please refer Tender documents. ,NA ,"78,80,252",Civil Works - Buildings,NA ,Tender,75.0,90.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,PWD,Letter No. 1919 dated 25-05-2022,2022_PWD_61577_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,57,700",Yes,fixed,,Nil,Nil,"2,000",Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form.,09-Jun-2022 01:00 PM,16-Jun-2022 11:30 AM,09-Jun-2022 01:00 PM,16-Jun-2022 10:30 AM,NA ,NA ,09-Jun-2022 01:00 PM,16-Jun-2022 10:30 AM,25-Jun-2022 11:30 AM,1.0,ICICI BANK,AOC,"Executive Engineer, Bhoranj Division HPPWD Bhoranj",Internal,Supdt.Gr.II HDM DAO A.E.,Arvind Lakhanpal,24-Jun-2022 01:23 PM,25-Jun-2022 11:30 AM,techsummary_92920.pdf (994.47 KB),PWD,2022_PWD_61577_1,Letter No. 1919 dated 25-05-2022,"C.O library at Govt. Degree College Bhoranj Tarkawari District Hamirpur HP SH C.O building portion water supply and sanitary installation , septic tank RWH ete",01-Dec-2022,"INR 8,023,127",90.0,Arvind Lakhanpal,01-Dec-2022 01:27 PM,57301.pdf (1515.00 KB),Work awarded to Sh. Ramesh Chand vide letter No. 7815-21 dt. 19.09.2022,Executive Engineer Bhoranj Division HP.PWD Bhoranj,Internal,"Supdt.Gr.-II, HDM, DAO, A.E.Bhoranj Sub Division",Arvind Lakhanpal,15-Jul-2022 10:19 AM,finsummary_92920.pdf (731.31 KB),Finance,BOQ summary attached,Arvind Lakhanpal,15-Jul-2022 10:17 AM,finance_92920.pdf,BOQ Comparative Chart,1.0,286779.0,Ramesh Chand Govt. Contractor,INR,"8,023,127",1.0,287074.0,Ambika Bhawani Constructions,15-Jun-2022 05:28 PM,Rejected-Finance,Document attached,15-Jul-2022 10:19 AM,Technical,Technical Bid summary attached,Arvind Lakhanpal,24-Jun-2022 01:21 PM,technical_92920.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,286878.0,MANU PAL GOVT CONT,16-Jun-2022 09:25 AM,Rejected-Finance,Document attached,15-Jul-2022 10:19 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration - REFER HPPWD-6 16(3).,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,286779.0,Ramesh Chand Govt. Contractor,15-Jun-2022 05:04 PM,Accepted-AOC,1st lowest,01-Dec-2022 01:27 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per Schedule F (Clause18 of GCC )",,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate not less than 40 percent of estimated cost on prescribed format,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 16,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
