Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er. Sushil Dhadwal,Internal,Sh.Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,04-Jun-2020 07:40 PM,finsummary_53329.pdf (470.33 KB),24-Dec-2022,"INR 2,365,095",365.0,Tarlok Dhiman,24-Dec-2022 07:36 PM,DTO.pdf (115.00 KB),SHRI ANUJ AGGARWAL,PWD,2020_PWD_36201_1,DTO 9462-9500,"Renovation of D.T.O. and Deputy Director Office building at Dharamshala, in District Kangra, (Himachal Pradesh)",Er S.K.Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,23-May-2020 02:56 PM,23-May-2020 03:00 PM,techsummary_53329.pdf (1003.30 KB),Finance,As per document attached,Tarlok Dhiman,23-May-2020 03:10 PM,finance_53329.pdf,BOQ Comparative Chart,1.0,156471.0,Anuj,INR,"2,365,095",Technical,As per document attached,Sushil Kumar Dhadwal,28-Apr-2020 01:07 PM,technical_53329.pdf,1.0,156471.0,Anuj,25-Mar-2020 08:21 PM,Accepted-AOC,L1,24-Dec-2022 07:37 PM,AOC,PWD,DTO 9462-9500,2020_PWD_36201_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,EE Dharamshala,Dharamshala,No,13-Mar-2020 10:00 AM,27-Mar-2020 11:30 AM,13-Mar-2020 10:00 AM,26-Mar-2020 05:00 PM,NA ,NA ,13-Mar-2020 10:00 AM,26-Mar-2020 05:00 PM,23-May-2020 03:00 PM,Executive Engineer,Executive Engineer HP PWD Dharamshala,1.0,corg,Terms and Conditions,,1.0,DD - Demand Draft,"44,510",No,fixed,,EE Dharamshala,Dharamshala,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),"Renovation of D.T.O. and Deputy Director Office building at Dharamshala, in District Kangra, (Himachal Pradesh)","Sub Head-Providing and Laying Tiles flooring, Cabin, Prepainted sheet, aluminium work and steel benches",Please refer Tender documents. ,NA ,"24,67,166",Civil Works - Buildings,NA ,Tender,120.0,365.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,156472.0,PARDEEP KUMAR,25-Mar-2020 08:22 PM,Rejected-Finance,L2,04-Jun-2020 07:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,Earnest Money (Indicated in schedule F),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper (General rule 26.7),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number(EPF Number),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
