S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,202521.0,Mayank Mahajan,INR,"360,870",Finance,BOS,Jeet Singh Thakur,18-Sep-2021 04:18 PM,finance_67426.pdf,BOQ Comparative Chart,Technical,BOS,Jeet Singh Thakur,19-Mar-2021 07:12 PM,technical_67426.pdf,1.0,202521.0,Mayank Mahajan,09-Mar-2021 02:04 PM,Accepted-AOC,L1,18-Sep-2021 04:25 PM,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,18-Sep-2021 04:22 PM,finsummary_67426.pdf (373.32 KB),18-Sep-2021,"INR 130,056",30.0,Jeet Singh Thakur,18-Sep-2021 04:25 PM,3.AOC586.pdf (1235.00 KB),Imp. of blackspot on various roads under Chamba Sub Division No-II (Supply of informatory/ cautionary sign board,PWD,2021_PWD_44900_2,No. PWC-WA- 14348-447 dated 17.2.2021,Imp. of blackspot on various roads under Chamba Sub Division No-II (Supply of informatory/ cautionary sign board,Executive Engineer,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,19-Mar-2021 07:20 PM,24-Mar-2021 11:30 AM,techsummary_67426.pdf (285.75 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form in shape of Demand Draft,Executive Engineer Chamba Division HPPWD. Chamba,Executive Engineer Chamba Division HPPWD. Chamba,"2,650",No,fixed,,Executive Engineer Chamba Division HPPWD. Chamba,Chamba,350.0,Executive Engineer Chamba Division HPPWD. Chamba,Chamba,No,27-Feb-2021 03:00 PM,10-Mar-2021 11:30 AM,27-Feb-2021 03:00 PM,09-Mar-2021 05:00 PM,NA ,NA ,27-Feb-2021 03:00 PM,09-Mar-2021 05:00 PM,24-Mar-2021 11:30 AM,PWD,No. PWC-WA- 14348-447 dated 17.2.2021,2021_PWD_44900_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Imp. of blackspot on various roads under Chamba Sub Division No-II (Supply of informatory/ cautionary sign board,Imp. of blackspot on various roads under Chamba Sub Division No-II (Supply of informatory/ cautionary sign board,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,30.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD. Chamba,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,202375.0,Tahir Malik Allied Services,08-Mar-2021 08:33 PM,Rejected-AOC,L3,18-Sep-2021 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest Money in shape of FDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,202477.0,WALIA CONSTRUCTIONS,09-Mar-2021 12:54 PM,Rejected-AOC,L2,18-Sep-2021 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration ( Refer General Rule No.23 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Form HPPWD 7/ 8 ,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand/ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Detail of Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
