Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Technical bid opening summary,Dinesh Kumar Dhiman,17-Jul-2021 06:08 PM,technical_73175.pdf,1.0,219203.0,M/S Surjeet Singh Govt. Contractor,29-Jun-2021 11:33 AM,Accepted-AOC,Work awarded being lowest bid amount,30-Sep-2021 04:24 PM,Finance,Financial bid opening summary,Dinesh Kumar Dhiman,30-Sep-2021 03:55 PM,finance_73175.pdf,BOQ Comparative Chart,1.0,219203.0,M/S Surjeet Singh Govt. Contractor,INR,"1,388,975",EE Dehra,Internal,AE to EE Dehra DAO Dehra DHD Dehra Superintendent Dehra,Dinesh Kumar Dhiman,30-Sep-2021 03:57 PM,finsummary_73175.pdf (189.38 KB),30-Sep-2021,"INR 1,388,975",30.0,Dinesh Kumar Dhiman,30-Sep-2021 04:24 PM,Award-48824-2.pdf (617.00 KB),Letter of award issued in favour of lowest contractor,PWD,2021_PWD_48824_2,EE Dehra letter No.1586-90 dated 02.06.21,Restoration of rain damages on various roads under HPPWD Sub-Division Dehra,Er Dinesh Kumar Dhiman EE,Internal,Er Raghubir Singh AE to EE Sh Dalip Jha DAO Sh Rajneesh Kumar Superintendent Smt Sushma Sharma DHD,Dinesh Kumar Dhiman,17-Jul-2021 06:10 PM,19-Jul-2021 10:30 AM,techsummary_73175.pdf (371.82 KB),AOC,PWD,EE Dehra letter No.1586-90 dated 02.06.21,2021_PWD_48824_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,500.0,Nil,Nil,No,"23,300",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of receipt online payment on account of cost of tender form and earnest money,Executive Engineer,Dehra Division HPPWD Dehra,Restoration of rain damages on various roads under HPPWD Sub-Division Dehra,P/L Cement concrete pavement at various roads(Section Sunhet),Please refer to tender document ,NA ,,Civil Works - Roads,Repair of road ,Tender,75.0,30.0,Section Sunhet,177104.0,NA ,NA ,NA ,Dehra,No ,No,22-Jun-2021 10:00 AM,30-Jun-2021 11:30 AM,22-Jun-2021 10:00 AM,29-Jun-2021 06:00 PM,22-Jun-2021 10:00 AM ,24-Jun-2021 04:00 PM ,22-Jun-2021 10:00 AM,29-Jun-2021 06:00 PM,19-Jul-2021 10:30 AM,AOC
,,,,,2.0,220171.0,Suresh Rana,29-Jun-2021 01:40 PM,Rejected-AOC,Rejected being highest bid amount,30-Sep-2021 04:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,.pdf,Copy of valid enlistment in appropriate class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,219823.0,VISHAL DHIMAN GOVT CONTRACTOR,29-Jun-2021 08:45 AM,Rejected-AOC,Rejected being highest bid amount,30-Sep-2021 04:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery tool and Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding all the Information furnished with the bid are correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit with declaration that he has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
