Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
PWD,SE9th Circle Nurpur No.605-09 dated 04.05.2021,2021_PWD_48460_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,14-Jun-2021 10:00 AM,29-Jun-2021 11:30 AM,14-Jun-2021 10:00 AM,28-Jun-2021 05:00 PM,14-Jun-2021 10:00 AM ,18-Jun-2021 02:00 PM ,14-Jun-2021 10:00 AM,28-Jun-2021 05:00 PM,12-Jul-2021 10:30 AM,"18,42,000",No,fixed,,Nil,Nil,1.0,Corrigendum,Other,,"5,000",Nil,Nil,No,1.0,ICICI BANK,Superintending Engineer,"9th Circle, HPPWD Nurpur",1.0,Fee/PreQual/Technical,.pdf,Copy of online payment on account of cost of tender form and Earnest money,Construction of 82.50 mtr. span prestressed concrete Box Girder Bridge over Nand Nallah at RD 3/010 including Approaches on Guler Nandpur road in Km. 0/0 to 5/135,"Construction of Sub-Structure, super structure alongwith approaches) under NABARD-XXVI)",Please refer to tender document ,NA ,,Civil Works - Bridges,C/O Bridge ,Tender,120.0,548.0,Guler,176033.0,NA ,NA ,NA ,Nurpur,No ,No,AOC,PWD,2021_PWD_48460_1,SE9th Circle Nurpur No.605-09 dated 04.05.2021,Construction of 82.50 mtr. span prestressed concrete Box Girder Bridge over Nand Nallah at RD 3/010 including Approaches on Guler Nandpur road in Km. 0/0 to 5/135,SE Nurpur,Internal,EE Design Nurpur EE Dehra Divisional Accounts Officer Dehra,Jagtar Singh Thakur,06-Jul-2021 04:34 PM,12-Jul-2021 10:30 AM,techsummary_72637.pdf (9029.78 KB),SE nurpur,Internal,DAO DehraEE DehraEE D NurpurSE Nurpur,Sushil Kumar Dhadwal,17-Sep-2021 05:15 PM,finsummary_72637.pdf (88.68 KB),17-Sep-2021,"INR 79,900,000",548.0,Sushil Kumar Dhadwal,17-Sep-2021 05:19 PM,AwardLetter.pdf (462.00 KB),Letter of award issued to the lowest contractor Sh VP Sharma,1.0,218798.0,Ajay Kumar Sharma,28-Jun-2021 02:21 PM,Rejected-Finance,Not lowest bidder,17-Sep-2021 05:15 PM,Technical,Bid Opening summary,Jagtar Singh Thakur,06-Jul-2021 04:25 PM,technical_72637.pdf,1.0,219517.0,VP SHARMA,INR,"79,900,000",Finance,Divisional Account Officer Executive Engineer HPPWD Div Dehra Executive Engineer D Nurpur S.E. HPPWD Nurpur,Sushil Kumar Dhadwal,17-Sep-2021 05:11 PM,finance_72637.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum,Technical Bid,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,Financial turn over alongwith Report of CA for the last five years,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,218903.0,M.S JAGDISH CHAND GUPTA,27-Jun-2021 02:01 PM,Rejected-Finance,Not lowest bidder,17-Sep-2021 05:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate from Bank for availability of liquid credit facility,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,218577.0,V K Gupta and Associates,28-Jun-2021 04:12 PM,Rejected-Finance,Not lowest bidder,17-Sep-2021 05:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand detail duly signed by the competent authority,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,219517.0,VP SHARMA,28-Jun-2021 12:53 PM,Accepted-AOC,Lowest Bidder,17-Sep-2021 05:19 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done of similar nature as per general instruction No.55,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Contractor Registration,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of having technical personnel,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annexure-V of bidding document duly filled,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
