Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Er IS UTTAM,Internal,"mast ram rana ee D, suresh kumar ee, suraj parkash, saroj supdt",Ankit Kumar,28-Aug-2021 11:08 AM,finsummary_69470.pdf (195.86 KB),06-Sep-2021,"INR 41,725,509",365.0,Suresh Kumar Walia,15-Sep-2021 12:29 PM,Award.pdf (223.00 KB),Award,PWD,2021_PWD_46181_5,NABARD XXVI 2021,Construction of road from Malan to Gujrehra Pathiar and Sakhrehar Km 0/0000 to 6/785 Under (NABARD) RIDF-XXVI in District Kangra (HP),IS UTTAM,Internal,"mast ram rana ee D, suresh kumar ee, suraj parkash, saroj supdt",Suresh Kumar Walia,24-May-2021 04:52 PM,28-May-2021 11:30 AM,techsummary_69470.pdf (553.59 KB),1.0,208856.0,Rohit,INR,"41,725,509",Finance,Sum,Ankit Kumar,28-Aug-2021 11:04 AM,finance_69470.pdf,BOQ Comparative Chart,Technical,Sum,Suresh Kumar Walia,24-May-2021 03:42 PM,technical_69470.pdf,1.0,208491.0,Chamunda Construction Works,20-Apr-2021 10:46 AM,Rejected-Finance,Lowest 2,28-Aug-2021 11:08 AM,AOC,Superintending Engineer,SE 5th Circle HP PWD Palampur,1.0,ICICI BANK,"5,000",Nil,Nil,No,05-Apr-2021 01:00 PM,21-Apr-2021 11:00 AM,05-Apr-2021 01:00 PM,20-Apr-2021 03:00 PM,NA ,NA ,05-Apr-2021 01:00 PM,20-Apr-2021 03:00 PM,28-May-2021 11:30 AM,Construction of road from Malan to Gujrehra Pathiar and Sakhrehar Km 0/0000 to 6/785 Under (NABARD) RIDF-XXVI in District Kangra (HP),"FC, passing places, C/O R/walls, C/O CD work, P/L GSB, WBM-II, WBM-III Tarring work, construction of Side drain and parapets etc including routine maintenance for five year after completion of construction work).",Please refer Tender documents. ,NA ,"5,01,64,830",Civil Works - Roads,NA ,Tender,120.0,365.0,TANDA,176002.0,NA ,NA ,NA ,SE 5th Circle HP PWD Palampur,No ,No,"10,04,000",No,fixed,,Nil,Nil,PWD,NABARD XXVI 2021,2021_PWD_46181_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section-6.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,208780.0,Navneet Thakur,20-Apr-2021 01:11 PM,Rejected-Finance,Lowest 4,28-Aug-2021 11:08 AM,AOC,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No-3,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,208856.0,Rohit,20-Apr-2021 02:02 PM,Accepted-AOC,lowest 1,15-Sep-2021 12:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,208753.0,Ujjawal Singh,20-Apr-2021 01:52 PM,Rejected-Technical,Not Fulfill criteria,24-May-2021 04:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,208755.0,VP SHARMA,19-Apr-2021 02:21 PM,Rejected-Finance,Lowest 3,28-Aug-2021 11:08 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.3.1), (1.3.2) (1.3.3)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.4), (1.5)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.2), (1.7)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.6), (1.8), (1.9), (1.10)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section-2 Cl(4.2,4.4 -A and B)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Others documents i.e. GST, PAN, EPF etc.",AOC
