Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"Executive Engineer, Theog Division, HPPWD",Internal,"Lekh Ram Shandil, Head D/man, Jia Lal D/man",Vijay Kumar Chauhan,02-Sep-2021 04:41 PM,finsummary_70112.pdf (414.84 KB),02-Sep-2021,"INR 841,615",60.0,Vijay Kumar Chauhan,02-Sep-2021 04:47 PM,Award.pdf (496.00 KB),Award letter,PWD,2021_PWD_46657_2,PW.THD/CB-tender/2021-1-12,Repair and maintenance of link road from Kargoli Nallah Deha,"Er.Vijay Chauhan, Executive Engineer",Internal,"L.R. Shandil, HDM, Satya Pal, Supdt. Leela Verma, Sr. Asstt.",Shakti Kumar Negi,10-May-2021 11:20 AM,11-May-2021 11:00 AM,techsummary_70112.pdf (482.06 KB),Finance,Financial Summary,Vijay Kumar Chauhan,11-May-2021 02:31 PM,finance_70112.pdf,BOQ Comparative Chart,1.0,210009.0,SANDEEP THAKUR,INR,"500,160",Technical,Bid opening summary,Vijay Kumar Chauhan,28-Apr-2021 02:52 PM,technical_70112.pdf,1.0,210021.0,Akhil Chauhan,26-Apr-2021 04:50 PM,Rejected-Finance,Higher rate,02-Sep-2021 04:41 PM,AOC,Repair and maintenance of link road from Kargoli Nallah Deha,ROFD in km 6.680 to 6.745 and 7.020 to 7.450,Please refer Tender documents. ,NA ,"6,30,333",Civil Works - Roads,NA ,Tender,60.0,60.0,Theog Tehsil Theog Distt. Shimla,171201.0,NA ,NA ,NA ,Theog Division,No ,No,350.0,EE Theog,Theog,No,"13,000",No,fixed,,EE Theog,Theog,Executive Engineer,"Theog Division, H.P.P.W.D.,Theog",1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender for (As per Schedule-F 6.3),19-Apr-2021 03:00 PM,27-Apr-2021 11:30 AM,19-Apr-2021 06:00 PM,26-Apr-2021 06:00 PM,NA ,NA ,19-Apr-2021 06:00 PM,26-Apr-2021 06:00 PM,11-May-2021 11:00 AM,PWD,PW.THD/CB-tender/2021-1-12,2021_PWD_46657_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,209822.0,Anil Kumar,24-Apr-2021 12:53 PM,Rejected-Finance,Being higher rates,02-Sep-2021 04:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money deposit (As Schedule-F 6.5.) duly pledged in favour of E.E. Thoeg Division,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,209728.0,Mohar Singh Suman,23-Apr-2021 04:57 PM,Rejected-Finance,Being higher rates,02-Sep-2021 04:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule-23,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,209996.0,Rakesh Kashyap,26-Apr-2021 03:48 PM,Rejected-Finance,being higher rates,02-Sep-2021 04:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (Refer General Rule-21).,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,210009.0,SANDEEP THAKUR,26-Apr-2021 04:33 PM,Accepted-AOC,Work awarded,02-Sep-2021 04:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate (As per Performa given in General Rule No-19) countersigned by EE,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,209979.0,Yashwant.construction,26-Apr-2021 03:51 PM,Rejected-Finance,Being higher rates,02-Sep-2021 04:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants (as per Schedule-F with reference to clause-18).",,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-8 (refer General Rule No-26.7),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,AOC
