Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
C/O Dochi Bari Markandli Road Km 0/0 to 4/0,"SH P/L Kharanja Soling at various RDs and C/o Breast wall at RD 0/260 to 0/280,0/305 to 0/330",Please refer Tender documents. ,NA ,"9,95,277",Civil Works - Roads,NA ,Tender,120.0,60.0,JUBBAL,171205.0,NA ,NA ,NA ,Jubbal,No ,No,17-Aug-2021 11:00 AM,25-Aug-2021 11:30 AM,17-Aug-2021 11:00 AM,24-Aug-2021 06:00 PM,NA ,NA ,17-Aug-2021 11:00 AM,24-Aug-2021 06:00 PM,04-Sep-2021 12:55 PM,350.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender as per Tender Document,"19,900",No,fixed,,Nil,Nil,PWD,PW-JD/E-Tender/2021-22 -4419-21 DT. 13.8.2021,2021_PWD_51287_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer Jubbal,HPPWD JUBBAL,AOC,Executive Engineer,Internal,Tender Assistant Supdt Supdt PMGSY HDM,Tarsem Singh,04-Sep-2021 12:52 PM,04-Sep-2021 12:55 PM,techsummary_76644.pdf (375.65 KB),PWD,2021_PWD_51287_3,PW-JD/E-Tender/2021-22 -4419-21 DT. 13.8.2021,C/O Dochi Bari Markandli Road Km 0/0 to 4/0,15-Sep-2021,"INR 999,815",60.0,Tarsem Singh,15-Sep-2021 01:28 PM,84.pdf (603.00 KB),Work awared to lowest rates contractor Sh. Dev Khimta,Er. Ram Singh Thakur,Internal,,Prem Pal Sharma,15-Sep-2021 11:40 AM,finsummary_76644.pdf (616.85 KB),1.0,231888.0,Bal Krishan,24-Aug-2021 11:36 AM,Rejected-AOC,L2,15-Sep-2021 01:28 PM,1.0,Tender Revocation,Tender Revocation due to technical reasons,15-Sep-2021 11:29 AM,revok.pdf ,139.08,Financial Opening,Technical,2 no bids received,Tarsem Singh,04-Sep-2021 12:50 PM,technical_76644.pdf,1.0,231893.0,Dev Khimta,INR,"999,815",Finance,Financial Bid Opening Summary,Prem Pal Sharma,15-Sep-2021 11:39 AM,finance_76644.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,The Earnest Money as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,231893.0,Dev Khimta,24-Aug-2021 12:07 PM,Accepted-AOC,L1,15-Sep-2021 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
