Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,BOS,Chaman Singh,19-Jun-2021 05:51 PM,technical_72236.pdf,1.0,216906.0,Abhishek Gupta,14-Jun-2021 05:59 PM,Rejected-AOC,Not found lowest,03-Sep-2021 11:24 AM,Finance,FBOS,Chaman Singh,03-Sep-2021 11:16 AM,finance_72236.pdf,BOQ Comparative Chart,1.0,216946.0,Puran Mal Mahajan,INR,"2,399,816",03-Sep-2021,"INR 2,399,816",90.0,Chaman Singh,03-Sep-2021 11:24 AM,AOCPandarTattapani11to13.pdf (1394.00 KB),AOC issued after negotiaiton,Er. D.R. Chauhan Executive Engineer,Internal,Sh. Sushil Kumar DAO GR-I Sh. Amar Singh HDM Sh. Rattan Lal Supdt.,Chaman Singh,03-Sep-2021 11:21 AM,finsummary_72236.pdf (1394.08 KB),Er. D.R. Chauhan Executive Engineer,Internal,Hitesh Sharma A.E. Member Sushil Kumar DAO GR-I Member Amar Singh HDM Member Rattan Lal Supdt Member,Chaman Singh,19-Jun-2021 06:34 PM,21-Jun-2021 11:00 AM,techsummary_72236.pdf (587.27 KB),PWD,2021_PWD_48187_1,PW-SNR-CB-E-Tender/20- 1482-93 dt. 21.05.2021,Annual Surfacing on Pandar Tattapani road (VR) KM 11.0 to 13.0,AOC,PWD,PW-SNR-CB-E-Tender/20- 1482-93 dt. 21.05.2021,2021_PWD_48187_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,500.0,EE Sundernagar,Sundernagar,No,Annual Surfacing on Pandar Tattapani road (VR) KM 11.0 to 13.0,"SH Providing and laying renewal coat with 2Cm thick premix carpet including profile correction layer, V-shape drain in Km 11.0 to 13.0",As per bid document ,NA ,"15,84,243",Civil Works - Roads,Tarring ,Tender,120.0,90.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,07-Jun-2021 09:00 AM,15-Jun-2021 11:00 AM,07-Jun-2021 09:00 AM,15-Jun-2021 10:00 AM,NA ,NA ,07-Jun-2021 09:00 AM,15-Jun-2021 10:00 AM,21-Jun-2021 11:00 AM,1.0,ICICI BANK,Executive Engineer,O/O Executive Engineer Sunder Nagar Division HPPWD,"32,000",No,fixed,,EE Sundernagar,Sundernagar,AOC
,,,,,2.0,216946.0,Puran Mal Mahajan,14-Jun-2021 09:35 PM,Accepted-AOC,Being lowest,03-Sep-2021 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Latest ITR Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
