Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
02-Sep-2021,"INR 700,787",30.0,Arvind Chaudhary,03-Sep-2021 02:09 PM,Awardletter.pdf (894.00 KB),Awardletter,"Er. Rajesh Kumar,E.E.",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Rajesh Kumar,17-Aug-2021 06:49 PM,finsummary_74838.pdf (622.63 KB),"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Rajesh Kumar,12-Aug-2021 01:36 PM,13-Aug-2021 10:00 AM,techsummary_74838.pdf (2039.54 KB),PWD,2021_PWD_50024_1,Job 8 Construction of Link Road from Una Basoli Ro,"Job 8 Construction of Link Road from Una Basoli Road to PGI satellite Centre Una, Distt. Una Sub Head P.L Earth work in cutting Balance work DC Deposit Work",Finance,Proceedingregardingopeningoffinancialbids,Rajesh Kumar,17-Aug-2021 04:22 PM,finance_74838.pdf,BOQ Comparative Chart,1.0,225541.0,Suresh Kumar Govt Contractor,INR,"494,964",Technical,TechnicalBidOpeningSummary,Rajesh Kumar,30-Jul-2021 08:18 PM,technical_74838.pdf,1,225867,Ajay Kumar Govt Contractor,28-Jul-2021 08:39 AM,Rejected-AOC,ok,03-Sep-2021 02:09 PM,AOC,21-Jul-2021 10:00 AM,28-Jul-2021 11:00 AM,21-Jul-2021 10:00 AM,28-Jul-2021 09:00 AM,NA ,NA ,21-Jul-2021 10:00 AM,28-Jul-2021 09:00 AM,13-Aug-2021 10:00 AM,"14,100",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),PWD,Job 8 Construction of Link Road from Una Basoli Ro,2021_PWD_50024_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,1.0,FDR - Fixed Deposit,"Job 8 Construction of Link Road from Una Basoli Road to PGI satellite Centre Una, Distt. Una Sub Head P.L Earth work in cutting Balance work DC Deposit Work","Job 8 Construction of Link Road from Una Basoli Road to PGI satellite Centre Una, Distt. Una Sub Head P.L Earth work in cutting Balance work DC Deposit Work",Please refer to Bidding Documents ,NA ,"7,00,787",Civil Works - Roads,NA ,Tender,75.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,225735,ANKIT SHARMA,27-Jul-2021 07:23 PM,Rejected-AOC,ok,03-Sep-2021 02:09 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,225576,Ashwani Kumar,28-Jul-2021 12:53 AM,Rejected-AOC,ok,03-Sep-2021 02:09 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,225857,Ashwani Kumar,27-Jul-2021 10:43 PM,Rejected-AOC,ok,03-Sep-2021 02:09 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,225810,Charanjeet Singh Govt Contractor,27-Jul-2021 06:51 PM,Rejected-AOC,ok,03-Sep-2021 02:09 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,225607,Chetan Chabba,27-Jul-2021 01:39 PM,Rejected-AOC,ok,03-Sep-2021 02:09 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,225766,Dharminde Singh Govt Contractor,27-Jul-2021 11:26 PM,Rejected-AOC,ok,03-Sep-2021 02:09 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,225744,Lalit Kumar Govt Contractor,27-Jul-2021 04:31 PM,Rejected-AOC,ok,03-Sep-2021 02:09 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,225835,Manoj Kumar,27-Jul-2021 09:04 PM,Rejected-AOC,ok,03-Sep-2021 02:09 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,225580,Nitish Thakur,26-Jul-2021 11:02 PM,Rejected-AOC,ok,03-Sep-2021 02:09 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
