S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,ICICI BANK,350.0,Nil,Nil,Yes,"18,000",Yes,fixed,,Nil,Nil,12-May-2021 09:00 AM,24-May-2021 11:30 AM,12-May-2021 09:00 AM,24-May-2021 10:30 AM,NA ,NA ,12-May-2021 09:00 AM,24-May-2021 10:30 AM,30-Jun-2021 11:30 AM,"Executive Engineer, Bhoranj Division, HP.PWD., Bho","Executive Engineer Bhoranj Division, HP.PWD., Bhoranj",PWD,C/O link road to Harizan Basti Paplah Job.12,2021_PWD_47396_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form.,C.O link road to Harizan Basti Paplah Km 0.0 to 1.500 S- C.o R.wall at RD 0.947 to 0.965 and soling wearing tarring at RD 0.945 to 1.100,C.O link road to Harizan Basti Paplah Km 0.0 to 1.500 S- C.o R.wall at RD 0.947 to 0.965 and soling wearing tarring at RD 0.945 to 1.100,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,75.0,90.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,AOC,1.0,213352.0,Jyoti Parmar,INR,"597,318",Finance,Summary attached,Virender Singh Guleria,20-Jul-2021 01:33 PM,finance_71158.pdf,BOQ Comparative Chart,1.0,213270.0,AMITABH THAUR,22-May-2021 02:21 PM,Rejected-AOC,Accept,25-Sep-2021 01:31 PM,Technical,Summary attached,Virender Singh Guleria,26-Jun-2021 05:00 PM,None,"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt. HDM, DAO, A.E.Samirpur Sub Division",Virender Singh Guleria,26-Jun-2021 05:02 PM,30-Jun-2021 11:30 AM,techsummary_71158.pdf (1038.07 KB),PWD,2021_PWD_47396_1,C/O link road to Harizan Basti Paplah Job.12,C.O link road to Harizan Basti Paplah Km 0.0 to 1.500 S- C.o R.wall at RD 0.947 to 0.965 and soling wearing tarring at RD 0.945 to 1.100,25-Sep-2021,"INR 597,318",90.0,Virender Singh Guleria,25-Sep-2021 01:31 PM,2021_PWD_47396_1.PDF (1083.00 KB),Award letter attached,"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt. HDM, DAO, A.E.Samirpur Sub Division",Virender Singh Guleria,20-Jul-2021 01:36 PM,finsummary_71158.pdf (781.78 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,213352.0,Jyoti Parmar,23-May-2021 03:10 PM,Accepted-AOC,Accept,25-Sep-2021 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration - REFER HPPWD-6 16(3).,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per Gen Rules 25 and Schedule F Sr. No.6",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate not less than 40 percent of estimated cost on prescribed format,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 16,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
