Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,05-Apr-2021 06:00 PM,12-Apr-2021 11:30 AM,05-Apr-2021 06:00 PM,12-Apr-2021 10:00 AM,NA ,NA ,05-Apr-2021 06:00 PM,12-Apr-2021 10:00 AM,12-May-2021 01:55 PM,"14,900",No,fixed,,Nil,Nil,EE Hamirpur,Executive Engineer HPPWD Hamirpur,350.0,Nil,Nil,No,Construction of retaining wall to protect the existing Playground at Govt. Sr. Secondary School Matani at RD 0/0 to 0/029,Construction of retaining wall to protect the existing Playground at Govt. Sr.Secondary School Matani at RD 0/0 to 0/029,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,ICICI BANK,PWD,C/O R/W the existing Playground at GSSS Matani,2021_PWD_46215_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,1.0,208021.0,GULSHAN KUMAR,INR,"899,419.13",Finance,Attached,Vivek Sharma,28-Sep-2021 08:34 PM,finance_69497.pdf,BOQ Comparative Chart,1.0,207766.0,AMAN SHARMA GOVT.CONTRACTOR,08-Apr-2021 12:54 PM,Rejected-Finance,l3,28-Sep-2021 08:44 PM,Technical,Attached,Vivek Sharma,03-May-2021 08:21 AM,technical_69497.pdf,PWD,2021_PWD_46215_1,C/O R/W the existing Playground at GSSS Matani,Construction of retaining wall to protect the existing Playground at Govt. Sr. Secondary School Matani at RD 0/0 to 0/029,EE Hamirpur,Internal,SupdtHDMSupdtAB,Dev Raj,12-May-2021 01:50 PM,12-May-2021 01:55 PM,techsummary_69497.pdf (1776.15 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,28-Sep-2021 08:44 PM,finsummary_69497.pdf (663.40 KB),28-Sep-2021,"INR 899,419",30.0,Vivek Sharma,28-Sep-2021 08:46 PM,AwardMatanif.pdf (881.00 KB),Award letter,AOC
,,.pdf,Work in hand Certificate AS PER SBD GENERAL RULES AND DIRECTIONS-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,208144.0,ashok Thakur,12-Apr-2021 07:37 AM,Rejected-Finance,l4,28-Sep-2021 08:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,208021.0,GULSHAN KUMAR,09-Apr-2021 05:47 PM,Accepted-AOC,l1,28-Sep-2021 08:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,208042.0,hoshiar singh govt contractor,10-Apr-2021 10:57 AM,Rejected-Finance,l2,28-Sep-2021 08:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST and EPF Registration and GST and EPF Clearness latest statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,208025.0,SATISH KUMAR SHARMA,09-Apr-2021 08:25 PM,Rejected-Finance,l5,28-Sep-2021 08:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Detail of machinery as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
