Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Attached,Vivek Sharma,17-Jun-2021 03:13 PM,technical_71774.pdf,1.0,Corrigendum,Corrigendum,17-Jun-2021 12:42 PM,ReEvaluation.pdf ,974.31,Technical Opening,1.0,214615.0,MOHINDER PAL GOVT. CONTRACTOR,03-Jun-2021 02:31 PM,Rejected-AOC,l2,22-Sep-2021 07:44 AM,Finance,Attached,Vivek Sharma,06-Jul-2021 06:45 AM,finance_71774.pdf,BOQ Comparative Chart,1.0,214829.0,MSC Roads and Bridges Private Limited,INR,"6,591,529.26",EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,06-Jul-2021 06:54 AM,finsummary_71774.pdf (828.13 KB),22-Sep-2021,"INR 6,591,529",30.0,Vivek Sharma,22-Sep-2021 07:44 AM,Award3SubDiv..pdf (1391.00 KB),Award Letter,PWD,2021_PWD_47872_1,AMP on Matani to Sastar road km 0/0 to 3/260,Annual maintenance Plan for the year 2021-2022 of PMGSY road under Hamirpur/Lambloo/Nadaun Sub Division (i) AMP on Matani to Sastar road km 0/0 to 3/260 (VR044),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,17-Jun-2021 03:21 PM,17-Jun-2021 03:25 PM,techsummary_71774.pdf (856.58 KB),AOC,EE Hamirpur,Executive Engineer HPPWD Hamirpur,PWD,AMP on Matani to Sastar road km 0/0 to 3/260,2021_PWD_47872_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,28-May-2021 06:00 PM,04-Jun-2021 11:30 AM,28-May-2021 06:00 PM,04-Jun-2021 10:30 AM,NA ,NA ,28-May-2021 06:00 PM,04-Jun-2021 10:30 AM,17-Jun-2021 03:25 PM,Annual maintenance Plan for the year 2021-2022 of PMGSY road under Hamirpur/Lambloo/Nadaun Sub Division (i) AMP on Matani to Sastar road km 0/0 to 3/260 (VR044),(ii) AMP on Link road to village Lingwin km 1/0 to 3/260 (VR038). (iii) AMP on Patta Jalari to Mann km 3/0 to 3/330 (VR0092). (iv) AMP on Lambloo Sikander road via Jhatwar km 0/0 to 1/0 (VR065). (SH P/L 30mm thick Bituminous Concrete 80mm thick,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,"1,06,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,"2,000",Nil,Nil,No,AOC
,,,,,,,,,,,,2.0,214846.0,M/S BHAGWATI CONSTRUCTION CO.,03-Jun-2021 06:53 PM,Rejected-AOC,l3,22-Sep-2021 07:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate AS PER SBD GENERAL RULES AND DIRECTIONS-16 SIMILAR WORK DONE 40 PERSENT,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,,,,,,,,3.0,214829.0,MSC Roads and Bridges Private Limited,03-Jun-2021 07:46 PM,Accepted-AOC,l1,22-Sep-2021 07:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4.0,214238.0,S.S.Chauhans Construction Private Limted,03-Jun-2021 07:29 PM,Rejected-AOC,l4,22-Sep-2021 07:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration and GST and EPF Clearness latest statement,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders required to have paver Machine and Hot Mini Plant in the radius of 30km for execution,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,having NOC from State Pollution Control Board.,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery as per SBD with proof,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,AOC
