Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Tender Stage
Improvement/Construction of Tea Garden Roads for Segunbari TE (Part-II) under SOPD (ODS) for the Year 2018-19.,Improvement/Construction of Tea Garden Roads for Segunbari TE (Part-II) under SOPD (ODS) for the Year 2018-19.,Please refer tender document ,NA ,"62,13,287",Civil Works – Roads,NA ,Tender,180.0,90.0,Margherita,786181.0,NA ,NA ,NA ,"Superintending Engineer, PWRD,Tinsukia Road Circle",No ,No,Public Works Roads Department,TRC/TB/NIT/01/2021-22/8,2021_PWD_22379_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,800","Empowered Officer ASRB, A/C No. 10566991479",GUWAHATI,Yes,07-Aug-2021 02:00 PM,18-Aug-2021 11:00 AM,07-Aug-2021 02:00 PM,17-Aug-2021 04:00 PM,07-Aug-2021 02:00 PM ,17-Aug-2021 04:00 PM ,07-Aug-2021 02:00 PM,17-Aug-2021 04:00 PM,20-Aug-2021 03:50 PM,"1,24,300",Yes,fixed,,"E.E., PWD, Digboi and Margherita TRD",Margherita,"Superintending Engineer, PWRD,Tinsukia Road Circle","Superintending Engineer, PWRD, Tinsukia Road Circle",1.0,Fee/PreQual/Technical,.pdf,Bid security,1.0,DD - Demand Draft,AOC,1,121324,Babar Ali Khan,17-Aug-2021 11:16 AM,Rejected-AOC,Not awarded,01-Sep-2021 04:00 PM,Technical,summary,ALIUR HUDA,20-Aug-2021 03:41 PM,technical_34710.pdf,Public Works Roads Department,2021_PWD_22379_3,TRC/TB/NIT/01/2021-22/8,Improvement/Construction of Tea Garden Roads for Segunbari TE (Part-II) under SOPD (ODS) for the Year 2018-19.,D. Das,Internal,"J. Hazarika, A. Huda",ALIUR HUDA,20-Aug-2021 03:44 PM,20-Aug-2021 03:50 PM,techsummary_34710.pdf (1844.08 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Document,2.0,BG - Bank Guarantee Irrevocable,AOC,2,121465,M/s Saumar Construction,17-Aug-2021 10:52 AM,Rejected-AOC,Not awarded,01-Sep-2021 04:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical qualification details,3.0,FDR - Fixed Deposit Receipt,AOC,3,121420,M/S S.C ENTERPRISE,15-Aug-2021 04:25 PM,Rejected-Technical,Technical disqualified,20-Aug-2021 03:44 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,AOC,4,121574,M/S V. R. Constructions,17-Aug-2021 12:47 PM,Rejected-Technical,Technical disqualified,20-Aug-2021 03:44 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC,5,121530,NIRANJAN GOGOI,16-Aug-2021 08:53 PM,Accepted-AOC,Aoc awarded,01-Sep-2021 04:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,,,AOC,6,121582,North Eastern Infrastructure,17-Aug-2021 02:05 PM,Rejected-Technical,Technical disqualified,20-Aug-2021 03:44 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,121584,Rajani Saikia,17-Aug-2021 02:56 PM,Rejected-AOC,Not awarded,01-Sep-2021 04:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,121523,RAJIB BORAH,17-Aug-2021 09:45 AM,Rejected-AOC,Not awarded,01-Sep-2021 04:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,121147,SRI RUDRA SAIKIA,15-Aug-2021 07:28 PM,Rejected-Technical,Technical disqualified,20-Aug-2021 03:44 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,121499,Sri Suchitra Baruah,16-Aug-2021 04:32 PM,Rejected-AOC,Not awarded,01-Sep-2021 04:00 PM,,,,,,,,,,,,,,,,,AOC
