EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"11,100",No,fixed,,Executive Officer Municipal Council Sarkaghat,Municipal Council Sarkaghat,Working estimate Proposed path in harizan Basthi Bei Nallah ward No-7 from Sh.Nek Ram House to Late Sh.Budhi Singh House upper Bai Nallah. SH C/O Pucca path Foot Bridge etc,Working estimate Proposed path in harizan Basthi Bei Nallah ward No-7 from Sh.Nek Ram House to Late Sh.Budhi Singh House upper Bai Nallah,Please refer Tender documents. ,NA ,"5,51,631",Civil Works,NA ,Rate Contract,90.0,90.0,Sarkaghat,175024.0,NA ,NA ,NA ,Sarkaghat,No ,No,14-Jun-2021 11:00 AM,21-Jun-2021 11:00 AM,14-Jun-2021 11:00 AM,19-Jun-2021 05:00 PM,14-Jun-2021 11:00 AM ,19-Jun-2021 05:00 PM ,14-Jun-2021 11:00 AM,19-Jun-2021 05:00 PM,30-Jun-2021 11:00 AM,Directorate of Urban Development||Urban Development - UDDHP||Nagar Panchayat Sarkaghat - UDDHP,No.MC-SKT-Tender/2021-22 -1428-1432 Dt. 03-06-2021,2021_UDDHP_48322_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Officer,Executive Officer Municipal Council Sarkaghat,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,500.0,Executive Officer Municipal Council Sarkaghat,Municipal Council Sarkaghat,No,AOC,Rahul Jain Executive Officer MC. Sarkaghat,Internal,Raj Kumar Saini Assistant Engineer Attul Prasher Junior Engineer Daler Singh Junior Assistant,Attul Prasher,22-Jul-2021 01:53 PM,finsummary_72392.pdf (102.69 KB),1.0,218075.0,ARUN KUMAR,INR,"1,089,446",Directorate of Urban Development||Urban Development - UDDHP||Nagar Panchayat Sarkaghat - UDDHP,2021_UDDHP_48322_1,No.MC-SKT-Tender/2021-22 -1428-1432 Dt. 03-06-2021,Working estimate Proposed path in harizan Basthi Bei Nallah ward No-7 from Sh.Nek Ram House to Late Sh.Budhi Singh House upper Bai Nallah. SH C/O Pucca path Foot Bridge etc,06-Aug-2021,"INR 1,089,446",90.0,Attul Prasher,03-Sep-2021 01:24 PM,wardbasti.pdf (187.00 KB),AOC,Technical,Order,Attul Prasher,22-Jun-2021 03:03 PM,technical_72392.pdf,Finance,Rahul Jain Executive Officer MC. Sarkaghat Raj Kumar Saini Assistant Engineer Attul Prasher Junior Engineer Daler Singh Junior Assistan,Attul Prasher,22-Jul-2021 01:21 PM,finance_72392.pdf,BOQ Comparative Chart,1.0,218075.0,ARUN KUMAR,19-Jun-2021 04:30 PM,Accepted-AOC,L1,03-Sep-2021 01:24 PM,Zaffar Iqbal Executive Officer MC. Sarkaghat,Internal,Raj Kumar Saini Assistant Engineer Attul Prasher Junior Engineer Daler Singh Junior Assistant,Attul Prasher,29-Jun-2021 01:16 PM,30-Jun-2021 11:00 AM,techsummary_72392.pdf (194.84 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,EMD,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,218085.0,Kushal Kumar,19-Jun-2021 04:44 PM,Rejected-Finance,This is L2 Bidder,22-Jul-2021 01:53 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule No. 27),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan No/ GST Registration General Rule 21),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate (General Rule 19 28.02b),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand (General Rule 19 28.02b),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
