Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
EE,Internal,AGM SJPNL AO,Rajesh Thakur,28-Aug-2021 12:18 PM,28-Aug-2021 12:20 PM,techsummary_75935.pdf (4115.95 KB),1.0,228908.0,DEVENDER KUMAR,INR,"1,599,845",Municipal Corporation Shimla,2021_MC_50776_8,2051Dated22072021,MC Road from Boileauganj Chowk to Chakkar Chowk via BJP Office in ward No 8 Boileauganj Rd 0 0 to 1 120 (SH Providing and Laying CC 1 2 4 and Steel work etc),1,229084,ABDUL RAZAK BUTT,10-Aug-2021 05:22 PM,Rejected-Finance,Rejected,23-Sep-2021 11:51 AM,EE,Internal,AGM SJPNL AO,Rajesh Thakur,23-Sep-2021 11:51 AM,finsummary_75935.pdf (294.95 KB),Technical,BOS,Rajesh Thakur,28-Aug-2021 11:30 AM,technical_75935.pdf,Finance,BOS,Gopesh Behl,28-Aug-2021 01:18 PM,finance_75935.pdf,BOQ Comparative Chart,23-Sep-2021,"INR 1,599,895.4",90.0,Rajesh Thakur,23-Sep-2021 11:53 AM,2021_MC_50776_8.pdf (339.00 KB),AOC,AOC,Municipal Corporation Shimla,2051Dated22072021,2021_MC_50776_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,Executive Engineer RB MC Shimla,Shimla,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of form in shape of DD and Earnest money in shape of FDR as per e-procurement notice,Executive Engineer RB MC Shimla,Executive Engineer RB MC Shimla,MC Road from Boileauganj Chowk to Chakkar Chowk via BJP Office in ward No 8 Boileauganj Rd 0 0 to 1 120 (SH Providing and Laying CC 1 2 4 and Steel work etc),MC Road from Boileauganj Chowk to Chakkar Chowk via BJP Office in ward No 8 Boileauganj Rd 0 0 to 1 120 (SH Providing and Laying CC 1 2 4 and Steel work etc),Please refer Tender Documents ,NA ,"15,43,381",Civil Works,NA ,Tender,120.0,90.0,Shimla,171001.0,NA ,NA ,NA ,MC Shimla,No ,No,03-Aug-2021 06:00 PM,13-Aug-2021 02:00 PM,03-Aug-2021 06:00 PM,12-Aug-2021 05:00 PM,NA ,NA ,03-Aug-2021 06:00 PM,12-Aug-2021 05:00 PM,28-Aug-2021 12:20 PM,"30,900",No,fixed,,Executive Engineer RB MC Shimla,Shimla,AOC
,,,,,,,,,,,,,,,,2,229407,ANIL THAPA,11-Aug-2021 06:20 PM,Rejected-Finance,Rejected,23-Sep-2021 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Certificate of Registration with HPPWD in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,229514,Daleep Singh Thapa,12-Aug-2021 12:44 PM,Rejected-Finance,Rejected,23-Sep-2021 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax GST and EPF registration PAN Permanent Account No and GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,228908,DEVENDER KUMAR,10-Aug-2021 01:21 PM,Accepted-AOC,Accepted due to lowest rates,23-Sep-2021 11:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Scanned copy of tender document i.e. e procurement notice, Performa and Form MW-7 duly signed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,229511,DINESH,12-Aug-2021 12:31 PM,Rejected-Finance,Rejected,23-Sep-2021 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Schedule of Quantity (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,229263,HARMANJOT SINGH,11-Aug-2021 01:30 PM,Rejected-Finance,Rejected,23-Sep-2021 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,229661,MANISH KUMAR,12-Aug-2021 04:47 PM,Rejected-Finance,Rejected,23-Sep-2021 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,229555,MANMOHAN SHARMA,12-Aug-2021 04:47 PM,Rejected-Technical,Rejected,28-Aug-2021 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,229646,manoj kumar,12-Aug-2021 04:24 PM,Rejected-Technical,Document not submitted hence rejected,28-Aug-2021 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,229239,PUSHPENDER SHARMA,12-Aug-2021 11:38 AM,Rejected-Technical,Document not submitted hence rejected,28-Aug-2021 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,229526,Rakesh Kumar Sharma,12-Aug-2021 02:50 PM,Rejected-Finance,Rejected,23-Sep-2021 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,12,229486,Ranjan public contractor,12-Aug-2021 11:43 AM,Rejected-Finance,Rejected,23-Sep-2021 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,13,229598,sandeep,12-Aug-2021 03:33 PM,Rejected-Finance,Rejected,23-Sep-2021 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,14,229607,SANTOSH KUMAR NAIDU,12-Aug-2021 03:32 PM,Rejected-Finance,Rejected,23-Sep-2021 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,15,229655,SANT RAM GUPTA,12-Aug-2021 04:37 PM,Rejected-Technical,Rejected,28-Aug-2021 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,16,229632,SURESH KUMAR,12-Aug-2021 04:04 PM,Rejected-Technical,Rejected,28-Aug-2021 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,17,228830,Vishal Bhushan,10-Aug-2021 11:44 AM,Rejected-Finance,Rejected,23-Sep-2021 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,18,229593,vishavjeet thakur,12-Aug-2021 03:13 PM,Rejected-Finance,Rejected,23-Sep-2021 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
