Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Stage
28-Sep-2021,"INR 4,083,295",120.0,Pankaj Sharma,29-Sep-2021 05:10 PM,awardnit4.pdf (2439.00 KB),Technical,Tech Bid Summary,Pankaj Sharma,23-Aug-2021 01:22 PM,technical_76296.pdf,Finance,Summary,Pankaj Sharma,28-Aug-2021 04:44 PM,finance_76296.pdf,BOQ Comparative Chart,1.0,230058.0,CONT ANIL KUMAR,19-Aug-2021 10:34 PM,Rejected-Finance,High Rate,27-Sep-2021 11:09 AM,Er Pankaj Sharma,Internal,,Pankaj Sharma,28-Aug-2021 12:08 PM,28-Aug-2021 12:15 PM,techsummary_76296.pdf (1099.65 KB),1.0,229948.0,SUNEEL THAKUR ELECTRICAL,INR,"4,083,295",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur,2021_HPSEB_51033_1,NIT-04/2021-22,"Tender for the work Survey, Design, Manufacturing, Supply of Material, Erection, Testing and Commissioning of 2X22 KV Metering Equipment Out door type 22 KV CT PT Combined unit, Augmentation of 3 x 22/.4 KV 250 KVA Distribution Sub- Stations,22 KV H.",Er Pankaj Sharma,Internal,,Pankaj Sharma,27-Sep-2021 11:09 AM,finsummary_76296.pdf (680.19 KB),AOC,1.0,Fee,.pdf,Tender free and earnest money,"Tender for the work Survey, Design, Manufacturing, Supply of Material, Erection, Testing and Commissioning of 2X22 KV Metering Equipment Out door type 22 KV CT PT Combined unit, Augmentation of 3 x 22/.4 KV 250 KVA Distribution Sub- Stations,22 KV H.","Tender for the work Survey, Design, Manufacturing, Supply of Material, Erection, Testing and Commissioning of 2X22 KV Metering Equipment Out door type 22 KV CT PT Combined unit, Augmentation of 3 x 22/.4 KV 250 KVA Distribution Sub- Stations,22 KV H.",Please refer Tender documents. ,NA ,"37,55,241",Electrical Works,NA ,Tender,180.0,120.0,chhatri,175047.0,NA ,NA ,NA ,SE OP Circle HPSEBL Bilaspur,No ,No,12-Aug-2021 11:00 AM,21-Aug-2021 11:00 AM,13-Aug-2021 11:00 AM,20-Aug-2021 11:00 AM,NA ,NA ,13-Aug-2021 11:00 AM,20-Aug-2021 11:00 AM,28-Aug-2021 12:15 PM,"2,950",Nil,Nil,No,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur,NIT-04/2021-22,2021_HPSEB_51033_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Online,No,No,No,"93,881",No,fixed,,Nil,Nil,1.0,ICICI BANK,SE OP Circle HPSEBL Bilaspur,SE OP Circle HPSEBL Bilaspur,AOC
,,,,,,,,,,,,,,,,,2.0,229948.0,SUNEEL THAKUR ELECTRICAL,20-Aug-2021 10:14 AM,Accepted-AOC,Lowest Rates,29-Sep-2021 05:10 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,PreQual/Technical,.pdf,Financial Turnover signed by CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,3.0,231046.0,TILAK RAJ,19-Aug-2021 11:32 PM,Rejected-Finance,High Rate,27-Sep-2021 11:09 AM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,PAN and GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Cancelled Cheque of firm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Insurance policies for workmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,A class Electrical License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Non Black list, No Techno-commercial deviation and no litigation declaration on non judicial paper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Bid Validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
