Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
Finance,Summary,Jagtar Singh Thakur,02-Sep-2021 02:32 PM,finance_70622.pdf,BOQ Comparative Chart,1.0,211827.0,rajat thakur govt contractor,INR,"23,319,257",Technical,Summry,Roshan Lal Atri,02-Jul-2021 05:06 PM,technical_70622.pdf,1.0,211676.0,Dinesh Construction Works,09-May-2021 10:29 PM,Rejected-Technical,Non responsiv,02-Jul-2021 05:11 PM,02-Sep-2021,"INR 23,319,257",365.0,Jagtar Singh Thakur,02-Sep-2021 02:39 PM,Award.pdf (1411.00 KB),Award,Er. M.P. Dhiman SE 9th Circle HP PWD Nurpur,Internal,"EE Jawali, DAO Jawali,EE(D)",Jagtar Singh Thakur,02-Sep-2021 02:36 PM,finsummary_70622.pdf (1706.64 KB),SE 9th circle HPPWD Nurpur,Internal,EE Design 9th circle Nurpur EE HPPWD Jawali DAO HPPWD Jawali,Roshan Lal Atri,02-Jul-2021 05:11 PM,07-Jul-2021 11:30 AM,techsummary_70622.pdf (1706.36 KB),PWD,2021_PWD_47030_1,SEIX/WS/E-TENDER/21-163-168 Dt 16-04-21,Construction of link road from Manav Bharti Public School Nadholi to Rapata km. 0/0 to 2/945 under Nabard RIDF-XXVI,AOC,Construction of link road from Manav Bharti Public School Nadholi to Rapata km. 0/0 to 2/945 under Nabard RIDF-XXVI,"Construction of 5/7 Metre wide F/C including R/walls, passing places, CD works, providing and laying GSB, WBM-II and III, Tarring work, Side Drain and parapets from Km. 0/0 to 2/945 including five years maintenance period after completion",Please refer Tender documents. ,NA ,"2,59,42,881",Civil Works,NA ,Tender,90.0,365.0,JAWALI,176025.0,NA ,NA ,NA ,9TH CIRCLE HPPWD NURPUR,No ,No,"5,19,000",Yes,fixed,,Nil,Nil,SE,SE 9TH CIRCLE HPPWD NURPUR,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Fee and Earnest Money online,PWD,SEIX/WS/E-TENDER/21-163-168 Dt 16-04-21,2021_PWD_47030_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,30-Apr-2021 11:00 AM,11-May-2021 11:30 AM,30-Apr-2021 11:00 AM,10-May-2021 05:00 PM,NA ,NA ,30-Apr-2021 11:00 AM,10-May-2021 05:00 PM,07-Jul-2021 11:30 AM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,2.0,211827.0,rajat thakur govt contractor,10-May-2021 01:21 PM,Accepted-AOC,Accepted,02-Sep-2021 02:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of PAN, Latest ITR,GST, EPF as per Clause 4.4 of ITB",,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,3.0,211694.0,V S SAINI,09-May-2021 09:27 PM,Rejected-AOC,Rejected,02-Sep-2021 02:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration as per Clause 3 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover Certificate last five financial years from CA as per clause 4.4 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done certificate, one single Similar nature work not less than 40 percent amount put to tender",,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand as per clause 4.4 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and plant owned or brought on hire or lease as per clause 4.4B (b) (i) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Technical staff as per clause 4.4 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of Bid Document 4.4 B (a) (ii) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail regarding arbitration litigation cases for the last five years per Clause 4.4 (i) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Credit and other financial resources as per clause 4.2(g),,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The proposed programme of const. and plan as per 4.2 (k),,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidder must not have in his employment the near relation as per Clause 4.4 B (c) (i) and (ii),,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of bid for part-II of the bid as per format routine maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
