Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Summary,Vijay Kumar Verma,09-Jul-2021 11:10 AM,technical_71709.pdf,1.0,215671.0,Chamunda Construction Works,08-Jun-2021 06:37 PM,Rejected-Finance,Rate quoted higher side,27-Jul-2021 11:53 AM,1.0,215767.0,garg,INR,"12,919,672",Finance,Summary,Vijay Kumar Verma,27-Jul-2021 11:40 AM,finance_71709.pdf,BOQ Comparative Chart,13-Sep-2021,"INR 19,456,258",365.0,Vijay Kumar Verma,13-Sep-2021 04:21 PM,Award.pdf (1769.00 KB),Award,"S.E. 5th Circle, HPPWD, Palampur",Internal,"Executive Engineer (D), 5th Circle, Palampur, Executive Engineer, HPPWD, Division, Kangra, DAO HPPWD, Dharamshala, CHD, 5th Circle, Palampur, Supdt. (Gr-I), (Works), HPPWD, Palampur",Vijay Kumar Verma,27-Jul-2021 11:53 AM,finsummary_71709.pdf (633.15 KB),"S.E. 5th Circle, Palampur",Internal,"Executive Engineer (D), 5th Circle, Palampur, E.E. HPPWD, Kangra, DAO HPPWD, Dharamshala, CHD, HPPWD Palampur, Supdt. Gr-II (Works)HPPWD Palampur",Vijay Kumar Verma,09-Jul-2021 11:13 AM,15-Jul-2021 10:30 AM,techsummary_71709.pdf (699.84 KB),PWD,2021_PWD_47666_4,1561-66,Construction of road from Phair Thangri Khakian nor Balla Malahru in G.P. Lunj Khas km.0/0 to 2/455 in Distt. Kangra (HP) under NABARD RIDF-XXVI,AOC,Construction of road from Phair Thangri Khakian nor Balla Malahru in G.P. Lunj Khas km.0/0 to 2/455 in Distt. Kangra (HP) under NABARD RIDF-XXVI,"(SH Formation cutting, Passing places, R/Wall, CD work, GSB, WBM-II, WBM-III, Tarring work, cement concrete pavement, side drain and parapets)",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,120.0,365.0,Kangra,176001.0,NA ,NA ,NA ,Kangra,No ,No,1.0,corrigendum,Fee,,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-1 of the Bid as per Section-6,PWD,1561-66,2021_PWD_47666_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Executive Engineer HPPWD Division Kangra,Executive Engineer HPPWD Division Kangra,"3,90,000",No,fixed,,Nil,Nil,"5,000",Nil,Nil,No,27-May-2021 04:00 PM,10-Jun-2021 11:00 AM,27-May-2021 04:00 PM,09-Jun-2021 03:00 PM,NA ,NA ,27-May-2021 04:00 PM,09-Jun-2021 03:00 PM,15-Jul-2021 10:30 AM,AOC
,,,,,2.0,215767.0,garg,09-Jun-2021 02:52 PM,Accepted-AOC,Rates quoted as lower side,13-Sep-2021 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No.3,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,215659.0,MCC POWER PROJECTS PVT. LTD.,09-Jun-2021 02:29 PM,Rejected-Finance,Rate quoted higher side,27-Jul-2021 11:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 C1-16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,215624.0,MOHINDER SINGH PATHANIA,08-Jun-2021 03:29 PM,Rejected-Finance,Rate quoted higher side,27-Jul-2021 11:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q-1 Section 3 (1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,215484.0,pritam singh thkur,09-Jun-2021 01:45 PM,Rejected-Finance,Rate quoted higher side,27-Jul-2021 11:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.3.1), (1.3.2), (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.4), (1.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.6), (1.8), (1.9), (1.10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 2 C1 (4.2, 4.4- A and B)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Other documents i.e. GST, PAN, EPF etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
