Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
14-Jun-2021 11:00 AM,21-Jun-2021 11:00 AM,14-Jun-2021 11:00 AM,19-Jun-2021 05:00 PM,14-Jun-2021 11:00 AM ,19-Jun-2021 05:00 PM ,14-Jun-2021 11:00 AM,19-Jun-2021 05:00 PM,30-Jun-2021 11:00 AM,Directorate of Urban Development||Urban Development - UDDHP||Nagar Panchayat Sarkaghat - UDDHP,No.MC-SKT-Tender/2021-22 -1428-1432 Dt. 03-06-2021,2021_UDDHP_48316_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,Executive Officer Municipal Council Sarkaghat,Municipal Council Sarkaghat,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,Executive Officer,Executive Officer Municipal Council Sarkaghat,"6,500",No,fixed,,Executive Officer Municipal Council Sarkaghat,Municipal Council Sarkaghat,"C/O Road ,path Pipal Tayala to Paplog Road Ward No- 4 M.C. Sarkaghat.","C/O Road ,path Pipal Tayala to Paplog Road Ward No- 4 M.C. Sarkaghat.",Please refer Tender documents. ,NA ,"3,21,038",Civil Works,NA ,Rate Contract,90.0,60.0,Sarkaghat,175024.0,NA ,NA ,NA ,Sarkaghat,No ,No,1.0,DD - Demand Draft,AOC,06-Aug-2021,"INR 575,117",60.0,Attul Prasher,03-Sep-2021 01:20 PM,ward4.pdf (167.00 KB),AOC,Finance,Rahul Jain Executive Officer MC. Sarkaghat Raj Kumar Saini Assistant Engineer Attul Prasher Junior Engineer Daler Singh Junior Assistan,Attul Prasher,22-Jul-2021 01:20 PM,finance_72387.pdf,BOQ Comparative Chart,Technical,Order,Attul Prasher,22-Jun-2021 03:00 PM,technical_72387.pdf,Zaffar Iqbal Executive Officer MC. Sarkaghat,Internal,Raj Kumar Saini Assistant Engineer Attul Prasher Junior Engineer Daler Singh Junior Assistant,Attul Prasher,29-Jun-2021 01:13 PM,30-Jun-2021 11:00 AM,techsummary_72387.pdf (197.41 KB),1.0,218079.0,Kushal Kumar,19-Jun-2021 04:14 PM,Rejected-Finance,This is L2 Bidder,22-Jul-2021 01:57 PM,Rahul Jain Executive Officer MC. Sarkaghat,Internal,Raj Kumar Saini Assistant Engineer Attul Prasher Junior Engineer Daler Singh Junior Assistant,Attul Prasher,22-Jul-2021 01:57 PM,finsummary_72387.pdf (106.63 KB),Directorate of Urban Development||Urban Development - UDDHP||Nagar Panchayat Sarkaghat - UDDHP,2021_UDDHP_48316_1,No.MC-SKT-Tender/2021-22 -1428-1432 Dt. 03-06-2021,"C/O Road ,path Pipal Tayala to Paplog Road Ward No- 4 M.C. Sarkaghat.",1.0,218048.0,mr,INR,"575,117",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,218048.0,mr,19-Jun-2021 04:57 PM,Accepted-AOC,L1,03-Sep-2021 01:20 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule No. 27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan No/ GST Registration General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate (General Rule 19 28.02b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand (General Rule 19 28.02b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
