Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
EE,Internal,Supdt. DAO HDM,Roshan Lal Atri,02-Sep-2021 03:57 PM,finsummary_72365.pdf (132.53 KB),02-Sep-2021,"INR 15,183,780",365.0,Roshan Lal Atri,02-Sep-2021 04:29 PM,letter.pdf (243.00 KB),PWD,2021_PWD_48296_1,SEIX/WS/E-Tender/20-21/1119-24 dt 01-06-2021,Construction of Bhatoli Malhanta road to Kafnali Nagal road km. 0/0 to 2/480 under NABARD MLA Priority for the year 2011-12 Priority No 1(C) (New Scheme) RIDF-XXVI,SE 9th circle HPPWD Nurpur,Internal,EE Design 9th Circle HPPWD Nurpur EE HPPWD Fatehpur DAO HPPWD Fatehpur,Roshan Lal Atri,03-Jul-2021 03:29 PM,08-Jul-2021 11:30 AM,techsummary_72365.pdf (1391.03 KB),Technical,Summary,Roshan Lal Atri,03-Jul-2021 03:23 PM,technical_72365.pdf,1.0,217001.0,Arun Kumar,19-Jun-2021 04:29 PM,Rejected-AOC,rejected,02-Sep-2021 04:29 PM,1.0,217055.0,IQBAL SINGH,INR,"15,183,780",Finance,Summary,Roshan Lal Atri,02-Sep-2021 03:29 PM,finance_72365.pdf,BOQ Comparative Chart,AOC,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,e-Challan Cost of Tender and Earnest Money,Construction of Bhatoli Malhanta road to Kafnali Nagal road km. 0/0 to 2/480 under NABARD MLA Priority for the year 2011-12 Priority No 1(C) (New Scheme) RIDF-XXVI,"Construction of Earth work, R/walls, B/walls, Wire crates, CD work, RCC span slab culvert, P/L Sub Base Course, WBM Grade-II and WBM-III, Metaling Tarring, Construction of V-shape and U-shape drain, and Parapets) including five years maintenance",Please refer Tender documents. ,NA ,"1,54,95,771",Civil Works,NA ,Tender,75.0,365.0,FATEHPUR,176053.0,NA ,NA ,NA ,9th Circle HPPWD Nurpur,No ,No,Superintending Engineer,SE 9th Circle HPPWD Nurpur,PWD,SEIX/WS/E-Tender/20-21/1119-24 dt 01-06-2021,2021_PWD_48296_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"3,10,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,11-Jun-2021 10:00 AM,21-Jun-2021 11:30 AM,11-Jun-2021 10:00 AM,19-Jun-2021 05:00 PM,NA ,NA ,11-Jun-2021 10:00 AM,19-Jun-2021 05:00 PM,08-Jul-2021 11:30 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,217055.0,IQBAL SINGH,19-Jun-2021 04:11 PM,Accepted-AOC,accepted,02-Sep-2021 04:29 PM,,,,,,,,,,,,AOC,,,,,,,.pdf,"Copy of PAN, Latest ITR,GST, EPF as per Clause 4.4 of ITB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,218037.0,M/S CHANAN SINGH AND CO.,19-Jun-2021 03:18 PM,Rejected-AOC,rejected,02-Sep-2021 04:29 PM,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractor Registration as per Clause 3 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,217985.0,Ravinder Kumar,19-Jun-2021 02:17 PM,Rejected-AOC,rejected,02-Sep-2021 04:29 PM,,,,,,,,,,,,AOC,,,,,,,.pdf,Annual Turnover Certificate last five financial years from CA as per clause 4.4 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,217310.0,V S SAINI,17-Jun-2021 11:50 AM,Rejected-AOC,rejected,02-Sep-2021 04:29 PM,,,,,,,,,,,,AOC,,,,,,,.pdf,Work done certificate similar nature work executed as per clause 4.4 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Detail of Work in hand as per clause 4.4 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Detail of Machinery and plant owned or brought on hire or lease as per clause 4.4B (b) (i) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Detail of Technical staff as per clause 4.4 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit regarding correctness of Bid Document 4.4 B (a) (ii) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit regarding arbitration litigation cases for the last five years per Clause 4.4 (i) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
