Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,FINANCIAL SUMMARY,Vijay Kumar Aggarwal,09-Apr-2021 02:23 PM,finance_69428.pdf,BOQ Comparative Chart,1.0,207806.0,PREM SINGH,INR,"4,113,750",Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,09-Apr-2021 12:12 PM,technical_69428.pdf,1.0,207805.0,GIAN CHAND,07-Apr-2021 06:45 PM,Rejected-Finance,L2,09-Apr-2021 03:01 PM,06-Aug-2021,"INR 4,113,750",330.0,Vijay Kumar Aggarwal,03-Sep-2021 11:09 AM,AOC_46168_1.pdf (1282.00 KB),Awarded to Sh. Prem Singh,V K AGGARWAL,Internal,SUPTD HDM DAO,Vijay Kumar Aggarwal,09-Apr-2021 03:00 PM,finsummary_69428.pdf (634.94 KB),V K AGGARWAL,Internal,SUPTD DAO HDM,Vijay Kumar Aggarwal,09-Apr-2021 12:29 PM,09-Apr-2021 12:45 PM,techsummary_69428.pdf (544.95 KB),PWD,2021_PWD_46168_1,NAHAN 15012-40,PBMC of Jamta Rajban Road Km 0/0 to 22/0,AOC,1.0,ICICI BANK,PWD,NAHAN 15012-40,2021_PWD_46168_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,01-Apr-2021 06:00 PM,08-Apr-2021 11:00 AM,01-Apr-2021 06:00 PM,08-Apr-2021 10:00 AM,NA ,NA ,01-Apr-2021 06:00 PM,08-Apr-2021 10:00 AM,09-Apr-2021 12:45 PM,PBMC of Jamta Rajban Road Km 0/0 to 22/0,Routine Maintenance in Km 0/0 to 22/0,As per Bidding Document ,NA ,"64,41,700",Civil Works - Roads,NA ,Tender,90.0,330.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD Division Nahan,No ,No,"97,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,RECEIPT OF COST OF TENDER AND EARNEST MONEY PAYMENT,Executive Engineer,Executive Engineer HPPWD Division Nahan,"2,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,2.0,207833.0,H. C. Bansal Engg. & Contt.,08-Apr-2021 12:30 AM,Rejected-Technical,does not meet the qualification criteria,09-Apr-2021 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,REGISTRATION OF CONTRACTOR (AS PER SECTION 3),,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,207806.0,PREM SINGH,07-Apr-2021 07:00 PM,Accepted-AOC,L1,03-Sep-2021 11:09 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANNUAL TURNOVER STATEMENT ALONG WITH BALANCE SHEETS IN LAST 5 YEARS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK EXPERIENCE (50 PERCENT) IN SIMILAR NATURE OF PROPOSED CONTRACT IN LAST 5 YEARS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"WORK IN HAND/EXISTING COMMITMENTS, DETAIL OF BIDS SUBMITTED",,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT/DETAILS OF TECHNICAL STAFF AND MACHINERY,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,INFORMATION REGARDING LITIGATION AND ARBITRATION,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNDERTAKING THAT THERE WILL NOT BE JOINT VENTURE FOR PROPOSED PROJECT,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST NUMBER, PAN CARD AND EPF NUMBER",,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM OF BID,,,,,,,AOC
