Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description
Er.B.M Thakur,Internal,"Er Ankit Samkaria , AE Gopalapur , Er. Manoj Sood AE to EE, Sh. Rajinder Choudahry Sr. DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Manoj Sood,01-Sep-2021 10:46 AM,finsummary_76227.pdf (475.89 KB),21-Sep-2021,"INR 2,392,259",90.0,Manoj Sood,09-Jun-2023 11:23 AM,50979.pdf (450.00 KB),AOC,PWD,2021_PWD_50979_2,5938-68 HPPWD Division Palampur,"C/O Cow Sanctuary at Kudan Dehal PO Jia, Tehsil Palampur",Er.B.M Thakur,Internal,"Er Ankit Samkaria , AE Gopalapur , Er. Manoj Sood AE to EE, Sh. Rajinder Choudahry Sr. DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Manoj Sood,19-Aug-2021 02:48 PM,21-Aug-2021 10:00 AM,techsummary_76227.pdf (1118.47 KB),Technical,Summary,Manoj Sood,19-Aug-2021 02:45 PM,technical_76227.pdf,1.0,230627.0,Rajeev Kumar,18-Aug-2021 08:27 AM,Rejected-Technical,Non-Responsive,19-Aug-2021,1.0,230450.0,Sahil Sharma,INR,"3,411,266",Finance,Summary,Manoj Sood,01-Sep-2021 10:44 AM,finance_76227.pdf,BOQ Comparative Chart,12-Aug-2021 10:00 AM,18-Aug-2021 11:30 AM,12-Aug-2021 10:30 AM,18-Aug-2021 11:00 AM,NA ,NA ,12-Aug-2021 11:00 AM,18-Aug-2021 11:00 AM,21-Aug-2021 10:00 AM,Executive Engineer,HPPWD Division Palampur,500.0,Nil,Nil,No,"C/O Cow Sanctuary at Kudan Dehal PO Jia, Tehsil Palampur",C/O Cow Shed Building,Please refer Tender documents. ,NA ,"23,92,259",Civil Works - Buildings,NA ,Tender,120.0,90.0,Palampur,176061.0,NA ,NA ,NA ,EE DIVISION HPPWD Palampur,No ,No,1.0,ICICI BANK,PWD,5938-68 HPPWD Division Palampur,2021_PWD_50979_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"43,400",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,230652.0,Rakesh Chandel,18-Aug-2021 10:47 AM,Rejected-Finance,L2,01-Sep-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,230450.0,Sahil Sharma,17-Aug-2021 12:23 PM,Accepted-AOC,AOC,09-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number
