Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Finance,BOS,Jeet Singh Thakur,20-Sep-2021 01:19 PM,finance_69021.pdf,BOQ Comparative Chart,1.0,205999.0,Kamal Thakur,INR,"15,592,980",Technical,Technical Bid opening Summary,Virender Kumar Bhardwaj,01-Apr-2021 05:16 PM,technical_69021.pdf,1.0,206721.0,construction,31-Mar-2021 12:55 PM,Rejected-Finance,2nd lowest,20-Sep-2021 01:27 PM,SE,Internal,EE D AE D Superintendent works Dealing Assistant 7th Circle HPPWD Dalhousie,Jeet Singh Thakur,20-Sep-2021 01:27 PM,finsummary_69021.pdf (138.73 KB),20-Sep-2021,"INR 17,100,000",365.0,Jeet Singh Thakur,20-Sep-2021 01:29 PM,02.AOC45841.pdf (622.00 KB),M/T of link road to Village Ghatta KM 0/0 to 2/325 (under NABARD) RIDF-XXVI,PWD,2021_PWD_45841_2,NIT/NABARD/2020-21-14690-26 dated 17/3/2021,M/T of link road to Village Ghatta KM 0/0 to 2/325 (under NABARD) RIDF-XXVI,EE TISSA,Internal,AE Tissa DAO Tissa HDM Tissa Superintendent tissa Senior Assistant,Jeet Singh Thakur,13-Apr-2021 04:30 PM,19-Apr-2021 11:30 AM,techsummary_69021.pdf (3297.59 KB),AOC,M/T of link road to Village Ghatta KM 0/0 to 2/325 (under NABARD) RIDF-XXVI,M/T of link road to Village Ghatta KM 0/0 to 2/325 (under NABARD) RIDF-XXVI,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,365.0,TISSA,176316.0,NA ,NA ,NA ,Superintending Engineer 7th Circle HPPWD Dalhousie,No ,No,1.0,ICICI BANK,Superintending Engineer 7th Circle HPPWD Dalhousie,Superintending Engineer 7th Circle HPPWD Dalhousie,24-Mar-2021 10:00 AM,01-Apr-2021 11:30 AM,24-Mar-2021 10:00 AM,31-Mar-2021 05:00 PM,NA ,NA ,24-Mar-2021 10:00 AM,31-Mar-2021 05:00 PM,19-Apr-2021 11:30 AM,"3,42,000",No,fixed,,Nil,Nil,"5,000",Nil,Nil,No,PWD,NIT/NABARD/2020-21-14690-26 dated 17/3/2021,2021_PWD_45841_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section,AOC
,,,,,,,,,,,,,,,,2.0,206487.0,D.S. Thakur,31-Mar-2021 09:55 AM,Rejected-Finance,3rd lowest,20-Sep-2021 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No. 3 through online mode i.e. Scanned copy of e-payment,AOC
,,,,,,,,,,,,,,,,3.0,205999.0,Kamal Thakur,31-Mar-2021 01:31 PM,Accepted-AOC,1st lowest,20-Sep-2021 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.2 through online mode i.e. Scanned copy of e-Payment,AOC
,,,,,,,,,,,,,,,,4.0,206780.0,Manesh Mehta,31-Mar-2021 03:27 PM,Rejected-Finance,4th lowest,20-Sep-2021 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),AOC
,,,,,,,,,,,,,,,,5.0,206008.0,sahab singh thakur,28-Mar-2021 09:48 PM,Rejected-Finance,5th lowest,20-Sep-2021 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.3.1), (1.3.2) (1.3.3)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.4), (1.5)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.2), (1.7)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.6), (1.8), (1.9), (1.10)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl (4.2 g) and Cl 4.3,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl (4.4A (b),AOC
