Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F),"2,100",No,fixed,,Nil,Nil,28-Aug-2021 03:00 PM,06-Sep-2021 10:30 AM,28-Aug-2021 03:00 PM,06-Sep-2021 10:00 AM,NA ,NA ,28-Aug-2021 03:00 PM,06-Sep-2021 10:00 AM,24-Sep-2021 02:15 PM,350.0,Nil,Nil,No,1.0,ICICI BANK,A/R and M/O Bhujond Gatlog Road km. 0/00 to 10/00 (SH Hiring of JCB for removal of slips),A/R and M/O Bhujond Gatlog Road km. 0/00 to 10/00 (SH Hiring of JCB for removal of slips),Please refer Tender documents. ,NA ,"1,00,800",Civil Works,NA ,Tender,75.0,60.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",PWD,Sangrah 5023-73 dated 23.08.2021,2021_PWD_51624_12,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Finance,SUMMARY,Rattan Kumar Sharma,25-Sep-2021 03:18 PM,finance_77176.pdf,BOQ Comparative Chart,1.0,234372.0,DROPTI SHARMA,05-Sep-2021 10:25 PM,Rejected-Finance,L3,25-Sep-2021,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,24-Sep-2021 12:19 PM,24-Sep-2021 02:15 PM,techsummary_77176.pdf (756.64 KB),Technical,SUMMARY,Rattan Kumar Sharma,06-Sep-2021 04:11 PM,technical_77176.pdf,1.0,233844.0,Khajan Singh,INR,"76,944",27-Sep-2021,"INR 76,944",60.0,Rattan Kumar Sharma,18-Sep-2023 12:36 PM,79.pdf (389.00 KB),AOC,PWD,2021_PWD_51624_12,Sangrah 5023-73 dated 23.08.2021,A/R and M/O Bhujond Gatlog Road km. 0/00 to 10/00 (SH Hiring of JCB for removal of slips),Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,25-Sep-2021 03:24 PM,finsummary_77176.pdf (214.31 KB)
,,.pdf,24.1. COST OF TENDER,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,233702.0,JAI PRAKASH,02-Sep-2021 03:07 PM,Rejected-Finance,L2,25-Sep-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,24.2. EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,233844.0,Khajan Singh,03-Sep-2021 12:37 PM,Accepted-AOC,AOC,18-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,24.3. CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,233956.0,Pawan Kumar,03-Sep-2021 06:05 PM,Rejected-Finance,L5,25-Sep-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,24.6. LIST OF MACHINERY TOOL AND PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,234316.0,SURINDER KUMAR,05-Sep-2021 05:52 PM,Rejected-Finance,L4,25-Sep-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,24.8. HPPWD FORM No. 8. or Form of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,24.9. ANY OTHER DOCUMENTS AS SPECIFIED BY THE STATE IN PERFORMA OF SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,AFFIDAVIT OR UNDERTAKING REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,24.7. BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
