Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
03-Sep-2021,"INR 167,649,807",540.0,Chaman Singh,03-Sep-2021 12:02 PM,AOCSlapperTattapani8.500to20.500.pdf (1298.00 KB),AOC issued after negotiation.,Chief Engineer(MZ) HPPWD Mandi,Internal,"S.E. (D) Road MZ, SE 1st Circle Mandi EE (D) Road MZ EE Sundernagar Planning Officer (Road) MZ Dy. Cont. F and A MZ",Chaman Singh,03-Sep-2021 11:59 AM,finsummary_66550.pdf (1298.07 KB),Er. Vijay Chaudhry S.E.,Internal,Sh. Sushil Kumar Divisional Accounts Officer HPPWD Sunder Nagar Division Er. Devi Ram Chauhan EE HPPWD Sunder Nagar Division Er. Jagesh Vaidya EED 1st Circle HPPWD Mandi,Chaman Singh,06-Mar-2021 05:07 PM,09-Mar-2021 11:00 AM,techsummary_66550.pdf (3012.51 KB),PWD,2021_PWD_44394_1,PW-SNR-CB-E-Tender/20-17615-21 dt. 16.01.2021,Improvement and widening of Slapper to Tattapani road from km 0/0 to 68/00,Finance,Five Bids opened online,Chaman Singh,09-Mar-2021 06:15 PM,finance_66550.pdf,BOQ Comparative Chart,1.0,200986.0,VIJAY KUMAR SHARMA,INR,"167,649,807",Technical,Five bids received in 1st call.,Chaman Singh,01-Mar-2021 04:40 PM,technical_66550.pdf,1.0,200960.0,Ajay Kumar Sharma,28-Feb-2021 03:45 PM,Rejected-Finance,Not found lowest,03-Sep-2021 11:59 AM,AOC,Improvement and widening of Slapper to Tattapani road from km 0/0 to 68/00,"SH ROFD, Metalling and Tarring , R/wall , B/walls, B/walls, C.D works , Parapets, Metal beam crash barrier and Dumping site etc. for single lane portion Km 8/500 to 20/500 ) under CRF Job No. CRF -HP-2017 -18 -143",As per bid document ,NA ,"20,21,79,365",Civil Works,NA ,Tender,120.0,540.0,In Sundernagar Division,175018.0,O/o Superintending Engineer 1st Circle HPPWD Mandi ,O/o Superintending Engineer 1st Circle HPPWD Mandi ,23-Feb-2021 11:00 AM ,O/o Superintending Engineer 1st Circle HPPWD Mandi,No ,No,1.0,DD - Demand Draft,Executive Engineer,O/O Executive Engineer HPPWD Division Sunder Nagar,1.0,Fee/PreQual/Technical,.pdf,Cost of tender,16-Feb-2021 10:00 AM,01-Mar-2021 11:30 AM,16-Feb-2021 10:00 AM,01-Mar-2021 10:00 AM,16-Feb-2021 10:00 AM ,26-Feb-2021 04:00 PM ,16-Feb-2021 10:30 AM,01-Mar-2021 10:00 AM,09-Mar-2021 11:00 AM,PWD,PW-SNR-CB-E-Tender/20-17615-21 dt. 16.01.2021,2021_PWD_44394_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,000",EE Sundernagar,Sundernagar,No,"40,43,600",No,fixed,,EE Sundernagar,Sundernagar,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,200974.0,Bhupinder Paul Mahajan,28-Feb-2021 07:53 PM,Rejected-Finance,Not found lowest,03-Sep-2021 11:59 AM,AOC,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,.pdf,Bid Security in form specified in section 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,200849.0,Dinesh Kumar Sharma Const. (P) Ltd,01-Mar-2021 09:36 AM,Rejected-Finance,Not found lowest,03-Sep-2021 11:59 AM,AOC,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,.pdf,Qualification information as supporting documents as specified in section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,200904.0,P K Construction Shimla Pvt Ltd,27-Feb-2021 04:49 PM,Rejected-Finance,Not found lowest,03-Sep-2021 11:59 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate undertaking affidavit as specified in the section2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,200986.0,VIJAY KUMAR SHARMA,01-Mar-2021 09:14 AM,Accepted-AOC,Being lowest,03-Sep-2021 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information pursuant to clause 4.2 of the instructions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking reg. validity of the bid as per clause 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Acceptance/ non acceptance of dispute review expert Clause 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
