Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
24-Sep-2021,"INR 680,113",90.0,Jitender Kumar,24-Sep-2021 12:55 PM,AOCkufri.PDF (994.00 KB),AOC,Er. J.K. Gupta,Internal,AE Padhar DAO Supdt. HDM,Jitender Kumar,24-Sep-2021 12:50 PM,finsummary_74891.pdf (1079.71 KB),Er. J.K. Gupta,Internal,AE Padhar Supdt. HDM,Jitender Kumar,02-Aug-2021 04:41 PM,04-Aug-2021 11:00 AM,techsummary_74891.pdf (115.45 KB),PWD,2021_PWD_50078_1,PW-MDI-Tender-NIT- 4377-4411 dated 02.07.2021,Construction of Kufri Nihon Kheel Damela road in G.P. Kufri Km 0/0 to 8/100 (Portion Nihon to Damela Km 5/500 to 8/100),1.0,225053.0,LEKH RAJ,INR,"749,185",Finance,fbosummary,Jitender Kumar,05-Aug-2021 01:30 PM,finance_74891.pdf,BOQ Comparative Chart,Technical,summary,Jitender Kumar,27-Jul-2021 11:20 AM,technical_74891.pdf,1.0,225053.0,LEKH RAJ,23-Jul-2021 06:13 PM,Accepted-AOC,AOC,24-Sep-2021 12:55 PM,AOC,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),"13,600",No,fixed,,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,1.0,ICICI BANK,350.0,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,No,PWD,PW-MDI-Tender-NIT- 4377-4411 dated 02.07.2021,2021_PWD_50078_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Construction of Kufri Nihon Kheel Damela road in G.P. Kufri Km 0/0 to 8/100 (Portion Nihon to Damela Km 5/500 to 8/100),Construction of 900mm dia RCC Hume pipe culvert at R.D. 7/180 and 7/900) (Under SCSP).,As per bid documents ,NA ,"6,80,113",Civil Works - Roads,NA ,Tender,120.0,90.0,Padhar,175012.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",No ,No,19-Jul-2021 01:00 PM,26-Jul-2021 11:30 AM,19-Jul-2021 01:00 PM,26-Jul-2021 11:00 AM,NA ,NA ,19-Jul-2021 01:00 PM,26-Jul-2021 11:00 AM,04-Aug-2021 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,225290.0,Sohan lal,26-Jul-2021 07:59 AM,Rejected-Finance,L-2,24-Sep-2021 12:50 PM,AOC,,,,,.pdf,Earnest money (Indicated in Schedule E),,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Contractors Registration (General Rule No.20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.16)Mini amount of work done shown as per Sched-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"HPPWD Form No.7 / 8 duly signed (General Rule and directions, Schedules A to F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
