Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt. HDM, DAO, A.E.Bhoranj Sub Division",Virender Singh Guleria,26-Aug-2021 03:03 PM,finsummary_75531.pdf (814.63 KB),28-Nov-2021,"INR 5,053,950",60.0,Virender Singh Guleria,28-Sep-2021 04:52 PM,ALQxygengas.PDF (4199.00 KB),Award letter attached,PWD,2021_PWD_50455_1,Providing and fixing manifold system along with tu,Providing and fixing manifold system along with tubing for 50 bedded covid in 100 bedded Civil Hospital at Bhoranj SH Providing and fixing oxygen gas pipe line in newly created block for Covid patient,"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt. HDM, DAO, A.E.Bhoranj Sub Division",Virender Singh Guleria,17-Aug-2021 03:15 PM,20-Aug-2021 11:30 AM,techsummary_75531.pdf (1096.13 KB),Technical,Summary attached,Virender Singh Guleria,17-Aug-2021 03:05 PM,technical_75531.pdf,1.0,227363.0,AAR ESS Surgical,04-Aug-2021 03:13 PM,Accepted-AOC,Accept,28-Sep-2021 04:52 PM,1.0,227363.0,AAR ESS Surgical,INR,"5,053,950",Finance,Summary Attach,Virender Singh Guleria,26-Aug-2021 02:59 PM,finance_75531.pdf,BOQ Comparative Chart,AOC,28-Jul-2021 05:45 PM,05-Aug-2021 11:30 AM,28-Jul-2021 05:45 PM,05-Aug-2021 10:30 AM,NA ,NA ,28-Jul-2021 05:45 PM,05-Aug-2021 10:30 AM,20-Aug-2021 11:30 AM,PWD,Providing and fixing manifold system along with tu,2021_PWD_50455_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,Yes,Providing and fixing manifold system along with tubing for 50 bedded covid in 100 bedded Civil Hospital at Bhoranj SH Providing and fixing oxygen gas pipe line in newly created block for Covid patient,Providing and fixing manifold system along with tubing for 50 bedded covid in 100 bedded Civil Hospital at Bhoranj SH Providing and fixing oxygen gas pipe line in newly created block for Covid patient,Please refer Tender documents. ,NA ,"38,32,398",Civil Works - Buildings,NA ,Tender,75.0,60.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,"Executive Engineer, Bhoranj Division, HP.PWD., Bho","Executive Engineer Bhoranj Division, HP.PWD., Bhoranj","65,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form.,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,227434.0,JMM INFRACON,05-Aug-2021 10:11 AM,Rejected-Technical,No qualify in techanical Bid.,17-Aug-2021 03:15 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,227549.0,RAKESH KUMAR,04-Aug-2021 03:39 PM,Rejected-AOC,Accept,28-Sep-2021 04:52 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration - REFER HPPWD-6 16(3).,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,227596.0,SAJEEV KUMAR GOVT.CONTRACTOR,05-Aug-2021 09:49 AM,Rejected-Technical,No qualify in techanical Bid.,17-Aug-2021 03:15 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per Bill of Qqantity",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 16,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,AOC
