Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
HP SIDC Limited,2021_SIDC_50770_1,Job No. 8,Construction of Zonal Veterinary Hospital at Barnoh Distt. Una (HP). (SH- Providing Electrical Installation and yard lighting thereof).,SE,Internal,"DM, Manager(F), AE(Elect), AE(HQ), EE(HQ)",Sushant Singh Negi,19-Aug-2021 03:49 PM,finsummary_75911.pdf (30.85 KB),1.0,228668.0,Himat Raj Thakur,INR,"2,293,113",10-Sep-2021,"INR 2,293,113",120.0,Sushant Singh Negi,22-Sep-2021 02:34 PM,barnohei.pdf (1310.00 KB),AOC,1.0,228484.0,ARUN KUMAR SHARMA,11-Aug-2021 11:12 AM,Rejected-Finance,Second lowest bidder,19-Aug-2021 03:49 PM,Technical,Technical summary,Sushant Singh Negi,13-Aug-2021 02:23 PM,technical_75911.pdf,SE,Internal,"DM, AE(HQ), EE(HQ)",Sushant Singh Negi,13-Aug-2021 02:26 PM,13-Aug-2021 02:30 PM,techsummary_75911.pdf (768.13 KB),Finance,Financial summary,Sushant Singh Negi,19-Aug-2021 03:46 PM,finance_75911.pdf,BOQ Comparative Chart,AOC,Executive Engineer,HPSIDC Ltd. Shimla,HP SIDC Limited,Job No. 8,2021_SIDC_50770_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"46,800",No,fixed,,Nil,Nil,"3,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Appropriate Electrical Contractor registration (as per tender condition),Construction of Zonal Veterinary Hospital at Barnoh Distt. Una (HP). (SH- Providing Electrical Installation and yard lighting thereof).,(SH- Providing Electrical Installation and yard lighting thereof).,Please refer Tender documents. ,NA ,"26,18,550",Electrical Works,NA ,Tender,120.0,120.0,Barnoh (Una),174303.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,1.0,ICICI BANK,04-Aug-2021 11:00 AM,12-Aug-2021 11:00 AM,04-Aug-2021 11:00 AM,11-Aug-2021 05:00 PM,NA ,NA ,04-Aug-2021 11:00 AM,11-Aug-2021 05:00 PM,13-Aug-2021 02:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,229015.0,DHARMENDER SINGH,10-Aug-2021 07:16 PM,Rejected-Technical,The successfully completed similar type of one work not less than 40 percent of estimated cost has not submitted as per tender condition,13-Aug-2021 02:26 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,228668.0,Himat Raj Thakur,11-Aug-2021 03:15 PM,Accepted-AOC,AOC,22-Sep-2021 02:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,228827.0,Ratwan Light House,11-Aug-2021 11:50 AM,Rejected-Finance,Third lowest bidder,19-Aug-2021 03:49 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
