Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Chief Engineer(MZ) HPPWD Mandi,Internal,SE (D) MZ SE 1st Circle Mandi EE (D) MZ EE SNR Dy. Cont. F and A MZ Planning Officer (Road) MZ,Chaman Singh,03-Sep-2021 12:48 PM,finsummary_66556.pdf (1178.36 KB),03-Sep-2021,"INR 87,516,305",365.0,Chaman Singh,03-Sep-2021 12:56 PM,AOCSlapperTattapani56.600to61.600.pdf (1178.00 KB),AOC issued after negotiation.,PWD,2021_PWD_44396_1,PW-SNR-CB-E-Tender/20-17615-21 dt. 16.01.2021,Improvement and widening of Slapper to Tattapani road from km 0/0 to 68/00,Er. Vijay Chaudhry S.E.,Internal,Sh. Sushil Kumar Divisional Accounts Officer HPPWD Sunder Nagar Division Er. Devi Ram Chauhan EE HPPWD Sunder Nagar Division Er. Jagesh Vaidya EED 1st Circle HPPWD Mandi,Chaman Singh,06-Mar-2021 05:19 PM,09-Mar-2021 11:00 AM,techsummary_66556.pdf (3099.73 KB),1.0,200891.0,Munish kumar sharma,INR,"87,516,305",Finance,Five bids opened online.,Chaman Singh,09-Mar-2021 06:24 PM,finance_66556.pdf,BOQ Comparative Chart,Technical,Five bids received in 1st call.,Chaman Singh,01-Mar-2021 04:37 PM,technical_66556.pdf,1.0,200956.0,AJAY PATHANIA,28-Feb-2021 04:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2021 04:37 PM,AOC,"5,000",EE Sundernagar,Sundernagar,No,16-Feb-2021 10:00 AM,01-Mar-2021 11:30 AM,16-Feb-2021 10:00 AM,01-Mar-2021 10:00 AM,16-Feb-2021 10:00 AM ,26-Feb-2021 04:00 PM ,16-Feb-2021 10:30 AM,01-Mar-2021 10:00 AM,09-Mar-2021 11:00 AM,"20,09,700",No,fixed,,EE Sundernagar,Sundernagar,Executive Engineer,Executive Engineer HPPWD Division Sunder Nagar,PWD,PW-SNR-CB-E-Tender/20-17615-21 dt. 16.01.2021,2021_PWD_44396_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender,1.0,DD - Demand Draft,1.0,Corrigendum reg. GST,Other,,Improvement and widening of Slapper to Tattapani road from km 0/0 to 68/00,"SH ROFD, Metalling and Tarring , R/wall , C.D works, Metal beam crash barrier , road marking, road furniture and dumping site etc. for double lane portion km 56/600 to 61/600 ) under CRF Job No. CRF -HP-2017 -18 -143.",As per bid document ,NA ,"10,04,82,418",Civil Works,NA ,Tender,120.0,365.0,In Sundernagar Division,175018.0,O/o Superintending Engineer 1st Circle HPPWD Mandi ,O/o Superintending Engineer 1st Circle HPPWD Mandi (HP) ,23-Feb-2021 11:00 AM ,O/o Superintending Engineer 1st Circle HPPWD Mandi,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,200976.0,Bhupinder Paul Mahajan,28-Feb-2021 09:00 PM,Rejected-AOC,Not found lowest,03-Sep-2021 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security in form specified in section 8,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,200244.0,Dinesh Kumar Sharma Const. (P) Ltd,28-Feb-2021 03:08 PM,Rejected-AOC,Not found lowest,03-Sep-2021 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Qualification information as supporting documents as specified in section 2,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,200891.0,Munish kumar sharma,28-Feb-2021 02:14 PM,Accepted-AOC,Being lowest,03-Sep-2021 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate undertaking affidavit as specified in the section2,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,200896.0,P K Construction Shimla Pvt Ltd,27-Feb-2021 04:30 PM,Rejected-AOC,Not found lowest,03-Sep-2021 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information pursuant to clause 4.2 of the instructions.,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,200962.0,Vijay Kumar Sharma,28-Feb-2021 03:56 PM,Rejected-AOC,Not found lowest,03-Sep-2021 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking reg. validity of the bid as per clause 5.1,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Acceptance/ non acceptance of dispute review expert Clause 36,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,AOC
