S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Due to change of bid submission/end date,Date,,1.0,ICICI BANK,10-May-2021 09:00 AM,24-May-2021 11:30 AM,10-May-2021 09:00 AM,24-May-2021 10:30 AM,NA ,NA ,10-May-2021 09:00 AM,24-May-2021 10:30 AM,30-Jun-2021 11:30 AM,C.O link road to village Balokhar Distt. Hamirpur H.P. SH.PL 20 mm thick premix in Km. 0.0 to 0.700,C.O link road to village Balokhar Distt. Hamirpur H.P. SH.PL 20 mm thick premix in Km. 0.0 to 0.700,Please refer Tender documents. ,NA ,"7,58,316",Civil Works - Roads,NA ,Tender,75.0,90.0,BHORANJ,176045.0,NA ,NA ,NA ,BHORANJ,No ,No,350.0,Nil,Nil,Yes,"15,200",Yes,fixed,,Nil,Nil,"Executive Engineer, Bhoranj Division, HP.PWD., Bho",Executive Engineer Bhoranj Division HP.PWD. Bhoranj,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form.,PWD,C/O link road to village Balokhar JOB NO 2,2021_PWD_47334_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,1.0,213091.0,ashok Thakur,23-May-2021 05:55 PM,Rejected-AOC,Accept,25-Sep-2021 01:04 PM,Technical,Summary attached,Virender Singh Guleria,26-Jun-2021 04:31 PM,technical_71082.pdf,1.0,213129.0,PRATEEK THAKUR GOVT CONTRACTOR,INR,"778,805.8",Finance,Summary attached,Virender Singh Guleria,20-Jul-2021 05:08 PM,finance_71082.pdf,BOQ Comparative Chart,"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt. HDM, DAO, A.E.Samirpur Sub Division",Virender Singh Guleria,26-Jun-2021 04:34 PM,30-Jun-2021 11:30 AM,techsummary_71082.pdf (1085.34 KB),PWD,2021_PWD_47334_1,C/O link road to village Balokhar JOB NO 2,C.O link road to village Balokhar Distt. Hamirpur H.P. SH.PL 20 mm thick premix in Km. 0.0 to 0.700,25-Sep-2021,"INR 778,806",90.0,Virender Singh Guleria,25-Sep-2021 01:04 PM,2021_PWD_47334_1.PDF (1079.00 KB),Award letter attached,"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt. HDM, DAO, A.E.Samirpur Sub Division",Virender Singh Guleria,20-Jul-2021 05:12 PM,finsummary_71082.pdf (799.66 KB),AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,,,,,,,,,,,,,,,AOC,2.0,213129.0,PRATEEK THAKUR GOVT CONTRACTOR,23-May-2021 04:28 PM,Accepted-AOC,Accept,25-Sep-2021 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration - REFER HPPWD-6 16(3).,,,,,,,,,,,,,,,AOC,3.0,213304.0,Praveen Thakur,23-May-2021 11:36 AM,Rejected-AOC,Accept,25-Sep-2021 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per Gen Rules 25 and Schedule F Sr. No.6",,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate not less than 40 percent of estimated cost on prescribed format,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 16,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
