S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
1.0,214832.0,MSC Roads and Bridges Private Limited,INR,"6,428,539.79",Finance,Attached,Vivek Sharma,06-Jul-2021 07:04 AM,finance_71771.pdf,BOQ Comparative Chart,Technical,Attached,Vivek Sharma,17-Jun-2021 04:01 PM,technical_71771.pdf,1.0,Corrigendum,Corrigendum,17-Jun-2021 12:24 PM,ReEvaluation.pdf ,974.31,Technical Opening,1.0,214602.0,MOHINDER PAL GOVT. CONTRACTOR,02-Jun-2021 02:52 PM,Rejected-AOC,l2,22-Sep-2021 07:50 AM,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,06-Jul-2021 07:18 AM,finsummary_71771.pdf (848.85 KB),22-Sep-2021,"INR 6,428,540",30.0,Vivek Sharma,22-Sep-2021 07:50 AM,AwardHamirpurSubDiv.pdf (1405.00 KB),Award Letter,PWD,2021_PWD_47871_1,AMP on Hamirpur on Link road to Village Darballi r,Annual maintenance Plan for the year 2021-2022 of PMGSY road under Hamirpur Sub Division (i) AMP on Hamirpur on Link road to Village Darballi road(VR051). KM 0/00 to 1/00.,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,17-Jun-2021 04:10 PM,17-Jun-2021 04:15 PM,techsummary_71771.pdf (988.28 KB),AOC,EE Hamirpur,Executive Engineer HPPWD Hamirpur,"2,000",Nil,Nil,No,PWD,AMP on Hamirpur on Link road to Village Darballi r,2021_PWD_47871_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Annual maintenance Plan for the year 2021-2022 of PMGSY road under Hamirpur Sub Division (i) AMP on Hamirpur on Link road to Village Darballi road(VR051). KM 0/00 to 1/00.,(ii) AMP on Hamirpur on Link road to Guhal road(VR047). KM 0/0 to 3/00. (iii) AMP on Hamirpur on Nalti to Dakohal road (VR041). KM 0/00 to 2/00 (SH P/L 30mm thick Bituminous Concrete 80mm thick paver block and V-Shape drain etc.).,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"1,03,700",No,fixed,,Nil,Nil,28-May-2021 06:00 PM,04-Jun-2021 11:30 AM,28-May-2021 06:00 PM,04-Jun-2021 10:30 AM,NA ,NA ,28-May-2021 06:00 PM,04-Jun-2021 10:30 AM,17-Jun-2021 04:15 PM,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,214847.0,M/S BHAGWATI CONSTRUCTION CO.,03-Jun-2021 07:43 PM,Rejected-AOC,l3,22-Sep-2021 07:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate AS PER SBD GENERAL RULES AND DIRECTIONS-16 SIMILAR WORK DONE 40 PERSENT,AOC
,,,,,,,,,,,,,,,,,,,,,,,3.0,214832.0,MSC Roads and Bridges Private Limited,03-Jun-2021 07:36 PM,Accepted-AOC,l1,22-Sep-2021 07:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,AOC
,,,,,,,,,,,,,,,,,,,,,,,4.0,214239.0,S.S.Chauhans Construction Private Limted,03-Jun-2021 07:33 PM,Rejected-AOC,l4,22-Sep-2021 07:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration and GST and EPF Clearness latest statement,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders required to have paver Machine and Hot Mini Plant in the radius of 30km for execution,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,having NOC from State Pollution Control Board.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery as per SBD with proof,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,AOC
