Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
26-Aug-2021 03:30 PM,02-Sep-2021 11:30 AM,26-Aug-2021 03:35 PM,02-Sep-2021 11:00 AM,NA ,NA ,26-Aug-2021 03:40 PM,02-Sep-2021 11:00 AM,06-Sep-2021 10:30 AM,"34,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,PWD,7051-81 HPPWD Palampur,2021_PWD_51694_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"C/O Cow Sanctuary at Kudan Dehal PO Jia, Tehsil Palampur",C/O Attendent Room and Toodi Store,Please refer Tender documents. ,NA ,"17,63,233",Civil Works - Buildings,NA ,Tender,120.0,90.0,Palampur,176061.0,NA ,NA ,NA ,EE HPPWD Division Palampur,No ,No,1.0,ICICI BANK,500.0,Nil,Nil,No,Executive Engineer,HPPWD Division Palampur,Er.B.M Thakur,Internal,"Er Ankit Samkaria , AE Gopalapur , Er. Manoj Sood AE to EE, Sh. Rajinder Choudahry Sr. DAO, Sh Kartar Chand Supdt, Sh Manoj Kumar HDM",Manoj Sood,04-Sep-2021 04:37 PM,06-Sep-2021 10:30 AM,techsummary_77288.pdf (1386.33 KB),PWD,2021_PWD_51694_1,7051-81 HPPWD Palampur,"C/O Cow Sanctuary at Kudan Dehal PO Jia, Tehsil Palampur",17-Sep-2021,"INR 1,763,233",90.0,Manoj Sood,18-Sep-2023 01:53 PM,aocjia.pdf (210.00 KB),AOC,Er.B.M Thakur,Internal,"Er Ankit Samkaria , AE Gopalapur , Er. Manoj Sood AE to EE, Sh. Rajinder Choudahry Sr. DAO, Sh Kartar Chand Supdt, Sh Manoj Kumar HDM",Manoj Sood,09-Sep-2021 11:53 AM,finsummary_77288.pdf (566.55 KB),1.0,233365.0,M/S ER RAJ SHARMA GOVT CONTRACTOR,01-Sep-2021 08:11 PM,Accepted-AOC,AOC,18-Sep-2023,Technical,Summary,Manoj Sood,04-Sep-2021 04:34 PM,technical_77288.pdf,1.0,233365.0,M/S ER RAJ SHARMA GOVT CONTRACTOR,INR,"2,830,273",Finance,Summary,Manoj Sood,09-Sep-2021 11:50 AM,finance_77288.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,233310.0,Prithvi Raj Government Contracter,01-Sep-2021 06:14 PM,Rejected-Technical,Non-Responsive,04-Sep-2021,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,233583.0,Rakesh Chandel,02-Sep-2021 10:55 AM,Rejected-Finance,L2,09-Sep-2021,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
