Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Category,Sub Category,Sub Category Description,Format/File,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,S.No.2,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
22-Sep-2021,"INR 198,000,000",547.0,Vivek Sharma,22-Sep-2021 04:04 PM,LOABRIDGE.PDF (1020.00 KB),Lowest bidder,CE(HZ),Internal,S.E.D.EE.D.II.EE Dharampur.S.E8th.DC.F.A,Vivek Sharma,22-Sep-2021 03:55 PM,finsummary_73653.pdf (1031.27 KB),Vijay Kumar Chaudhary SE,Internal,Supdt (B) Supdt(W) CHD DAO (HMR) AE(D) EE D/Pur,Vivek Sharma,13-Aug-2021 04:54 PM,21-Aug-2021 11:30 AM,techsummary_73653.pdf (571.70 KB),PWD,2021_PWD_49156_1,C/o 160 mtr span bridge over Beas at Kothipattan,C/o 160 mtr span bridge over Beas at Kothipattan,1.0,225615.0,Sai Engineering Foundation,INR,"198,000,000",Finance,Financial Bid Opening Summary,Vivek Sharma,21-Aug-2021 01:05 PM,finance_73653.pdf,BOQ Comparative Chart,Technical,bid opening summery,Vivek Sharma,05-Aug-2021 12:27 PM,technical_73653.pdf,1.0,225615.0,Sai Engineering Foundation,02-Aug-2021 04:33 PM,Accepted-AOC,L1,22-Sep-2021 04:04 PM,AOC,"31,30,000",No,fixed,,EE Dharampur,Dharampur,"12,000",EE Dharampur,Dharampur,No,C/o 160 mtr span bridge over Beas at Kothipattan,CO 150.00Actual 160.00 mtrs Span Double laneBridge with footpath over River Beas at Kothipattan on Dharampur Sandhole road via Seoh Langana at RD 1.200 SH- Co of Substructure Superstructure both side approach road under CRIF .,Please refer Tender documents. ,NA ,,Civil Works - Bridges,NA ,Tender,120.0,547.0,Dharampur,177001.0,Hamirpur ,Chief Engineer Hamirpur Zone Office ,12-Jul-2021 11:30 AM ,Hamirpur,No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Superintending Engineer,SE 8th Circle HPPWD Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Cost of form,PWD,C/o 160 mtr span bridge over Beas at Kothipattan,2021_PWD_49156_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,1.0,Corrigendum 1,Other,,28-Jun-2021 06:00 PM,03-Aug-2021 11:30 AM,28-Jun-2021 06:00 PM,02-Aug-2021 05:00 PM,28-Jun-2021 06:00 PM ,11-Jul-2021 05:00 PM ,28-Jun-2021 06:00 PM,02-Aug-2021 05:00 PM,21-Aug-2021 11:30 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,226610.0,Vijay Kumar Sharma,02-Aug-2021 02:16 PM,Rejected-AOC,L2,22-Sep-2021 04:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,.pdf,Bid Security,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,226814.0,V K Gupta and Associates,02-Aug-2021 04:13 PM,Rejected-AOC,L3,22-Sep-2021 04:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,.pdf,Copy of Registration,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,.pdf,Annual Turnover last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,.pdf,Work done Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,.pdf,Credit Facility duly issued by bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,.pdf,List of staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,.pdf,List of machinery plants and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding any litigation case of arbitration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance sheet last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Existing commitment and ongoing works and bids already submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Quality Assurance Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
