Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Attached,Vivek Sharma,28-Sep-2021 08:04 PM,finance_71526.pdf,BOQ Comparative Chart,1.0,214203.0,RAJESH KUMAR GOVT CONTRACTOR,INR,"905,330",Technical,Attached,Vivek Sharma,05-Jun-2021 05:49 PM,technical_71526.pdf,1.0,214226.0,Ajay Kumar Thakur,30-May-2021 08:08 PM,Rejected-Finance,l3,28-Sep-2021 08:09 PM,28-Sep-2021,"INR 903,643",30.0,Vivek Sharma,28-Sep-2021 08:14 PM,AwardMattan.pdf (936.00 KB),Award letter,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,28-Sep-2021 08:09 PM,finsummary_71526.pdf (697.18 KB),EE Hamirpur,Internal,SupdtHDMSrDAO,Vivek Sharma,05-Jun-2021 05:56 PM,05-Jun-2021 06:00 PM,techsummary_71526.pdf (996.95 KB),PWD,2021_PWD_47678_1,R/R damages Mattan Sidh Paca Bharo Km 0/0 to 5/400,damages on Mattan Sidh to Hamirpur Pacca Bharo road km 0/0 to 5/400,AOC,PWD,R/R damages Mattan Sidh Paca Bharo Km 0/0 to 5/400,2021_PWD_47678_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,21-May-2021 06:00 PM,31-May-2021 11:30 AM,21-May-2021 06:00 PM,31-May-2021 10:30 AM,NA ,NA ,21-May-2021 06:00 PM,31-May-2021 10:30 AM,05-Jun-2021 06:00 PM,"27,200",No,fixed,,Nil,Nil,damages on Mattan Sidh to Hamirpur Pacca Bharo road km 0/0 to 5/400,SH Construction of footpath and drain RD 4/225 to 4/405,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpr,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,ICICI BANK,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,2.0,214203.0,RAJESH KUMAR GOVT CONTRACTOR,29-May-2021 01:16 PM,Accepted-AOC,l1,28-Sep-2021 08:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Work in hand Certificate AS PER SBD GENERAL RULES AND DIRECTIONS-16,AOC
,,,,,,,,,,,,,,,,3.0,214220.0,SATISH KUMAR SHARMA,29-May-2021 09:35 PM,Rejected-Finance,l2,28-Sep-2021 08:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration and GST and EPF Clearness latest statement,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery as per SBD with proof,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and upload,AOC
