Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Summary,Roshan Lal Atri,02-Jul-2021 05:13 PM,technical_70621.pdf,1.0,211685.0,Dinesh Construction Works,09-May-2021 10:23 PM,Rejected-AOC,Rejected,02-Sep-2021 01:41 PM,1.0,211596.0,LAL SINGH,INR,"11,588,024",Finance,Summary,Jagtar Singh Thakur,02-Sep-2021 01:25 PM,finance_70621.pdf,BOQ Comparative Chart,Er. M.P Dhiman SE 9th Circle HP PWD Nurpur,Internal,EE Jawali DAO EE (D),Jagtar Singh Thakur,02-Sep-2021 01:35 PM,finsummary_70621.pdf (1656.83 KB),02-Sep-2021,"INR 11,588,024",365.0,Jagtar Singh Thakur,02-Sep-2021 01:41 PM,Award.pdf (1483.00 KB),Award,PWD,2021_PWD_47028_1,SEIX/WS/E-TENDER/21-163-168 Dt 16-04-21,Construction of Giran Khad Nodkut Jarpal Upper Amlela to Amlela road joining Amlela Ghar Jarot road km. 0/0 to 5/500 (Portion 1/795 to 3/665 Phase-II) under Nabard RIDF-XXVI in Tehsil Jawali District Kangra (HP) under Nabard RIDF-XXVI,SE 9th circle HPPWD Nurpur,Internal,EE Design 9th circle EE HPPWD Jawali DAO HPPWD Jawali,Roshan Lal Atri,02-Jul-2021 05:17 PM,07-Jul-2021 11:30 AM,techsummary_70621.pdf (1776.81 KB),AOC,30-Apr-2021 11:00 AM,11-May-2021 11:30 AM,30-Apr-2021 11:00 AM,10-May-2021 05:00 PM,NA ,NA ,30-Apr-2021 11:00 AM,10-May-2021 05:00 PM,07-Jul-2021 11:30 AM,"2,24,000",No,fixed,,Nil,Nil,Construction of Giran Khad Nodkut Jarpal Upper Amlela to Amlela road joining Amlela Ghar Jarot road km. 0/0 to 5/500 (Portion 1/795 to 3/665 Phase-II) under Nabard RIDF-XXVI in Tehsil Jawali District Kangra (HP) under Nabard RIDF-XXVI,"Construction of 5/7 Metre wide Formation cutting, Retaining walls, Breast walls, Cross Drainage work Road side Drain, Metalling/Tarring and Parapets from km. 1/795 to 3/665 including five years maintenance period after completion",Please refer Tender documents. ,NA ,"1,11,59,368",Civil Works,NA ,Tender,90.0,365.0,JAWALI,176023.0,NA ,NA ,NA ,9TH CIRCLE HPPWD NURPUR,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Fee and Earnest Money online,PWD,SEIX/WS/E-TENDER/21-163-168 Dt 16-04-21,2021_PWD_47028_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER,SUPERINTENDING ENGINEER 9TH CIRCLE HPPWD NURPUR,"5,000",Nil,Nil,No,AOC
,,,,,2.0,211877.0,garg,10-May-2021 04:33 PM,Rejected-AOC,Rejected,02-Sep-2021 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Copy of PAN, Latest ITR,GST, EPF as per Clause 4.4 of ITB",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,211596.0,LAL SINGH,10-May-2021 11:33 AM,Accepted-AOC,Accepted,02-Sep-2021 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration as per Clause 3 of ITB,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,211315.0,raman kant sharma,10-May-2021 12:49 PM,Rejected-Technical,Non responsive,02-Jul-2021 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover Certificate last five financial years from CA as per clause 4.4 of ITB,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,211568.0,Ravinder Kumar,10-May-2021 02:08 PM,Rejected-AOC,Rejected,02-Sep-2021 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate one single Similar nature work not less than 40 percent amount put to tender,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6.0,211783.0,SEWA SINGH,10-May-2021 12:38 PM,Rejected-AOC,Rejected,02-Sep-2021 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand as per clause 4.4 of ITB,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,7.0,211692.0,V S SAINI,09-May-2021 09:04 PM,Rejected-AOC,Rejected,02-Sep-2021 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and plant owned or brought on hire or lease as per clause 4.4B (b) (i) of ITB,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Technical staff as per clause 4.4 of ITB,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of Bid Document 4.4 B (a) (ii) of ITB,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail regarding arbitration litigation cases for the last five years per Clause 4.4 (i) of ITB,,,,,,,,,,,,,,,,,,,,,AOC
