Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
PWD,1561-66,2021_PWD_47666_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,corrigendum,Fee,,"5,000",Nil,Nil,No,27-May-2021 04:00 PM,10-Jun-2021 11:00 AM,27-May-2021 04:00 PM,09-Jun-2021 03:00 PM,NA ,NA ,27-May-2021 04:00 PM,09-Jun-2021 03:00 PM,15-Jul-2021 10:30 AM,"4,73,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,Improvement and widening of Rirkmar to Ghatarda road km.0/0 to 3/500 in Distt. Kangra (HP) under NABARD RIDF-XXVI,"(SH Formation cutting, Passing places, R/Wall, CD work, GSB, WBM-II, WBM-III, Tarring work, cement concrete pavement, side drain and parapets)",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,120.0,365.0,Kangra,176001.0,NA ,NA ,NA ,Kangra,No ,No,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-1 of the Bid as per Section-6,"Executive Engineer HPPWD Division, Kangra","Executive Engineer HPPWD Division, Kangra",AOC,1.0,215759.0,Ashok Kumar,09-Jun-2021 02:57 PM,Accepted-AOC,Rate quoted by the contractor is lower side,09-Sep-2021 02:13 PM,Technical,Summary,Vijay Kumar Verma,09-Jul-2021 10:51 AM,technical_71708.pdf,Finance,Summary,Vijay Kumar Verma,27-Jul-2021 03:03 PM,finance_71708.pdf,BOQ Comparative Chart,1.0,215759.0,Ashok Kumar,INR,"17,940,830","S.E. 5th Circle, Palampur",Internal,"Executive Engineer (D), 5th Circle, Palampur, E.E. HPPWD, Kangra, DAO HPPWD, Dharamshala, CHD, HPPWD Palampur, Supdt. Gr-II (Works)HPPWD Palampur",Vijay Kumar Verma,09-Jul-2021 10:57 AM,15-Jul-2021 10:30 AM,techsummary_71708.pdf (695.77 KB),PWD,2021_PWD_47666_3,1561-66,Improvement and widening of Rirkmar to Ghatarda road km.0/0 to 3/500 in Distt. Kangra (HP) under NABARD RIDF-XXVI,07-Sep-2021,"INR 23,611,047",365.0,Vijay Kumar Verma,09-Sep-2021 02:13 PM,Awardletter.pdf (1715.00 KB),Award,"S.E. 5th Circle, HPPWD, Palampur",Internal,"Executive Engineer (D), 5th Circle, Palampur, Executive Engineer, HPPWD, Division, Kangra, DAO HPPWD, Dharamshala, CHD, 5th Circle, Palampur, Supdt. (Gr-I), (Works), HPPWD, Palampur",Vijay Kumar Verma,27-Jul-2021 03:08 PM,finsummary_71708.pdf (726.69 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No.3,,,AOC,2.0,215572.0,Gandharav Singh,09-Jun-2021 11:38 AM,Rejected-Finance,Rated quoted higher side,27-Jul-2021 03:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 C1-16.1,,,AOC,3.0,215681.0,NAVNEET SHARMA,09-Jun-2021 02:45 PM,Rejected-Finance,Rated quoted higher side,27-Jul-2021 03:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q-1 Section 3 (1.1),,,AOC,4.0,215292.0,sanjeev singh govt contractor,09-Jun-2021 01:43 PM,Rejected-Technical,Non Responsive,09-Jul-2021 10:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.3.1), (1.3.2), (1.3.3)",,,AOC,5.0,215766.0,VP SHARMA,09-Jun-2021 02:42 PM,Rejected-Finance,Rated quoted higher side,27-Jul-2021 03:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.4), (1.5)",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.2), (1.7)",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.6), (1.8), (1.9), (1.10)",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 2 C1 (4.2, 4.4- A and B)",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Other documents i.e. GST, PAN, EPF etc.",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder would like to provide,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
