S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,230055.0,TILAK RAJ,INR,"7,325,826",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur,2021_HPSEB_51027_1,NIT-03/2021-22,"Tender for the work Survey, Design, Manufacturing, Supply of Material, Erection, Testing and Commissioning of 3X22 KV Metering Equipment Out door type 22 KV CT PT Combined unit, Augmentation of 3 x 22/.4 KV 250 KVA, 1x22/0.4 KV 100 KVA Distribution S",Er Pankaj Sharma,Internal,,Pankaj Sharma,27-Sep-2021 11:06 AM,finsummary_76292.pdf (700.09 KB),Technical,Tech Bid Summary,Pankaj Sharma,23-Aug-2021 01:22 PM,technical_76292.pdf,Finance,Summary,Pankaj Sharma,28-Aug-2021 04:42 PM,finance_76292.pdf,BOQ Comparative Chart,28-Sep-2021,"INR 7,325,826",120.0,Pankaj Sharma,29-Sep-2021 05:04 PM,awardnit3.pdf (3138.00 KB),1.0,231027.0,CONT ANIL KUMAR,19-Aug-2021 07:28 PM,Rejected-Finance,High Rates,27-Sep-2021 11:06 AM,Er. Pankaj Sharma,Internal,,Pankaj Sharma,28-Aug-2021 12:02 PM,28-Aug-2021 12:05 PM,techsummary_76292.pdf (1145.80 KB),AOC,1.0,Fee,.pdf,Form Fee and Earnest Money,"1,74,383",No,fixed,,Nil,Nil,SE OP Circle HPSEBL Bilaspur,SE OP Circle HPSEBL Bilaspur,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur,NIT-03/2021-22,2021_HPSEB_51027_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Online,No,No,No,"2,950",Nil,Nil,No,12-Aug-2021 11:00 AM,21-Aug-2021 11:00 AM,13-Aug-2021 11:00 AM,20-Aug-2021 11:00 AM,NA ,NA ,13-Aug-2021 11:00 AM,20-Aug-2021 11:00 AM,28-Aug-2021 12:05 PM,1.0,ICICI BANK,"Tender for the work Survey, Design, Manufacturing, Supply of Material, Erection, Testing and Commissioning of 3X22 KV Metering Equipment Out door type 22 KV CT PT Combined unit, Augmentation of 3 x 22/.4 KV 250 KVA, 1x22/0.4 KV 100 KVA Distribution S","Tender for the work Survey, Design, Manufacturing, Supply of Material, Erection, Testing and Commissioning of 3X22 KV Metering Equipment Out door type 22 KV CT PT Combined unit, Augmentation of 3 x 22/.4 KV 250 KVA, 1x22/0.4 KV 100 KVA Distribution S",Please refer Tender documents. ,NA ,"69,75,313",Electrical Works,NA ,Tender,180.0,120.0,Chhatri,175047.0,NA ,NA ,NA ,SE OP Circle HPSEBL Bilaspur,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,229947.0,SUNEEL THAKUR ELECTRICAL,19-Aug-2021 10:28 PM,Rejected-Finance,High Rates,27-Sep-2021 11:06 AM,,,,,,,,AOC,2.0,PreQual/Technical,.pdf,Financial Turnover by CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,230055.0,TILAK RAJ,19-Aug-2021 07:43 PM,Accepted-AOC,Lowest Bidder,29-Sep-2021 05:04 PM,,,,,,,,AOC,,,.pdf,Work Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,PAN and GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Cancelled Cheque of the firm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Insurance Policies for workmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,A Class Electrical License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Non Black List and Litigation declaration on non judicial paper and no techno-commercial deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Bid Validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
