Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
PWD,R/R damages Tiyala Da Ghat to Patta via Darondla,2021_PWD_48012_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,500.0,Nil,Nil,No,1.0,ICICI BANK,02-Jun-2021 06:00 PM,09-Jun-2021 11:30 AM,02-Jun-2021 06:00 PM,09-Jun-2021 10:30 AM,NA ,NA ,02-Jun-2021 06:00 PM,09-Jun-2021 10:30 AM,29-Jun-2021 10:30 AM,Restoration of rain damages on Tiyala Da Ghat to Patta via Darondla km 0/0 to 4/0,SH Construction of 2.5 metre Span RCC Slab Culvert at RD 0/520 and providing and laying GSB and M/T at km 0/490 to 0/591,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"23,100",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,AOC,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,28-Jun-2021 04:18 PM,29-Jun-2021 10:30 AM,techsummary_71950.pdf (1797.25 KB),PWD,2021_PWD_48012_1,R/R damages Tiyala Da Ghat to Patta via Darondla,Restoration of rain damages on Tiyala Da Ghat to Patta via Darondla km 0/0 to 4/0,28-Sep-2021,"INR 718,301",30.0,Vivek Sharma,28-Sep-2021 08:27 PM,TiyalaAward.pdf (896.00 KB),Award letter,EE Hamirpur,Internal,SupdtHDMSupdtABAEtoEE,Vivek Sharma,20-Jul-2021 09:48 PM,finsummary_71950.pdf (803.16 KB),1.0,215168.0,Ajay Kumar Thakur,05-Jun-2021 08:01 PM,Accepted-AOC,l1,28-Sep-2021 08:27 PM,Technical,Attached,Vivek Sharma,28-Jun-2021 04:11 PM,technical_71950.pdf,1.0,215168.0,Ajay Kumar Thakur,INR,"718,301.3",Finance,Attached,Vivek Sharma,20-Jul-2021 09:44 PM,finance_71950.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate AS PER SBD GENERAL RULES AND DIRECTIONS-16,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,215494.0,ashok Thakur,07-Jun-2021 07:08 PM,Rejected-AOC,l4,28-Sep-2021 08:27 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,215329.0,Manish Chauhan,08-Jun-2021 09:47 AM,Rejected-Technical,Rejected,28-Jun-2021 04:18 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,215206.0,SATISH KUMAR SHARMA,06-Jun-2021 02:09 PM,Rejected-AOC,l2,28-Sep-2021 08:27 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration and GST and EPF Clearness latest statement,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,215711.0,sonam soni,09-Jun-2021 08:33 AM,Rejected-AOC,l3,28-Sep-2021 08:27 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery as per SBD with proof,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and upload,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
