Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
1.0,Fee/PreQual/Technical,.pdf,IFB,PWD,5479-92 dated 12.08.2021,2021_PWD_51510_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,1.0,ICICI BANK,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"28,300",No,fixed,,Nil,Nil,Executive Engineer Kasauli,Executive Engineer Kasauli HPPWD Division Kasauli,21-Aug-2021 06:30 PM,28-Aug-2021 11:00 AM,21-Aug-2021 06:35 PM,27-Aug-2021 04:00 PM,NA ,NA ,21-Aug-2021 06:35 PM,27-Aug-2021 04:00 PM,09-Sep-2021 02:45 PM,Performance Based Financial incentive 2019 20 during the year 2021 22 for Garkhal to Ghai road in Km 0 00 to 6 200,Performance Based Financial incentive 2019 20 during the year 2021 22 for Garkhal to Ghai road in Km 0 00 to 6 200 SH Providing and Laying Renewal coat by Providing 30mm thick Bituminous Concrete in Km 2 00 to 3,as per tender document ,NA ,"14,13,304",Civil Works,NA ,Tender,90.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,Er. M.L Sharma,Internal,Dharam Singh HDM Deepak Waila Supdt Vishal Bhardwaj AE,Manohar Lal Sharma,09-Sep-2021 02:42 PM,09-Sep-2021 02:45 PM,techsummary_76992.pdf (278.53 KB),PWD,2021_PWD_51510_1,5479-92 dated 12.08.2021,Performance Based Financial incentive 2019 20 during the year 2021 22 for Garkhal to Ghai road in Km 0 00 to 6 200,27-Sep-2021,"INR 1,413,304",90.0,Satish Kumar,19-Aug-2023 12:37 PM,AOC27.pdf (1016.00 KB),AOC,Er. M.L Sharma,Internal,Dharam Singh HDM Deepak Waila Supdt Vishal Bhardwaj AE,Manohar Lal Sharma,18-Sep-2021 03:20 PM,finsummary_76992.pdf (160.88 KB),1.0,232340.0,Asphalt Carpet Construction Company,27-Aug-2021 12:14 PM,Accepted-AOC,work completed,19-Aug-2023,Technical,bidsummary,Manohar Lal Sharma,09-Sep-2021 02:39 PM,technical_76992.pdf,1.0,232340.0,Asphalt Carpet Construction Company,INR,"1,346,400",Finance,Financial Summary,Manohar Lal Sharma,18-Sep-2021 03:15 PM,finance_76992.pdf,BOQ Comparative Chart
2.0,Finance,.pdf,SBD,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,232358.0,RAVINDER KUMAR,26-Aug-2021 06:27 PM,Rejected-Finance,Being L2,18-Sep-2021,,,,,,,,,,,,,,,,
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,8,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,9,Work Details ,Works Completed ,Works Completed Details ,HP_WorksCompleted.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
