Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
27-Feb-2021 09:00 AM,12-Mar-2021 11:30 AM,27-Feb-2021 09:00 AM,11-Mar-2021 06:00 PM,NA ,NA ,27-Feb-2021 09:00 AM,11-Mar-2021 06:00 PM,18-Mar-2021 11:00 AM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,Annual Surfacing on Jarol to Jeor road (Salwana to Jeor) (PMGSY),"SH Providing and laying 30mm thick bituminous concrete including profile correction layer, V-shape drain in Km 7.00 to 9.00",As per bid document ,NA ,"22,89,570",Civil Works,Tarring ,Tender,75.0,60.0,In Sunder Nagar Division HPPWD,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,"42,000",No,fixed,,EE Sundernagar,Sundernagar,PWD,PW-SNR-CB-E-Tender/20- 19610-20 dt. 18.02.2021,2021_PWD_44885_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,EE Sundernagar,Sundernagar,No,Executive Engineer,O/O Executive Engineer Sunder Nagar Division HPPWD,AOC,1.0,202810.0,Ajmer Singh,INR,"2,594,782",Finance,FBOS,Chaman Singh,19-Mar-2021 02:36 PM,finance_67406.pdf,BOQ Comparative Chart,1.0,202840.0,A.A. ENTREPRENEURS,11-Mar-2021 02:21 PM,Rejected-AOC,Not found lowest,03-Sep-2021 01:48 PM,Technical,BOS,Chaman Singh,12-Mar-2021 06:55 PM,technical_67406.pdf,PWD,2021_PWD_44885_1,PW-SNR-CB-E-Tender/20- 19610-20 dt. 18.02.2021,Annual Surfacing on Jarol to Jeor road (Salwana to Jeor) (PMGSY),Er. D.R. Chauhan Executive Engineer,Internal,Hitesh Sharma Member Sushil Kumar Member Amar Singh Member Rattan Lal Member,Chaman Singh,17-Mar-2021 04:12 PM,18-Mar-2021 11:00 AM,techsummary_67406.pdf (1310.06 KB),Er. D.R. Chauhan Executive Engineer,Internal,Sh. Sushil Kuma rDAO GR-I Sh. Amar Singh HDM Sh. Rattan Lal Supdt.,Chaman Singh,03-Sep-2021 01:46 PM,finsummary_67406.pdf (1603.84 KB),03-Sep-2021,"INR 2,594,782",60.0,Chaman Singh,03-Sep-2021 01:48 PM,AOCJarolJeor7to9.pdf (1604.00 KB),AOC issued,AOC
,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,202810.0,Ajmer Singh,11-Mar-2021 12:33 PM,Accepted-AOC,Being responsive,03-Sep-2021 01:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,202859.0,S.A. ASSOCIATES,11-Mar-2021 03:42 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,12-Mar-2021 06:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Latest ITR Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
