S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
1.0,228224.0,RAJINDER CHAUHAN,INR,"856,790",Finance,UPLOADED SUMMARY,Ramesh Rana,22-Sep-2021 01:17 PM,finance_75994.pdf,BOQ Comparative Chart,Technical,SUMMARY UPLOADED,Ramesh Rana,11-Aug-2021 05:03 PM,technical_75994.pdf,1.0,228458.0,Dinesh Chandel,09-Aug-2021 11:14 AM,Rejected-Technical,Not Qualified,11-Aug-2021 05:13 PM,22-Sep-2021,"INR 993,917",60.0,Ramesh Rana,22-Sep-2021 01:30 PM,a.pdf (782.00 KB),Executive Engineer,Internal,"XEN, AE, HDM, Sr. Asstt",Ramesh Rana,22-Sep-2021 01:22 PM,finsummary_75994.pdf (188.37 KB),Executive Engineer,Internal,"Executive Engineer, Assistant Engineer, HDM, Sr. Assistant Sr. Assistant",Ramesh Rana,11-Aug-2021 05:13 PM,11-Aug-2021 05:15 PM,techsummary_75994.pdf (378.50 KB),PWD,2021_PWD_50814_1,PW-KD-E-Tender/2021-22-2032-34 dt 27-07-2021,Improvement of Gazta Joney Garaog Nihari Road in K.M. 0/00 to 16/00,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),Improvement of Gazta Joney Garaog Nihari Road in K.M. 0/00 to 16/00,"C/o, R/Wall at R.D. 2/366 to 2/376 and B/Wall at R.D. 9/680 to 9/695 and wire crate at various works",Please refer Tender documents. ,NA ,"9,93,917",Civil Works - Roads,NA ,Tender,90.0,60.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,350.0,Nil,Nil,No,04-Aug-2021 02:50 PM,10-Aug-2021 11:00 AM,04-Aug-2021 02:50 PM,09-Aug-2021 06:00 PM,NA ,NA ,04-Aug-2021 02:50 PM,09-Aug-2021 06:00 PM,11-Aug-2021 05:15 PM,"20,000",No,fixed,,Nil,Nil,Executive Engineer,Division HPPWD kotkhai,PWD,PW-KD-E-Tender/2021-22-2032-34 dt 27-07-2021,2021_PWD_50814_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,2.0,228224.0,RAJINDER CHAUHAN,07-Aug-2021 05:41 PM,Accepted-AOC,L1 Bidder issued to award letter,22-Sep-2021 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,3.0,228618.0,SANJEEV KUMAR CONTRACTOR,09-Aug-2021 04:29 PM,Rejected-Finance,L2 Bidder,22-Sep-2021 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
