Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,BOS,Jeet Singh Thakur,06-Mar-2021 07:04 PM,technical_66501.pdf,1.0,200450.0,Ajay Kumar,25-Feb-2021 07:54 AM,Accepted-AOC,L1,07-Sep-2021 03:21 PM,1.0,200450.0,Ajay Kumar,INR,"1,918,940",Finance,BOS,Jeet Singh Thakur,07-Sep-2021 02:42 PM,finance_66501.pdf,BOQ Comparative Chart,EE,Internal,Assistant Engineer superintendent and Senior Assistant,Jeet Singh Thakur,07-Sep-2021 03:13 PM,finsummary_66501.pdf (207.28 KB),07-Sep-2021,"INR 1,216,789",60.0,Jeet Singh Thakur,07-Sep-2021 03:21 PM,AOC15691-97.pdf (594.00 KB),"Providing Crash Barrier on Janghi Lilh road at RD 5/480-540, 6/750-850, 9/540-590, 9/920-10/010, 10/990-11/0, 11/330-360, 12/220-250, 12/510-540, 12/600-710 and 12/780-890",PWD,2021_PWD_44361_3,No. 13485-585 dated 4.2.2021,"Providing Crash Barrier on Janghi Lilh road at RD 5/480-540, 6/750-850, 9/540-590, 9/920-10/010, 10/990-11/0, 11/330-360, 12/220-250, 12/510-540, 12/600-710 and 12/780-890",Executive Engineer,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,06-Mar-2021 07:08 PM,09-Mar-2021 11:30 AM,techsummary_66501.pdf (294.96 KB),AOC,"Providing Crash Barrier on Janghi Lilh road at RD 5/480-540, 6/750-850, 9/540-590, 9/920-10/010, 10/990-11/0, 11/330-360, 12/220-250, 12/510-540, 12/600-710 and 12/780-890","Providing Crash Barrier on Janghi Lilh road at RD 5/480-540, 6/750-850, 9/540-590, 9/920-10/010, 10/990-11/0, 11/330-360, 12/220-250, 12/510-540, 12/600-710 and 12/780-890",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,60.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD. Chamba,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form in shape of Demand Draft,500.0,Executive Engineer Chamba Division HPPWD. Chamba,Executive Engineer Chamba Division HPPWD. Chamba,No,1.0,DD - Demand Draft,15-Feb-2021 10:00 AM,26-Feb-2021 11:30 AM,15-Feb-2021 10:00 AM,25-Feb-2021 05:00 PM,NA ,NA ,15-Feb-2021 10:00 AM,25-Feb-2021 05:00 PM,09-Mar-2021 11:30 AM,Executive Engineer Chamba Division HPPWD. Chamba,Executive Engineer Chamba Division HPPWD. Chamba,PWD,No. 13485-585 dated 4.2.2021,2021_PWD_44361_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"24,350",No,fixed,,Executive Engineer Chamba Division HPPWD. Chamba,Executive Engineer Chamba Division HPPWD. Chamba,AOC
,,,,,2.0,200616.0,SONU GOVT. CONTRACTOR,25-Feb-2021 04:05 PM,Rejected-AOC,L3,07-Sep-2021 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,200493.0,WALIA CONSTRUCTIONS,25-Feb-2021 04:05 PM,Rejected-AOC,L2,07-Sep-2021 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Pan ( Permanent Account No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of work in hand / ongoing work, documentary proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Crash Barrier should be As per IS 1367 and IS 1364 as per MoRTH clause 810, documentary proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
