Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
HP SIDC Limited,2021_SIDC_50138_1,Job No. 3,"C/o Mahasheer Hatchery-cum-carp Breeding Unit at Vill. Nagar in Sunni Distt. Shimla (HP). (SH- Balance work)(building portion, boundary wall and laying of pipeline).",SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Ram vashisist,25-Aug-2021 12:46 PM,finsummary_74962.pdf (562.17 KB),1.0,226273.0,Mukesh Kumar,INR,"4,458,798",18-Sep-2021,"INR 4,458,798",180.0,Sushant Singh Negi,20-Sep-2021 10:45 AM,mahasheer.pdf (1218.00 KB),AOC,1.0,226226.0,Abhishek Gupta,29-Jul-2021 08:04 AM,Rejected-Finance,Third lowest bidder,25-Aug-2021 12:46 PM,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,23-Aug-2021 02:57 PM,24-Aug-2021 11:00 AM,techsummary_74962.pdf (607.96 KB),Technical,Technical summary,Sushant Singh Negi,23-Aug-2021 02:54 PM,technical_74962.pdf,Finance,Financial summary,Ram vashisist,25-Aug-2021 12:30 PM,finance_74962.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),"C/o Mahasheer Hatchery-cum-carp Breeding Unit at Vill. Nagar in Sunni Distt. Shimla (HP). (SH- Balance work)(building portion, boundary wall and laying of pipeline).","(SH- Balance work)(building portion, boundary wall and laying of pipeline).",Please refer Tender documents. ,NA ,"33,69,934",Civil Works,NA ,Tender,120.0,180.0,Nagar (sunni),171103.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,Executive Engineer,HPSIDC Ltd. Shimla,"3,800",Nil,Nil,No,22-Jul-2021 11:00 AM,30-Jul-2021 11:00 AM,22-Jul-2021 11:00 AM,29-Jul-2021 05:00 PM,NA ,NA ,22-Jul-2021 11:00 AM,29-Jul-2021 05:00 PM,24-Aug-2021 11:00 AM,HP SIDC Limited,Job No. 3,2021_SIDC_50138_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"58,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,226273.0,Mukesh Kumar,29-Jul-2021 03:16 PM,Accepted-AOC,AOC,20-Sep-2021 10:45 AM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,226272.0,NARENDER SHARMA,29-Jul-2021 03:51 PM,Rejected-Finance,Fourth lowest bidder,25-Aug-2021 12:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,225816.0,VANSHIKA ARJUN CONSTRUCTION PRIVATE LIMITED,28-Jul-2021 08:37 PM,Rejected-Finance,Second lowest bidder,25-Aug-2021 12:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
