Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,FBOS,Chaman Singh,19-Mar-2021 02:41 PM,finance_67403.pdf,BOQ Comparative Chart,1.0,202795.0,Ajmer Singh,INR,"1,811,218",Technical,BOS,Chaman Singh,12-Mar-2021 06:53 PM,technical_67403.pdf,1.0,202844.0,A.A. ENTREPRENEURS,11-Mar-2021 02:31 PM,Rejected-AOC,Not found lowest.,03-Sep-2021 05:02 PM,03-Sep-2021,"INR 1,811,218",60.0,Chaman Singh,03-Sep-2021 05:02 PM,AOCJeorBehna13to15.pdf (1615.00 KB),Er. D.R. Chauhan Executive Engineer,Internal,Sh. Sushil Kumar DAO Gr-I Sh. AMar Singh HDM Sh. Rattan Lal Supdt.,Chaman Singh,03-Sep-2021 05:00 PM,finsummary_67403.pdf (1615.09 KB),Er. D.R. Chauhan Executive Engineer,Internal,Hitesh Sharma AE Member Sushil Kumar DAO Gr-I Member Amar Singh HDM Member Rattan Lal Supdt Member,Chaman Singh,17-Mar-2021 04:23 PM,18-Mar-2021 11:00 AM,techsummary_67403.pdf (1325.07 KB),PWD,2021_PWD_44881_1,PW-SNR-CB-E-Tender/20- 19610-20 dt. 18.02.2021,Annual Surfacing on Jarol to Jeor (Salwana to Jeor) road (V.R),AOC,1.0,DD - Demand Draft,27-Feb-2021 09:00 AM,12-Mar-2021 11:30 AM,27-Feb-2021 09:00 AM,11-Mar-2021 06:00 PM,NA ,NA ,27-Feb-2021 09:00 AM,11-Mar-2021 06:00 PM,18-Mar-2021 11:00 AM,Executive Engineer,Executive Engineer Sunder Nagar Division HPPWD,500.0,EE Sundernagar,Sundernagar,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"32,000",No,fixed,,EE Sundernagar,Sundernagar,PWD,PW-SNR-CB-E-Tender/20- 19610-20 dt. 18.02.2021,2021_PWD_44881_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Annual Surfacing on Jarol to Jeor (Salwana to Jeor) road (V.R),"SH Providing and laying 30mm thick bituminous concrete including profile correction layer, V-shape drain in Km 13/600 to 15/0.",As per bid document ,NA ,"15,98,095",Civil Works,Tarring ,Tender,75.0,60.0,In Sunder Nagar Division HPPWD,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,202795.0,Ajmer Singh,11-Mar-2021 11:37 AM,Accepted-AOC,being responsive and lowest.,03-Sep-2021 05:02 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,202857.0,S.A. ASSOCIATES,11-Mar-2021 03:30 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,12-Mar-2021 06:53 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
