Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
EE Hamirpur,Executive Engineer HPPWD Hamirpur,PWD,Principals Residence Govt. Polytechnic Hamirpur,2021_PWD_48890_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,22-Jun-2021 09:00 AM,29-Jun-2021 11:30 AM,22-Jun-2021 09:00 AM,29-Jun-2021 10:30 AM,NA ,NA ,22-Jun-2021 09:00 AM,29-Jun-2021 10:30 AM,06-Jul-2021 10:30 AM,Earmarked Principals Residence Govt. Polytechnic Hamirpur Distt. Hamirpur,SH Providing and laying precoated G.I. Sheet roofing tile flooring ceiling wall painting Water supply and sanitary work,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,60.0,30.0,Hamirpur,177011.0,NA ,NA ,NA ,Hamirpur,No ,No,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,"19,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,PWD,2021_PWD_48890_1,Principals Residence Govt. Polytechnic Hamirpur,Earmarked Principals Residence Govt. Polytechnic Hamirpur Distt. Hamirpur,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,05-Jul-2021 07:16 PM,06-Jul-2021 10:30 AM,techsummary_73262.pdf (1075.40 KB),EE Hamirpur,Internal,SupdtHDMSupdt(AB)AEtoEE,Vivek Sharma,09-Jul-2021 06:46 AM,finsummary_73262.pdf (738.39 KB),28-Sep-2021,"INR 971,225",30.0,Vivek Sharma,28-Sep-2021 09:04 PM,PolyAward.pdf (913.00 KB),Awar letter,1.0,219728.0,Sunny Kanwar,INR,"948,693.41",Finance,Attached,Vivek Sharma,09-Jul-2021 06:39 AM,finance_73262.pdf,BOQ Comparative Chart,1.0,220038.0,Ajay Kumar Thakur,28-Jun-2021 07:29 PM,Rejected-AOC,l2,28-Sep-2021 09:04 PM,Technical,Attached,Vivek Sharma,05-Jul-2021 07:14 PM,technical_73262.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate AS PER SBD GENERAL RULES AND DIRECTIONS-16,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,218782.0,SATISH KUMAR SHARMA,23-Jun-2021 05:05 PM,Rejected-AOC,l3,28-Sep-2021 09:04 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,219728.0,Sunny Kanwar,27-Jun-2021 09:45 AM,Accepted-AOC,l1,28-Sep-2021 09:04 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration and GST and EPF Clearness latest statement,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,.pdf Copy of Pan No,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery as per SBD with proof,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness and upload,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
