,erosion,District,Details,Date
0,,Baksa,"Barama - 1. Agchia 2. Dolbari | 1. Erosion observed at riverine L/B of Mora Pagladia river at a stretch of 100 m approx. Date of occurrence: 17/06/22. Lat: 26.591495 Lon: 91.392614 2. Erosion occurred on L/B embankment of Mora Pagladia river at Dolbari Gaibari supa at a length of 400 m. Date of occurrence: 17/06/22. Lat: 26.582945 Lon: 91.391315 | 13,  Jalah - Khagrabari | On 17 June 2022, approximately 600 meter of left bank of river beki eroded . | 14",17-06-2022
1,,Biswanath,"Biswanath - Diring Tiniali to Diring T.E Road | Side erosion of the village road from Diring Tiniali to Diring T.E by Diring river on 16.06.2022 at ch.120 m for a length of about 80 m, average Depth of erosion is 1.95 m for an average width of 2 m as per WT message from PWD(roads), Biswanath Territorial Road Division. | 0,  Naduar RC part - Soraijonia | As per report received from Ex. Engineer PWD BSN, Side erosion of the road is observed from sootea to Soraijonia Hospital by the river Mornoi at Ch. 500.00m for a length of about 50 m. The average width &depth of side erosion are 2m & 1.95m. 17.06.2022 | 0,  Halem - Borani Pathar | As reported by Water Resources, Gohpur, Bank erosion is observed at downstream of Railway bridge on the R/B embankment of river Brahmajan from 17/06/2022. Legth 22m | 0",17-06-2022
2,,Bongaigaon,"Manikpur - Nowapara no 2 | one nos house was damge due to erosion at Nowapara. date- 17.06.2022 | 5,  Srijangram - Madhufal and Dubachuri part I | Madhufal: erosion occurred on 17.06.2022 in length of 450 m of river bank of Manas .Dubachuri Part I(90.711696 26.277567): erosion occurred due to flood water | 330",17-06-2022
3,,Charaideo,"Mahmora - Japidhara Gaon, Hingrijan Near Khoomtai, Kokoramora Gaon, Bholukaguri Gaon, Jonghal Block gaon, Tiphuk Kachari Gaon, Doomor Dollong Habi | 1. Erosion occurred on 17/06/2022 Hingrijan Gaon at right bank of Desang river under Mahmora Revenue Circle. Temporary restoration work immediately required at the present location. Lat-27.07000, Long-95.0291667 as reported by Water Resource Department Demow . 2. Erosion occurred on 17/06/2022 Pub Japidhara Nepali Gaon at right bank of Desang river under Mahmora Revenue Circle. Temporary restoration work immediately required at the present location. Lat-27.141388, Long-94.9511111 , as reported by WR dept. Demow. 3. Erosion occurred on 17/06/2022 Kokoramora Gaon at right bank of Deroi river under Mahmora Revenue Circle. Temporary restoration work immediately required at the present location. Lat-27.1344444, Long-94.8716666 , as reported by WR Dept. Demow 4. Erosion occurred on 17/06/2022 Bholukaguri Gaon at right bank of Desang river under Mahmora Revenue Circle. Temporary restoration work immediately required at the present location. Lat-27.125000, Long-95.0983250 , as reported by WR Dept. Demow 5. Erosion occurred on 17/06/2022 Jonghal Block Sundarpur Gaon at right bank of Deroi river under Mahmora Revenue Circle. Temporary restoration work immediately required at the present location. Lat-27.1144444, Long-94.9122222 , as reported by WR Dept. Demow 6. Erosion occurred on 17/06/2022 Tiphuk Kachari Gaon at right bank of Deroi river under Mahmora Revenue Circle. Temporary restoration work immediately required at the present location. Lat-27.0961111, Long-94.868333 , as reported by WR Dept. Demow. 7. Erosion occurred on 17/06/2022 Doomor Dollong Habi Gaon at right bank of Deroi river under Mahmora Revenue Circle. Temporary restoration work immediately required at the present location. Lat-27.10111111, Long-94.8616667 , as reported by WR Dept. Demow. | 0",17-06-2022
4,,Chirang,"Sidli - Betagaon (Fulguri), South Deolguri, Dakshin Nangdarbari (Nepalpara) | As reported by WRD 3 nos. of Erosion Occurred:: 1. As reported by WRD, due to rise in water level severe erosion occurred on 16-06-2022 on L/B of River Suthi. Damage Details: Length: 400 M Apprx., Breadth:10M Aprx., Depth: 3.50M, Long:90.405501, Lat:26.512358. 2. As reported by WRD, due to rise in water level severe erosion occurred on 16-06-2022 on R/B of river Suthi. Damage Details: 275 M Apprx., Breadth:3.50 M Apprx. Depth: 2.50M Apprx. Long:90.408815 Lat:26.524044. 3. As reported by WRD, due to rise in water level severe erosion occurred on 17-06-2022 on L/B of River Champamati. Damage Details: 430M Aprx. Breadth:6.50M Apprx. Depth: 3.70 M Apprx. Long:90.36862, Lat: 26.581571 | 0,  Bijni - Bagargaon, Gundamara | As reported by Chirang WR Division, Kajalgaon, 1. Erosion occurred on 16-06-2022 at Bagargaon on R/B of river Daranga. Length=300.00 mtr, Breadth=5.50 mtr, Depth=6.60 mtr. Longitude=90.744616 Latitude=26.54269 2. Erosion occurred on 16-06-2022 at Gundamara on R/b of river Daranga. Length=350.00 mtr, Breadth=6.00 mtr, Depth=8.00 mtr. Longitude=90.62325 Latitude=26.42359 | 0",17-06-2022
5,,Dhubri,"Chapar - Jamduar Pt-I | Erosion occurred at Jamduar Pt-I Village in the river Gaurang under Chapar Revenue Circle.Around 0B-2K-10L of land has been eroded so far on dated 16-06-2022. | 0,  Agamoni - Village Bholarkhas under Chotoguma GP under Agomani Rev. Circle. | Riverine area of River Gangadhar at vill Bholarkhas under Chotoguma GP is getting eroded. The river embankment of that village has been eroded at several points. Village : Bholarkhas River: Gangadhar GP : Chotoguma Incident date : 15/06/2022 to 17/06/2022 Time : 4.00pm Land : 0 bigha 2 khata 10 Lessa Population affected : Nil GPS Coordinate : Lat. 26.3078053. Long. 89.8036509 | 0",17-06-2022
6,,Hailakandi,"Katlicherra - kukicherra Pt. I, under Katlicherra Revenue Circle dtd. 16-06-2022 | Severe erosion occurred at Kukicherra Pt. I, under Katlicherra Revenue circle. Area of erosion - Length- 60 meter and Breadth- 20 meter | 0,  Lala - Nimaichandpur pt-2 under Lala Revenue Circle, Hailakandi. Date- 13/06/2022 | Severly damaged due to vertical settlement and sloughening during the last wave of flood and at the time of draw -down stage of river Katakhal on its right bank. Reach lenght-100m | 3000",17-06-2022
7,,Kamrup,"Chaygaon - Garjanpara, Chhaygaon revenue Circle | After Field visit by Field Officer (DM), LM along with water resource Asst Eng. An erosion was seen at the bank of river Kulsi at Garjanpara area about 15 m approx on 16/6/2022 at 10:30 AM. | 0",17-06-2022
8,,Lakhimpur,"Kadam - 1. Errossion occured on NH.15 to Moinapara Jorhatia Akarabosti rd at Ch.75 m to 460 m, 2. Boginadi Khurachuk erosion occured due to increasing water level of the river Boginadi approximately 100 feet | Errossion occured on NH.15 due to heavy rain to Moinapara Jorhatia Akarabosti rd at Ch.75 m to 460 m informed by PWD Road Boginadi Khurachuk erosion occured due to increasing water level of the river Boginadi approximately 100 feet informed by concerned Gaon Pradhan on 17/06/2022 | 0,  Bihpuria - Pava embankment at No. 2 Sonapur | About 15 meters of the embankment has been eroded due to flood water of Pava river on 16th June 2022 under WRD, North Lakhimpur | 0,  Dhakuakhana - Gurkhali Nepali (Revenue Village: Nemutengani) | Erosion occurred at Gurkhali Nepali. One temporary bamboo structured Temple (Ram Mandir) was damaged on 17/06/2022 due to rising water level of River Laipulia. Report submitted by Dhakuakhana Revenue Circle. | 0",17-06-2022
9,,Morigaon,"Mayong - Bhakatgaon | Erosion is going on Kollong river on 17/06/2022 as reported by concerned LM and Gaonpradhan. appx 15 mtr eroded | 6,  Laharighat - Leruamukh, Goroimari , Bhajaikhati gaon & Barchapori | As per report received from the Water Resources depr on 17-06-2022, erosion is observed in areas like Leruamukh, Goroimari , Bhajaikhati gaon & Barchapori, with max maximum erosion of 1 m in Leruamukh, 0 m in Goroimari , 3 m in Bhajaikhati gaon & 3 m in Barchapori respectively. | 0",17-06-2022
