,erosion,District,Details,Date
0,,Barpeta,"Chenga - Roumari Pathar, Roumari Gaon, Kachumara | Due to erosion approx. 8 bighas land eroded by the Brahmaputra river where 12 nos. houses were damaged .Date-17/05/2022 | 49,  Sarthebari - 1. kawaimari Gha Block &2. Neularbhita | 1. The ring bundh of Tihu river eroded approx. 150 m. near Sukur Ali house to Aynal Haque house & 2. . The ring bundh of Tihu river eroded approx. 80 m. near Suresh Mandal, Nitai Mandal & Guru Das Mandal house. ( reported by LM. 18.05.2022) | 0,  Kalgachia - 1. Amguri, 2. Shawrachara Pathar | 1. PMGSY Road pakage No. AS-01-88 Kalgachia-Karerkur Parghatt via Amguri road formation eroded from chainage 2.250 Km to 2.400 Km due to continous erosion of Beki river(Length=150.00m, Width=5.50m, Location- 26.337315, 90.878487). 2. In Shawrachara Pathar 1 no of kutcha house eroded, total Basti land eroded- 0B-2K-10L, Family affected-1 and population affected-6 nos. Location coordinates- 26.265169, 90.833959 .Date-18-05-2022 | 0",18-05-2022
1,,Bongaigaon,Boitamari - Bhairab pahar NC | Sankarghola to borjuli road under balapara gp. Soil erosion on 17/05/2022 | 0,18-05-2022
2,,Charaideo,Sonari - Tiok Gaon | Erosion on Trolly Road of Tiok Gaon by Teok River dated 17.05.2022 as per the information received from WRD on 18.05.2022. | 0,18-05-2022
3,,Chirang,Bengtal - Sashipur FV | Erosion occurred due to heavy rain on 17-05-2022 by Taklai River on L/B Length = 400m Width = 5.5 m Depth = 4.0 m | 0,18-05-2022
4,,Darrang,Sipajhar - Khalihoi Pathar- Kiringbori | Occured on 15/05/2022 and reported by WRD on 17/05/2022 at 6.23 pm Almost 300 mtrs. (1 bigha 2 katha approx). Erosion is still occuring. | 0,18-05-2022
5,,Dhubri,"South Salmara Part - Borkalia Surjomoni | As information received from concerned BEEO, Chatlarpar M.E School eroded due to erosion by river Brahmaputra dated 17-05-2022 to 18-05-2022 at Village-Borkalia Surjomoni (Matifata) under south salmara rev Circle Dist Dhubri. Area 3 bigha 2 Katha 10 Lessa Lat-25.94,Long-90.04 | 0,  Bilasipara - At village- Suapata pt-i, suapata pt-ii, suapata pt-iii and kajaikata pt-ii | recently an erosion have taken place due to raising of water level of river Gaurang, The details of the area eroded are given below 1. Name of Village:- Suapata pt-ii, suapata pt-iii, suapata pt-i, kajaikata pt-ii 2. Date of incident:- 16-05-2022 to 18-05-2022 3. GPS co-ordinates:- a. Lat:- 26. 190792 N & Longitude:- 90.287953 E b. Lat:- 26. 191665 N & Longitude:- 90.272003 E c. Lat:- 26. 199714 N & Longitude:- 90.263234 E d. Lat:- 26. 206359 N & Longitude:- 90.249069 E 4. Land eroded:- Land measuring around 30 Bigha 03 Katha 15 Lessa 5. Population:- 112 nos | 112,  Agamoni - Village Bholarkhas under Chotoguma GP under Agomani Rev. Circle. | Riverine area of River Gangadhar at vill Bholarkhas under Chotoguma GP is getting eroded slowly. Village : Bholarkhas GP : Chotoguma Incident date : 14/05/2022 to 18/05/2022 Time : 12.00pm Land : 0 bigha 2 khata 10 Lessa Population affected : Nil GPS Coordinate : Lat. 26.3078053. Long. 89.8036509 | 0",18-05-2022
6,,Dibrugarh,"Moran - 1)Lachan Gaya Missing Gaon, 2) DRDA Ring Bund at Moina Gaon | As per WRD report erosion is occurring at 2 places namely 1)Lachan Gaya Missing Gaon-length of erosion is 700m, Lat N27.3458 Long E95.0004 as on 17.05.2022 2) DRDA Ring Bund at Moina Gaon- Erosion is occuring at the vicinity of DRDA Ring Bund situated at Moina Gaon length of erosion is 50m, Lat N27 16.32 Long E94 49.30 as on 17.05.2022 | 0,  Dibrugarh West - Bhogamur Tiniali | As per report received from Assistant Executive Engineer W.R Department, Dibrugarh that Bank damage measuring 1 KM has been observed at Bhogamur Block Gaon Ring Bund on the right bank of river Buridehing as on 17.05.2022 | 0",18-05-2022
7,,Kamrup (M),"Chandrapur - 1. Hatisila NEAR Ganesh Mandir, 2. Tatimara | Erosion occurred on 18/05/2022 at Tatimara nd Hatisila near Ganesh Mandir Report Received- Water Resource Area- both 1.5km approx Hatisila Coordinates- Longitude-91.887997, Latitude- 26.219384 Tatimara Coordinates- Longitude- 91.917294, Latitude-26.243107 | 0",18-05-2022
8,,Nalbari,"Banekuchi - Makrapar (Sandheli) | Have seen erosion appro. 90 mtr at the bank of Morapagladia River at Makrapar Sandheli Village near Krishnaguru Ashram dated on 17/5/2022. Report from Gaon Pradhan | 90,  Tihu - Near Tihu Nadi Bridge | Transformer, 250kva(Electrical), APDCL, Dept. Dated: 18/05/2022 | 0,  Ghograpar - 1. Pub-Barsiral, 2. Bangaon | 1. As per information received from W.R Department, Erosion have seen at L/B of river Pagladia on 18/05/2022 at village Pub Barsiral (Nakhat), Length - 350 M, Lat - 26.5420, Long - 91.5204 2. As per information received from W.R Department, Erosion have seen at L/B of river Pagladia on 18/05/2022 at village Bangaon (Smashan Ghat), Length - 300 M, Lat - 26.5523, Long - 91.5310 | 0",18-05-2022
9,,Sivasagar,"Demow - Dehing Kalghar | Erosion at Dehing bund left bank from Laibeel to Dehingmukh due to heavy rain for a length of 700 metre as on date 18th may 2022. As per report received from WR Department, Demow Sub-Division. | 0",18-05-2022
