,erosion,District,Details,Date
0,,Baksa,"Jalah - At alengamari | At alengamari , the left bank of river Beki , approximately 500 meter is under erosion. dated 15/06/2022 | 36,  Baganpara - Barikadanga | Right bank of River pagladia at Barikadanga aprrox 300 m affected by erosion on 15/06/2022 | 0,  Baska - Bunbari | Gully erosion at village Bunbari on 15/06/2022 around .5 bigha land eroded. | 71",15-06-2022
1,,Biswanath,"Biswanath - Kumalia | Erosion observed at Kumalia area on R/Bank embankment of river Brahmaputra, Length=70 m as per report from Water Resources Department, Biswanath Sub-Division on 15-06-2022. | 0,  Naduar RC part - No-2 Bhojmari | Dated- 15/06/2022, Erosion observed at vill. No-2 Bhojmari. As a result of which, some portion of the Masjid situated near the bank of the river have been eroded. | 0",15-06-2022
2,,Bongaigaon,Srijangram - Kacharipety Part III | Erosion occurred at Kacharipety Part III under Srijangram Rev Circle on yesterday ie.15.06.2022 as a result three nos of families got affected . | 19,15-06-2022
3,,Dhubri,"Chapar - Jalikura | Erosion took place in the river champabati on dated 15-06-2022 at Jalikura village under Chapar Revenue Circle.Around 0B-2K-10L of river bank has been eroded so far. | 0,  Bilasipara - vill:- Futkibari Medhipara | Erosion occurred due to rising of water level of river Gaurang at village:- Futkibari Medhipara, Date of incident:- 13-06-2022 to 15-06-2022, Land measuring around 15 Bigha 02 Katha 10 Lessa | 0",15-06-2022
4,,Dima-Hasao,"Haflong - 1.Fiangpui-Dibarai Road, 2. DPLH road Dibarai, 3. Dibarai-Lower Haflong road via Jiakang, 4 PGHJ road Lower Haflong- Sontilla road near Diyung bridge, 5 PGHJ Road Choto Wapu-Gunjung road, 6. Mission Road (Ramnagar) | All the mentioned landslides occoured on 15/06/2022. Also NH 27 at S curve is blocked due to excessive erosion | 0",15-06-2022
5,,Goalpara,Lakhipur - Rakhalkilla | Date-15.06.2022 River-Ghagua As per report of Irrigation & WR department bank erosion occured at the Revenue Village Rakhalkilla.The reach length 300 meter and the width of erosion 2 meter. From 14.06.2022 to till date i.e 15.6.2022 | 0,15-06-2022
6,,Kamrup,"Palashbari - Satpakhali | Due to continous rainfall on 14-06-2022 a part of the road connecting the National Highway to Satpakhali village got collapsed due to falling of guard wall. Around 20ft length and 10ft width got collapsed. Report submitted after field verification of Field Officer, Palashbari Revenue Circle | 0,  Rangia - Vill - Gurkuchi ( Gogmalasa) and vill- Pitambar Hatbajali | Erosion had taken place in village Gurkuchi and Pitambar Hatbajali due to increase in water level of river Baralia on 14.06.2022 as per report of AE, Water Resource Dept., Rangia | 0,  Kayan - Vill- Gopalpur, Borolia River Bank | Water Resource Dept. Rangia reported erosion on Gopalpur, Baralia River R/B. embankment due to rising water level on 14/06/2022 at around 5 PM under Kayan Revenue Circle. | 0",15-06-2022
7,,Karbi Anglong West,"Donkamokam - Erosion of Road on Nelie Umpanai Road at 19th K.M | As per information received from Executive Engineer, PWR(R) Umpanai Roads Division that due to incessant rain since from last 2 (two) days Erosion was occurred in between Nelie Umpanai Road at 19th K.M at the length of 15.00 M on 15/06/2022. | 0",15-06-2022
8,,Kokrajhar,Dotma - Vill- Kharida Sandla Pt.II | Dated: 15/06/2022 Bank Erosion occured at village Kharida Sandla Pt.II by river Laska. Around 200M(Approx.) erosion took place | 0,15-06-2022
9,,Lakhimpur,"Kadam - Dirgha Majgaon(Dumba Basti) and No 3 Boginadi PGR (Soil Conservation area) | Dirgha Majgaon(Dumba Basti) approximate eroded area 1 Hectare, No 3 Boginadi PGR (Soil Conservation) approximate eroded area 0.5 Hectare due to the increasing water level of the river Dirgha and Boginadi as Reported by Kadam revenue Circle on 15/06/2022 | 0",15-06-2022
