,erosion,District,Details,Date
0,,Baksa,"Baska - Bhogpara, 1 No. Bhogpara | Gully erosion at Jorthan Dong and 2 Fishery pond at village Bhogpara on 18/06/2022, Gully erosion at 1 No Bhogpara near Garga Das house (26.68656, 91.335608), Gully erosion at 1 No Bhogpara near Uday Daimary house (26.691553, 91.337569), Gully erosion at 1 No Bhogpara near Dhaneswar Gayari house (26.692664, 91.344363). Date: 18/06/2022 | 0",24-06-2022
1,,Biswanath,"Biswanath - Rowmari | Severe bank erosion Observed at Rowmari area on R/Bank of river Buroi. Length- 1000.00m on 24-06-2022 | 0,  Halem - 1. 1 No. Hatijan, 2.Paken | 1.As reported by Conerned Lot Mandal, continuous erosion was observed on the L/B of river Brahmaputra from 23/06/2022. Approximate lenght 800m Latitude-26.790692 and Longitude-93.529579. 2. Mild bank erosion observed at Paken area on R/ Bank of river Brahmaputra of length- 1400m. Latitude-26.4800 N, Longitude-93.3751 E to Latitude-26.4754N , Longitude- 93.3730E. on 24-06-2022 | 0",24-06-2022
2,,Bongaigaon,"Manikpur - 3 no nachankuri & Bashbari no 2 | Erosion took place in 3 no nachankuri ( 26.470307, 90.685756) due to river Aie arround 30 mtr.Date-24.06.2022/Erosion Took Place in Bashbari no 2 due to river Aie on Dated-24.06.2022 approx 50 mtr. erode away. 4 Nos of Relief Camp (1).Nagarjhar (Temp.Shelter),( Latitude-26.457903 Longitude-90.753059 ) (2)Tilpukhuri ME School, ( Latitude-26.399571 Longitude-90.753438 )(3) 3 No Bashbari LP School, ( Latitude-26.426476 Longitude-90.759589 ) & (4) 2 No Bashbari ( Temp Shelter)( Latitude-26.416661 Longitude-90.760288 ), Inmates in Relief Camps Male-564, Female-502,Children-292 , Pregnant/Lactating Mother-3 & Person with Disability-1 , Animal Affected-319 , Big-285, Small 34. Relief Distribution- Rice (in Q)-34.00, Dal (in Q)6.00, Salt (in Q)-1.80, M.Oil (in L)-180.00-Cattle Feed Wheat Bran (in Q)-26.16. | 2100",24-06-2022
3,,Chirang,"Bijni - Malipara, No-3 Chikajhora | As reported by LM, ongoing erosion of agriculture land at Malipara village due to rain water flowing. Length=12 mtr(approx) Breadth=1.5 mtr(approx) Depth=1.06 mtr(approx). Longitude=90.611911 Latitude=26.575146 Date of occurrence=23-06-2022. As reported by LM, Erosion occurred on 16-06-2022 at No 3 Chikajhora village due to Chika river. Length=402.12 mtr(approx) Breadth=159.38 mtr(approx) Depth=1.35 mtr(approx) Longitude=90.753858 Latitude=26.608953. | 0",24-06-2022
4,,Darrang,"Dalgaon - 1/2 Baruajhar, No.3 Thekerabari,Nadirkash, BarghuliNadirpar | as per report received from LM on 24-06-2022 erosion occurred at villages 1/2 Baruajhar, No.3 Thekerabari,Nadirkash, Barghuli and Nadirpar. land about- 18 bigha 4 katha 12 lessa land eroded | 0",24-06-2022
5,,Dibrugarh,"Tingkhong - 2 no. Rangsuwal village | As per report by WRD on 24-06-22 river Disam had eroded 70m(approx.) of distance. Lat:-27.301615, Long:-95.143833 | 0,  Chabua - Gereki & Gereki Nepali | Information receiver from WRD 50 m length has been eroded by river Brahmaputra on 24/6/2022. Relief Distribution Centre-2 Nos. 1) Gereki 2) Gereki Nepali GR distributed to 12 nos. of families-RICE-140. 4Kg, DAL-24Kg, SALT-7. 2 Kg. | 40",24-06-2022
6,,Golaghat,"Dergaon - Ikorani Gaon | Damage occurred by river water of Gelabeel River at Ikorani area as reported by Executive Engineer, Jorhat W.R. Division on 24.06.2022.. | 0",24-06-2022
7,,Hailakandi,Lala - Kalacherra Gudamghat road under Lala Rev Circle. Date- 21/06/22 | Submerged PWD road | 2000,24-06-2022
8,,Kamrup,"North Ghy - 1. Satgaon (Howrapar), 2North Guwahati Town(Aswaklanta) | 1. Severe bank erosion at Howrapar, Satgaon area of River Barnadi, Lenght about= 400 mtr 2. Bank erosion near Aswaklanta Mandir , North Guwahati Town of River Brahmaputra, length about=220 mtr as reported by Asstt. Executive Engineer, Ghy. East WR Div. erosion observed on 22/06/2022 | 0",24-06-2022
9,,Kokrajhar,"(Kokrajhar) At District - KOMOLACHARA | KOTPATA | HAKMABIL | KHOKSHAGURI | ASARIKANDI | ARAISOPARA | TAZPUR | GHORAMARA | MOGORMARI | | AS REPORTED BY EXECUTIVE ENGINEER KOKRAJHAR WR DIVISION ON 24.06.2022, 1. BANK EROSION OBSERVED AT VILLAGES KOMOLACHORA PT-II(CHECHAPANI) (REACH LENGTH-700M), HEKAIPARA(REACH LENGTH-300M) ON R/B OF RIVER GAURANG 2. BANK EROSION OBSERVED AT VILLAGES KOTPARA (REACH LENGTH-400M) ON R/B, RIMIJHIMIGHOP(REACH LENGTH-400M), KHEJURBARI(REACH LENGTH-500M), EAST SARAGAON ON L/B OF RIVER GANGIA 3. BANK EROSION OBSERVED AT VILLAGES EAST HAKMABIL (REACH LENGTH-300M), RAMFALBIL(REACH LENGTH-200M), WEST SIMLAGURI, NAORBHITA, GONGAR JAOFLONG OF RIVER LONGA 4. BANK EROSION OBSERVED AT VILLAGES KHOKSHAGURI NO.2 (REACH LENGTH-500M), SIMLABARI(REACH LENGTH-550M) ON L/B OF RIVER SONKOSH 5. BANK EROSION OBSERVED AT VILLAGES ASARIKANDI(REACH LENGTH-400M), PANIJANI GHOP ON L/B OF RIVER JOYMA 6. BANK EROSION OBSERVED AT VILLAGES ARAISOPARA(REACH LENGTH-300M) ON R/B OF RIVER MALBHOG 7. BANK EROSION OBSERVED AT VILLAGES TAZPUR (REACH LENGTH-250M) ON R/B OF RIVER MODATI 8. BANK EROSION OBSERVED AT VILLAGES GHORAMARA (REACH LENGTH-300M) ON R/B OF RIVER TARANG 9. BANK EROSION OBSERVED AT VILLAGES MOGORMARI PASGHAT(REACH LENGTH-300M) ON R/B OF RIVER SARALBHANGA | 0",24-06-2022
