,erosion,District,Details,Date
0,,Bajali,"Sarupeta - Mairambhita (village: Puthimari) | Erosion at pahumara right bank,9.00 KM at Mairambhita (Reported by SDO, Water Resource Department,Bajali on 18.05.2022 ) | 0",19-05-2022
1,,Baksa,"Barama - 1. Bongaon 2. Kaljhar 3. Barsimaluguri | 1. L/B embankment erosion caused by Tihu river at a stretch of 250 meters long (Lat: 26.550085, Lon: 91.271539) Date of occurrence: 17/05/22 2. R/B embankment behind B.ed college erosion caused by Mora Pagladia river at a stretch of 400 meters long (Lat: 26.53516, Lon: 91.359211) Date of occurrence: 16/05/22 3. R/B embankment erosion caused by Buradiya river at a stretch of 15 meters long (Lat: 26.559429, Lon: 91.42327) Date of occurrence: 16/05/22 | 0",19-05-2022
2,,Barpeta,"Baghbar - Niz Baghbar village | Today one shiv temple is eroded away by the river Brahmaputra at Niz Baghbar village. Moreover 4 nos of PMAY house also eroded due to the rapid erosion.The details of the houses are- House owner name PMAY ID 1.Rajib ch. Basumatary 1837153 2.Khagen Boro 1173865 3.Kandhuri Boro 2014087 4.Kamobak Boro 1184194 (L M Report) 19-05-2022 | 30,  Chenga - Kachumara K | Approx. 18 bighas land eroded by the river Brahmaputra and 9 nos. houses were damaged due to erosion, reported by Gaon Pradhan and lot mandal on dtd-18/05/2022 | 54",19-05-2022
3,,Biswanath,"Biswanath - 1. Singimari 2. Bhojmari 3. Natungaon 4. Kumolia 5. Borbeel 6. Tengabari | 1. Bank erosion observed at kalakati to singimari.17.05.2022 Lat- 26.674836, Long - 93.099541 2. Bank erosion observed at Phulbari to Bhojmari 17.05.2022 Lat-26.66852872, Long- 93.08098334 3. Bank erosion observed at Biswanath to Natungaon .17.05.2022, Lat-26.65860483, Long- 93.16531329 4. Bank erosion observed at Kumolia Area on R/ Bank of river Brahmaputra 19.05.2022, Lat- 26.681659, Long- 93.135871 5.Bank erosion observed at Borbeel, Oriya Basti area on L/ Bank of river Borgang 19.05.2022 Lat- 26.825918, Long- 93.293993 6. Bank erosion observed at Tengabari area on R/ Bank of river Borgang 19.05.2022 Lat- 26.862727, Long- 93.266963 ( Report from Water Resource Division) | 0,  Naduar RC part - Bhojmari | Bank erosion observed at phulbari to bhojmari area. 19-05-2022 Latitude--26.66852872N to 26.667126N; Longitude -- 93.0809833E to 93.071357E | 0,  Halem - Madhya Chattrang | Erosion observed on the right bank of river Chattrang at Madhya Chattrang by 30m on 19/05/2022 | 0",19-05-2022
4,,Bongaigaon,"Manikpur - Bhandra | At Bhandra for a reach of about 700m on L/B of Aie due to bank erosion. Date of Incident 18/5/2022 as per report received from W.R. sub-division Abhayapuri. | 0,  Srijangram - Dubachuri | At Dubachuri with affected reach of about 1000m due to severe bank erosion on R/B of river Aie Manas under Srijangram Circle . Date of incident 18.05.2022 as per report received from W.R. sub-division Abhayapuri. | 0",19-05-2022
5,,Charaideo,Sapekhati - No.1 Kanu Gaon | Erosion at 1st KM of Kanu lukhurakhan road by flood of Tiok River.( Pwd Roads) DATE:17/05/2022 | 0,19-05-2022
6,,Dhubri,"Dhubri - Silghagri Pt-I under Dhubri Rev. Circle | recently an erosion have taken place due to raising of water level of river Brahmaputra. The details of the area eroded are given below 1. Name of Village:- Silghagri Pt-I 2. Date of incident:- 15-05-2022 to 19-05-2022 3.Land eroded:- Land measuring around 6 Bigha 0 Katha 0 Lessa | 0,  Bilasipara - At vill:- Sonaluguri | at Vill: Sonaluguri under Bilasipara Revenue Circle. During the enquiry, it has been found that the riverine area of River Hell is getting eroded badly. The details of the area eroded are given below 1. Name of Village:- Sonaluguri 2. Date of incident:- 16-05-2022 and 18-05-2022 3. GPS co-ordinates:- Lat:- 26. 359836N & Longitude:- 90.168403 E 4. Land eroded:- Land measuring around Bigha 02 Katha 10 Lessa 5. Population:- 13 nos | 13,  Agamoni - Village Kaimari Pt-I under Kaimari GP under Agomani Rev. Circle. | • Name of the village: Kaimari Pt-I under Kaimari GP. • Name of River: Gangadhar. • Date of Incident: 15th May’2022 to 19th May’2022. • Time: 1.00 PM. • GPS Co-ordinates: Lat: 26.307824, Long: 89.803718 • Land: 0B-1K-10L. • Population and household damage: No damage till date. | 0",19-05-2022
7,,Goalpara,Matia - Baladmari Char Pt-IV | Left bank erosion of river Jaljali at Baladmari Char Pt-IV. Total length affected = 200 meters (approx.) as on 19/05/2022 | 0,19-05-2022
8,,Kamrup,"Rangia - Rangia, Ward No. 8 | Erosion is taking place for a stretch of about 250 m near Solmari Markaz, Rangia Town, W/N-8 on 18.05.2022 as per report received from AE, Water Resource Dept., Rangia. | 0",19-05-2022
9,,Kamrup (M),"Chandrapur - 1)hatisila near ganesh mandir 2) tatimara | Information received from water resource on 17.05.2022 Area - 1.5 km approx both Hatisila longitude:- 91.887997,latitude:- 26.219384 Tatimara longitude:- 91.917294 latitude:- 26.243107 | 0",19-05-2022
