Cover No,Cover,Document Type,Description,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,COST OF BID DOCUMENTS,1.0,DD - Demand Draft,26-Mar-2018 04:55 PM,03-Apr-2018 11:00 AM,27-Mar-2018 10:30 AM,02-Apr-2018 02:00 PM,27-Mar-2018 10:30 AM ,02-Apr-2018 02:00 PM ,27-Mar-2018 10:30 AM,02-Apr-2018 02:00 PM,04-Apr-2018 03:45 PM,Public Works Roads Department,SCSP/NLRC/T/2017-18,2018_PWD_6540_1,Yes,Open Tender,Works,Works,2.0,No,No,Offline,No,No,No,"Superintending Engineer, PWRD","The Superintending Engineer, PWRD, North Lakhimpur Road Circle, North Lakhimpur",SCSP/NLRC/T/2017-18,Construction of Road from Kapohuwa Hari Mandir Tiniali to Dhemaji PNGB Road (Ch.0.00 m to Ch.500.00 m) under SCSP under under Dhemaji State Road Division in Dhemaji LAC during 2017-18,Please refer Tender documents. ,NA ,"28,89,063",Civil Works,NA ,Tender,180.0,150.0,PNGB Road Dhemaji,787057.0,NA ,NA ,NA ,North Lakhimpur,No ,No,870.0,"Empowered officer, Assam State Road Board, Assam",Guwahati,No,1,Balance Sheet ,Year 5 ,Year 5 Balance Sheet ,,"57,790",Yes,fixed,,"E.E Dhemaji State Road Division, Dhemaji",Dhemaji,AOC,Public Works Roads Department,2018_PWD_6540_1,SCSP/NLRC/T/2017-18,SCSP/NLRC/T/2017-18,1.0,33252.0,Arunmoni Phukan,INR,2888939.35,Z Hussain,Internal,Jadav C Bora Dinesh Bezbarua Dilip Kr Gogoi,Jadav Ch Bora,04-Apr-2018 11:25 AM,04-Apr-2018 03:45 PM,techsummary_9957.pdf (431.44 KB),1.0,33252.0,Arunmoni Phukan,30-Mar-2018 05:38 PM,Accepted-AOC,Accepted,08-Aug-2018 01:33 PM,Z Hussain,Internal,Jadav Bora Dinesh Bezboruah Dilip Gogoi,Dinesh Bezboruah,13-Apr-2018 02:47 PM,finsummary_9957.pdf (427.27 KB),13-Apr-2018,INR 2889063.0,150.0,Khirod Dutta,08-Aug-2018 01:33 PM,ArunmoniPhukan.pdf (285.00 KB),Award of Contract,Technical,All tenders of bidders are accepted,Dinesh Bezboruah,03-Apr-2018 12:14 PM,technical_9957.pdf,Finance,DNIT,Dinesh Bezboruah,13-Apr-2018 02:37 PM,finance_9957.pdf,BOQ Comparative Chart,AOC
,,.pdf,EARNEST MONEY,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Dept Certificate ,PWD ,Registration certificate with PWD ,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,33363.0,Nip Konwar,01-Apr-2018 07:57 PM,Rejected-AOC,Not Justified,08-Aug-2018 01:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,SBD,3.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,General Certificate ,IT ,Income Tax certificate ,,,,,,,,AOC,,,,,,,,,,,,,,,,,3.0,33322.0,Ridip Bharali,31-Mar-2018 09:45 PM,Rejected-AOC,Not Justified,08-Aug-2018 01:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,TECHNICAL QUALIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,General Certificate ,VAT ,VAT certificate ,,,,,,,,AOC,,,,,,,,,,,,,,,,,4.0,33307.0,TULAN KONWAR,31-Mar-2018 01:15 PM,Rejected-AOC,Not justified,08-Aug-2018 01:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,General Certificate ,Solvency ,Solvency Certificate ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,General Certificate ,Workdone ,Work Done certificate ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,General Certificate ,CST ,CST Registration Certificate ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Machineries ,Machineries Details ,Machineries Details Description ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Manpower ,Manpower Details ,Manpower Details Description ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Works ,Order 1 ,Order 1 executed ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
