S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,ICICI BANK,Providing retrofitting FHTC of LWSS Dadahu in GP Dadahu Tehsil Dadahu Distt Sirmour HP,Providing Laying Jointing and testing of rising main line of pipe 100mm dia heavy/medium Providing installation and commissioning of submersible pumping machinery with allied accessories,Please refer Tender documents. ,NA ,"15,45,704",Pumps/Motors,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,"30,700",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,01-Apr-2023 05:00 PM,10-Apr-2023 11:30 AM,01-Apr-2023 05:00 PM,10-Apr-2023 11:00 AM,NA ,NA ,01-Apr-2023 05:00 PM,10-Apr-2023 11:00 AM,11-Apr-2023 05:00 PM,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 20277-347 dt 31-3-23,2023_HPIPH_71829_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,Finance,Financial Bid Opening Summary,Ashish Rana,11-Apr-2023 05:29 PM,finance_108050.pdf,BOQ Comparative Chart,Technical,Technical Summary,Ashish Rana,11-Apr-2023 04:54 PM,technical_108050.pdf,03-Aug-2023,"INR 1,545,704",90.0,Ashish Rana,03-Aug-2023 04:01 PM,AOC.pdf (605.00 KB),Award to Contractor,ER Ashish Rana EE,Internal,TA Supdt HDM DAo EE,Ashish Rana,11-Apr-2023 04:56 PM,11-Apr-2023 05:00 PM,techsummary_108050.pdf (319.38 KB),1.0,340821.0,BHAW SINGH KAPOOR CONTRACTOR,09-Apr-2023 08:20 PM,Rejected-Finance,Reject,15-Apr-2023,Er Ashish Rana,Internal,JDM HDM EE,Ashish Rana,15-Apr-2023 08:01 PM,finsummary_108050.pdf (291.97 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2023_HPIPH_71829_2,NHN-SMROO-722- 20277-347 dt 31-3-23,Providing retrofitting FHTC of LWSS Dadahu in GP Dadahu Tehsil Dadahu Distt Sirmour HP,1.0,340756.0,ROYAL ENGINEERING WORKS,INR,"1,292,170"
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of TEnder Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,341144.0,krishan chand,10-Apr-2023 08:10 AM,Rejected-Finance,Reject,15-Apr-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,341061.0,PRAVESH KUMAR CONTRACTOR,09-Apr-2023 05:10 PM,Rejected-Finance,Reject,15-Apr-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,340756.0,ROYAL ENGINEERING WORKS,06-Apr-2023 02:03 PM,Accepted-AOC,AOC,03-Aug-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,341215.0,vats associates,10-Apr-2023 10:51 AM,Rejected-Finance,Reject,15-Apr-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,dealership/sub dealership of offered Pumping machinery as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking of the curve charts along with selection of pumps and motors as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit specifying that the benefit availed under earnest money exemption has not been exhauste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
