EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
"77,300",No,fixed,,Nil,Nil,PWD,Nagrota 25-07,2023_PWD_76713_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,EE HP PWD Tanda at Nagrota Bagwan,09-Aug-2023 05:00 PM,17-Aug-2023 11:30 AM,09-Aug-2023 05:00 PM,17-Aug-2023 10:00 AM,NA ,NA ,09-Aug-2023 05:00 PM,17-Aug-2023 10:00 AM,19-Aug-2023 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,1.0,ICICI BANK,"1,500",Nil,Nil,No,"Construction of Centre of Excellence Mental Health at Dr. RPGMC Tanda in District Kangra, (H.P.). Deposit Work(SH-Balance work of Boundary wall , Railing and Retaining wall at RD 0/000 to 0/030 in Back side of Mental Health.)","Construction of Centre of Excellence Mental Health at Dr. RPGMC Tanda in District Kangra, (H.P.). Deposit Work(SH-Balance work of Boundary wall , Railing and Retaining wall at RD 0/000 to 0/030 in Back side of Mental Health.)",Please refer Tender documents. ,NA ,"38,62,951",Civil Works,NA ,Tender,120.0,60.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,EE HP PWD Tanda at Nagrota Bagwan,No ,No,PWD,2023_PWD_76713_3,Nagrota 25-07,"Construction of Centre of Excellence Mental Health at Dr. RPGMC Tanda in District Kangra, (H.P.). Deposit Work(SH-Balance work of Boundary wall , Railing and Retaining wall at RD 0/000 to 0/030 in Back side of Mental Health.)",Executive Engineer,Internal,AE DAO Supdt HDm,Suresh Kumar Walia,18-Aug-2023 04:58 PM,19-Aug-2023 10:00 AM,techsummary_115597.pdf (1051.38 KB),Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,24-Aug-2023 03:12 PM,finsummary_115597.pdf (188.11 KB),24-Aug-2023,"INR 3,862,951",60.0,Suresh Kumar Walia,24-Aug-2023 03:13 PM,Award.pdf (198.00 KB),Award,1.0,366589.0,MANISH GOVT CONTRACTOR,16-Aug-2023 04:55 PM,Accepted-AOC,Award,24-Aug-2023,Technical,SUM,Suresh Kumar Walia,18-Aug-2023 04:55 PM,technical_115597.pdf,1.0,366589.0,MANISH GOVT CONTRACTOR,INR,"3,727,747",Finance,sum,Suresh Kumar Walia,24-Aug-2023 03:10 PM,finance_115597.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,366599.0,Shadil Thakur,16-Aug-2023 05:07 PM,Rejected-Finance,Lowest 2,24-Aug-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
