Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Instrument Type,Name,Address
Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Mandi,2023_HPCDP_76484_1,F(5)-32/2023-508dt20.07.2023,"C/o Flow Irrigation Scheme Idli Siyanji at Village Idli Siyanji, G.P. Siyanji Kothi , Tehsil Sundernagar, District Mandi (H.P.).",1.0,363259.0,Mohan Lal,INR,"1,766,206",Balbir Singh Thakur,Internal,Pawan Kumar Praveen Gupta Pradeep Sharma Yoginder Kaushal,Sonal Gupta,03-Aug-2023 05:27 PM,finsummary_114354.pdf (216.75 KB),17-Aug-2023,"INR 1,766,206",365.0,Sonal Gupta,19-Aug-2023 04:18 PM,FISIdliSiyanjiaward.pdf (393.00 KB),Letter of Acceptance,Finance,Finnacial Evaluation,Sonal Gupta,03-Aug-2023 03:18 PM,finance_114354.pdf,BOQ Comparative Chart,Technical,Minutes of Proceeding,Sonal Gupta,03-Aug-2023 01:00 PM,,Sonal Gupta,Internal,Praveen Gupta M.R Sharma Pradeep Sharma Yoginder Kaushal,Sonal Gupta,03-Aug-2023 01:11 PM,03-Aug-2023 01:25 PM,techsummary_114354.pdf (455.99 KB),1.0,363244.0,JITENDER KUMAR,29-Jul-2023 06:31 PM,Rejected-AOC,Rejected,19-Aug-2023,Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Mandi,F(5)-32/2023-508dt20.07.2023,2023_HPCDP_76484_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,20-Jul-2023 05:00 PM,01-Aug-2023 11:00 AM,20-Jul-2023 05:00 PM,31-Jul-2023 05:00 PM,NA ,NA ,20-Jul-2023 05:00 PM,31-Jul-2023 05:00 PM,03-Aug-2023 01:25 PM,"C/o Flow Irrigation Scheme Idli Siyanji at Village Idli Siyanji, G.P. Siyanji Kothi , Tehsil Sundernagar, District Mandi (H.P.).","C/o Flow Irrigation Scheme Idli Siyanji at Village Idli Siyanji, G.P. Siyanji Kothi , Tehsil Sundernagar, District Mandi (H.P.).",Please refer Tender documents. ,NA ,"13,24,680",Civil Works - Water Works,NA ,Tender,90.0,365.0,"Village Idli Siyanji, G.P. Siyanji Kothi , Tehsil",175026.0,"O/o District Project Manager, HPCDP (Phase-II), JI ","O/o District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.). Agriculture Complex Khaliyar Mandi Distt. Mandi (H.P).  ",26-Jul-2023 11:00 AM ,"O/o District Project Manager, HPCDP (Phase-II), JI",No ,No,"26,500",No,fixed,,"O/o District Project Manager, HPCDP (Phase-II), JI","O/o District Project Manager, HPCDP (Phase-II), JI",1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT Sr. No. 3(a) i,"1,500","O/o District Project Manager, HPCDP (Phase-II), JI","O/o District Project Manager, HPCDP (Phase-II), JI",No,1.0,DD - Demand Draft,"O/o District Project Manager, HPCDP (Phase-II), JI","O/o District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.). Agriculture Complex Khaliyar Mandi Distt. Mandi (H.P)."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,363259.0,Mohan Lal,29-Jul-2023 06:23 PM,Accepted-AOC,Accepted,19-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in NIT Sr. No. 3(a) ii,,,,,2.0,FDR - Fixed Deposit,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,363225.0,Shobha Ram,29-Jul-2023 06:37 PM,Rejected-AOC,Rejected,19-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily completed similar works as indicated in NIT Sr. No. 3(a) v,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactory one work indicating experience in key activities in NIT Sr. No. 3(a) vi,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Statements as indicated in NIT Sr. No. 3(a) vii,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,,,
