Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,"16,000",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,01-Apr-2023 05:00 PM,10-Apr-2023 11:30 AM,01-Apr-2023 05:00 PM,10-Apr-2023 11:00 AM,NA ,NA ,03-Apr-2023 09:00 AM,10-Apr-2023 11:00 AM,11-Apr-2023 04:55 PM,Augmentation and Improvement of LWSS Kayartu Bagna in GP Jammu Koti Tehsil Dadahu Distt Sirmour HP,Providing and installation of submersible pumping machinery with allied accessories,Please refer Tender documents. ,NA ,"8,00,000",Pumps/Motors,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,1.0,ICICI BANK,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 20277-347 dt 31-3-23,2023_HPIPH_71829_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Technical,Technical Summary,Ashish Rana,11-Apr-2023 04:47 PM,technical_108047.pdf,Finance,Financial Summary,Ashish Rana,11-Apr-2023 05:24 PM,finance_108047.pdf,BOQ Comparative Chart,03-Aug-2023,"INR 800,000",90.0,Ashish Rana,03-Aug-2023 03:53 PM,AOC.pdf (591.00 KB),Award to Contractor,1.0,340819.0,BHAW SINGH KAPOOR CONTRACTOR,09-Apr-2023 08:19 PM,Rejected-Finance,Reject,15-Apr-2023,ER Ashish Rana EE,Internal,Ta Supdt HDM DAO EE,Ashish Rana,11-Apr-2023 04:53 PM,11-Apr-2023 04:55 PM,techsummary_108047.pdf (319.15 KB),Er Ashish Rana,Internal,JDM HDM EE,Ashish Rana,15-Apr-2023 07:58 PM,finsummary_108047.pdf (290.51 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2023_HPIPH_71829_1,NHN-SMROO-722- 20277-347 dt 31-3-23,Augmentation and Improvement of LWSS Kayartu Bagna in GP Jammu Koti Tehsil Dadahu Distt Sirmour HP,1.0,340759.0,ROYAL ENGINEERING WORKS,INR,"882,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of TEnder Form as mentioned in NIT,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,341058.0,PRAVESH KUMAR CONTRACTOR,09-Apr-2023 05:07 PM,Rejected-Finance,Reject,15-Apr-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,340759.0,ROYAL ENGINEERING WORKS,06-Apr-2023 01:53 PM,Accepted-AOC,AOC,03-Aug-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,dealership/sub dealership of offered Pumping machinery as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking of the curve charts along with selection of pumps and motors as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit specifying that the benefit availed under earnest money exemption has not been exhauste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
