Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
EE Shillai,Internal,"AE Shillai, HDM, Supdt. TA",Narender verma,21-Apr-2023 01:05 PM,finsummary_107625.pdf (784.51 KB),01-Aug-2023,"INR 1,500,000",90.0,Narender verma,01-Aug-2023 02:03 PM,PradeepAOC.pdf (1422.00 KB),AOC,PWD,2023_PWD_71530_1,TA-18784-18883dt-22-3-2023,Restoration of Millah Gundah road km. 0/0 to 12/075(SH-Construction of retaining wall in PCC 1-4-8 in km. 11/715 to 11/740),Narender Kumar,Internal,AE Shillai Supdt. Gr. II JDM EE,Narender verma,11-Apr-2023 02:32 PM,11-Apr-2023 02:35 PM,techsummary_107625.pdf (117.99 KB),1.0,340086.0,PRADEEP KUMAR CONTRACTOR,INR,"1,500,000",Finance,financial summary,Narender verma,21-Apr-2023 01:01 PM,finance_107625.pdf,BOQ Comparative Chart,Technical,Technical Opening Proceeding,Narender verma,11-Apr-2023 02:28 PM,technical_107625.pdf,1.0,340111.0,Kuldeep Singh,03-Apr-2023 07:12 AM,Rejected-Finance,Not lowest,21-Apr-2023,1.0,ICICI BANK,24-Mar-2023 05:00 PM,03-Apr-2023 11:00 AM,24-Mar-2023 05:00 PM,03-Apr-2023 10:30 AM,NA ,NA ,24-Mar-2023 05:00 PM,03-Apr-2023 10:30 AM,11-Apr-2023 02:35 PM,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,PWD,TA-18784-18883dt-22-3-2023,2023_PWD_71530_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Restoration of Millah Gundah road km. 0/0 to 12/075(SH-Construction of retaining wall in PCC 1-4-8 in km. 11/715 to 11/740),Restoration of Millah Gundah road km. 0/0 to 12/075(SH-Construction of retaining wall in PCC 1-4-8 in km. 11/715 to 11/740),please refer to tender document ,NA ,"18,30,550",Civil Works - Roads,NA ,Tender,75.0,90.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,500.0,Nil,Nil,No,EE Shillai,Executive Engineer HP PWD Division Shillai,"35,000",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,340086.0,PRADEEP KUMAR CONTRACTOR,02-Apr-2023 07:30 PM,Accepted-AOC,Work Complete,01-Aug-2023,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,339770.0,SOHAN SINGH,03-Apr-2023 08:26 AM,Rejected-Finance,Not lowest,21-Apr-2023,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
