Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
Executive Engineer HPPWD Division Nerchowk,HPPWD Division Nerchowk,PWD,PW-NCD-TA-NIQ- Tender/2022 7411-40 dt. 30.06.2022,2022_PWD_62510_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,500.0,EE HPPWD Division Nerchowk,HPPWD Division Nerchowk,No,08-Jul-2022 11:30 AM,15-Jul-2022 11:30 AM,08-Jul-2022 11:30 AM,15-Jul-2022 11:00 AM,NA ,NA ,08-Jul-2022 11:30 AM,15-Jul-2022 11:00 AM,03-Aug-2022 12:30 PM,"32,000",No,fixed,,EE HPPWD Division Nerchowk,HPPWD Division Nerchowk,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,ICICI BANK,"Routine day to Day repair and Maintenance of SLBS Govt. Medical College and Hospital at Nerchowk, Distt. Mandi.",Day to Day immediate repair and maintenance of all civil works as mentioned in description.,Please refer Tender documents. ,NA ,"15,86,340",Civil Works,NA ,Tender,120.0,180.0,Nerchowk,175008.0,NA ,NA ,NA ,HPPWD Division Nerchowk,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender document,1.0,291129.0,DASS RAM,INR,"1,648,683",Finance,Financial Summary,Bhupender Pal,10-Aug-2023 04:21 PM,finance_94260.pdf,BOQ Comparative Chart,1.0,291129.0,DASS RAM,13-Jul-2022 11:58 AM,Accepted-AOC,Being L1,10-Aug-2023,Technical,Technical Evolution,Pradeep Singh,03-Aug-2022 11:19 AM,technical_94260.pdf,PWD,2022_PWD_62510_1,PW-NCD-TA-NIQ- Tender/2022 7411-40 dt. 30.06.2022,"Routine day to Day repair and Maintenance of SLBS Govt. Medical College and Hospital at Nerchowk, Distt. Mandi.",EE Pradeep Thakur,Internal,"AE to EE , Supdt. G-II, DAO",Pradeep Singh,03-Aug-2022 11:24 AM,03-Aug-2022 12:30 PM,techsummary_94260.pdf (483.48 KB),EE Pradeep Singh,Internal,"AE to EE, Supdt. G-II, DAO",Bhupender Pal,10-Aug-2023 04:24 PM,finsummary_94260.pdf (168.96 KB),10-Aug-2023,"INR 1,648,683.16",180.0,Bhupender Pal,10-Aug-2023 04:28 PM,Scan.pdf (473.00 KB),Award Letter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,2.0,291068.0,Parven Vaidya,12-Jul-2022 06:08 PM,Rejected-Finance,Being L2,10-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate and work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machineries, Tools and Plants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officers HP.PWD. Employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN Numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid is correct in all respects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees provident funds certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
