Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
EE,Internal,AO AE,Rajesh Thakur,06-Jul-2023 10:46 AM,06-Jul-2023 10:50 AM,techsummary_112857.pdf (674.09 KB),1.0,356905.0,YOGENDER MOHAN SHARMA,INR,"345,059",Municipal Corporation Shimla,2023_MC_75337_3,1217Dated16062023,Construction of Water Tank for Dog Shelter Panjari Vill Bag in ward No 10 Tutikandi,1,357066,BILAL AHMED BUTT,27-Jun-2023 09:23 AM,Rejected-Finance,Rejected,22-Aug-2023,EE,Internal,AO AE,Rajesh Thakur,22-Aug-2023 10:47 AM,finsummary_112857.pdf (314.77 KB),Technical,BOS,Dinesh Thakur,06-Jul-2023 10:23 AM,technical_112857.pdf,Finance,BOS,Rajesh Thakur,06-Jul-2023 11:15 AM,finance_112857.pdf,BOQ Comparative Chart,22-Aug-2023,"INR 345,059.82",60.0,Rajesh Thakur,22-Aug-2023 10:48 AM,2023_MC_75337_3.pdf (717.00 KB),AOC,350.0,Executive Engineer R B M C Shimla,Shimla,No,Executive Engineer R B M C Shimla,Executive Engineer R B M C Shimla,Municipal Corporation Shimla,1217Dated16062023,2023_MC_75337_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Construction of Water Tank for Dog Shelter Panjari Vill Bag in ward No 10 Tutikandi,Construction of Water Tank for Dog Shelter Panjari Vill Bag in ward No 10 Tutikandi,Please refer Tender Documents ,NA ,"4,76,864",Civil Works,NA ,Tender,120.0,30.0,Shimla,171001.0,NA ,NA ,NA ,MC Shimla,No ,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of form in shape of DD and Earnest money in shape of FDR as per E procurement notice,"9,500",No,fixed,,Executive Engineer R B M C Shimla,Shimla,21-Jun-2023 06:00 PM,28-Jun-2023 03:00 PM,21-Jun-2023 06:00 PM,27-Jun-2023 05:00 PM,NA ,NA ,21-Jun-2023 06:00 PM,27-Jun-2023 05:00 PM,06-Jul-2023 10:50 AM
,,,,,,,,,,,,,,,,2,357154,LALIT KUMAR,27-Jun-2023 02:35 PM,Rejected-Finance,Rejected,22-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Certificate of registration with HPPWD in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3,356924,Lokesh Bali,26-Jun-2023 06:12 PM,Rejected-Finance,Rejected,22-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax GST and EPF registration PAN Permanent Account No and GST No,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4,356586,Prem Prakash Negi,27-Jun-2023 09:16 AM,Rejected-Technical,Rejected,06-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned Copy of tender documents i.e. NIT (E-procurement notice) Performa and Form MW-7 duly signed,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5,357151,RAMESHWAR THAKUR,27-Jun-2023 01:38 PM,Rejected-Finance,Rejected,22-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Affidavit duly signed with reference to condition No. 11.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6,356526,Sandeep,25-Jun-2023 10:17 AM,Rejected-Technical,Rejected,06-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Letter Head with reference to condition No. 11.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7,357094,Vinay Mandhotra,27-Jun-2023 11:14 AM,Rejected-Finance,Rejected,22-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,8,356523,vinod kumar,25-Jun-2023 10:05 AM,Rejected-Technical,Rejected,06-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,9,356921,Vishal Bhushan,26-Jun-2023 05:57 PM,Rejected-Finance,Rejected,22-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10,356905,YOGENDER MOHAN SHARMA,26-Jun-2023 05:24 PM,Accepted-AOC,Accepted,22-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
