Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Cover No,Cover,Document Type,Description,S.No.2,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Finance,attached.,Arvind Kumar Bhardwaj,24-Jun-2023 03:58 PM,,BOQ Comparative Chart,1.0,355345.0,SURESH SHARMA GOVT CONTRACTOR,INR,"4,953,124.74",Technical,attached.,Arvind Kumar Bhardwaj,21-Jun-2023 04:40 PM,technical_112167.pdf,1.0,355345.0,SURESH SHARMA GOVT CONTRACTOR,19-Jun-2023 04:08 PM,Accepted-AOC,l1,05-Aug-2023,ARVIND KUMAR BHARDWAJ,Internal,ATTACHED,Arvind Kumar Bhardwaj,05-Aug-2023 05:06 PM,finsummary_112167.pdf (691.59 KB),05-Aug-2023,"INR 4,953,124.74",120.0,Arvind Kumar Bhardwaj,05-Aug-2023 05:08 PM,shimlamandi.pdf (692.00 KB),ATTACHED,PWD,2023_PWD_74867_1,1477-84--4,"Periodical Maintenance on Shimla Mandi road HP0806 MDR07629395, HP0806 MDR07629401, HP0806 MDR07629402",EE Karsog,Internal,Detail attached.,Arvind Kumar Bhardwaj,22-Jun-2023 11:27 AM,22-Jun-2023 01:00 PM,techsummary_112167.pdf (391.01 KB),1.0,Fee/PreQual/Technical,.pdf,EMD,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"94,500",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,"Periodical Maintenance on Shimla Mandi road HP0806 MDR07629395, HP0806 MDR07629401, HP0806 MDR07629402","Providing and laying 30mm bituminous concrete, thermoplastic paint in Km. 94/000 to 95/000, 100/0000 to 101/000 and 101/000 to 102/000",Please refer Tender documents. ,NA ,"47,18,609",Civil Works - Roads,NA ,Tender,120.0,120.0,karsog,175011.0,NA ,NA ,NA ,O/O EE HPPWD Division Karsog,No ,No,1.0,ICICI BANK,PWD,1477-84--4,2023_PWD_74867_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE HP PWD Karsog,O/O EE HPPWD Division Karsog,12-Jun-2023 03:00 PM,20-Jun-2023 02:00 PM,12-Jun-2023 03:00 PM,19-Jun-2023 05:00 PM,NA ,NA ,12-Jun-2023 03:00 PM,19-Jun-2023 05:00 PM,22-Jun-2023 01:00 PM
,,,,,,,,,,,,,,,,2.0,355393.0,TARUN SHARMA GOVT CONT,19-Jun-2023 04:04 PM,Rejected-Finance,L2 FOUND,05-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor registration copy,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tools plants,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF miscellaneous provision,5.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,report of charter Accountant,6.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done,7.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HPPWD form 8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The contractor should have his own hot mix plant and all the machineries as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
