Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
25-Aug-2023,"INR 5,777,565",60.0,Chaman Singh,25-Aug-2023 01:04 PM,AOC70412.pdf (889.00 KB),AOC issued to L-1,"Er. D R Chauhan, Executive Engineer",Internal,Er. Hitesh Sharma AE Dehar Sh. Dinesh Kumar HDM Sh. Tek Singh Supdt. Accounts,Chaman Singh,25-Aug-2023 12:31 PM,finsummary_106101.pdf (888.52 KB),"Er. D R Chauhan, Executive Engineer",Internal,Er. Hitesh Sharma AE Dehar Sh. Sushil Kumar DAO Gr-I Sh. Dinesh Kumar HDM Sh. Tek Singh Supdt. Gr-II,Devi Ram Chauhan,20-Mar-2023 07:14 PM,21-Mar-2023 02:00 PM,techsummary_106101.pdf (941.95 KB),PWD,2023_PWD_70412_1,PW-SNR-CB-E-Ten/Giriraj- 20700-11 dt.6.3.23,Improvement of black spot on Maloh Kateru road KM 0/0 to 6/0,Finance,FBOS,Devi Ram Chauhan,22-Mar-2023 11:50 AM,finance_106101.pdf,BOQ Comparative Chart,1.0,335730.0,RAKESH KUMAR,INR,"5,777,565",Technical,BOS,Devi Ram Chauhan,20-Mar-2023 06:53 PM,technical_106101.pdf,1.0,335715.0,ANKUSH VERMA,16-Mar-2023 09:11 PM,Rejected-Technical,Being non responsive,20-Mar-2023,07-Mar-2023 04:00 PM,18-Mar-2023 11:30 AM,07-Mar-2023 04:00 PM,17-Mar-2023 06:00 PM,NA ,NA ,07-Mar-2023 04:00 PM,17-Mar-2023 06:00 PM,21-Mar-2023 02:00 PM,PWD,PW-SNR-CB-E-Ten/Giriraj- 20700-11 dt.6.3.23,2023_PWD_70412_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,"1,20,500",Yes,fixed,,EE Sundernagar,Sundernagar,Executive Engineer,Executive Engineer HPPWD Division Sunder Nagar,Improvement of black spot on Maloh Kateru road KM 0/0 to 6/0,"SH Prov. and fixing W metal beam crash barrier on Maloh Kateru road at RD 4/360 to 4/465, 4/870 to 5/300 and Sundernagar Maloh road at RD 1/555 to 1/870 and 1/993 to 2/285",As per bid document ,NA ,"60,18,298",Civil Works,NA ,Tender,90.0,60.0,In Sunder Nagar Division HPPWD,175018.0,NA ,NA ,NA ,O/O Executive Engineer HPPWD Division Sunder Nagar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule E,"2,000",EE Sundernagar,Sundernagar,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,335729.0,PARMA NAND,17-Mar-2023 07:55 AM,Rejected-Finance,Not found lowest,25-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule E,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,335730.0,RAKESH KUMAR,17-Mar-2023 11:49 AM,Accepted-AOC,L-1,25-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,335905.0,SURENDER KUMAR,17-Mar-2023 05:51 PM,Rejected-Technical,Being non responsive,20-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration alongwith latest uploaded return as per general rules No. 21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,335651.0,Vikram Singh,16-Mar-2023 05:38 PM,Rejected-Technical,Being Non Responsive,20-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of work done/ works in hand/ Bidding capacity as per general rules No. 16 and 26.,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR Return,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant alongwith documentary proof refer schedule F with reference to clause",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 refer General Rules No. 26.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified in proforma of Schedule,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,
