S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2
1.0,ICICI BANK,19-Jun-2023 05:00 PM,27-Jun-2023 11:30 AM,19-Jun-2023 05:30 PM,26-Jun-2023 05:00 PM,NA ,NA ,19-Jun-2023 05:30 PM,26-Jun-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Receipt of online payment copy of tender form and EMD,PWD,ED.II.GA.Tender/23-24-1606-07 dated 17.06.2023,2023_PWD_75127_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Both(Online/Offline),No,No,No,XEN Elect Divn No II,XEN Elect Divn no II HPPWD Shimla-1,350.0,EE Elect Divn no II,Shimla-1,No,Recontruction of fire damaged attic area at new OPD block at IGMC Shimla SH Providing EI lift cable main and IT points therein,Prov EI lift cable main and IT points,Please refer Tender documents. ,NA ,"6,80,033",Electrical Works,NA ,Tender,120.0,30.0,IGMC Shimla,171001.0,NA ,NA ,NA ,Elect Divn No II,No ,No,"11,200",No,fixed,,EE Elect Divn No II,Shimla-1,1.0,356596.0,A B Traders,26-Jun-2023 02:55 PM,Accepted-AOC,L1,01-Aug-2023,1.0,356596.0,A B Traders,INR,"676,632",EE,Internal,HDM Supdt DAO,Sanjeev Thakur,01-Aug-2023 11:22 AM,techsummary_112529.pdf (708.76 KB),Finance,3Nos bids has been opened on 27.06.2023 for financial part in which AB Traders found L1,Sanjeev Thakur,27-Jun-2023 11:53 AM,finance_112529.pdf,BOQ Comparative Chart,PWD,2023_PWD_75127_1,ED.II.GA.Tender/23-24-1606-07 dated 17.06.2023,Recontruction of fire damaged attic area at new OPD block at IGMC Shimla SH Providing EI lift cable main and IT points therein,01-Aug-2023,"INR 676,632",30.0,Sanjeev Thakur,01-Aug-2023 11:31 AM,award.PDF (1433.00 KB),Award of contract,EE,Internal,HDM Supdt DAO,Sanjeev Thakur,01-Aug-2023 11:25 AM,finsummary_112529.pdf (708.77 KB)
2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,356184.0,MANOJ KUMAR BANSAL,23-Jun-2023 11:28 AM,Rejected-AOC,L3,01-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,work done certificate as per tender documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,355600.0,M/S Electrical Solutions,20-Jun-2023 02:42 PM,Rejected-AOC,L2,01-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,GST number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,PAN number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,EPF number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,undertaking affidavit of true and correct information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,valid electrical enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,current work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
