Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
Restoration of rain damages on Panchrukhi Lambagaon road km 0/0 to 5/00,C/O R/wall at Km 1/150 to 1/161,Please refer Tender documents. ,NA ,"3,31,373",Civil Works - Roads,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,"6,700",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,PWD,Restoration of rain damages Panchrukhi Lambagaon,2023_PWD_68947_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,1.0,ICICI BANK,15-Feb-2023 04:00 PM,23-Feb-2023 11:00 AM,15-Feb-2023 04:00 PM,22-Feb-2023 05:00 PM,NA ,NA ,15-Feb-2023 04:00 PM,22-Feb-2023 05:00 PM,06-Mar-2023 03:00 PM,Executive Engineer,"Executive Engineer, HPPWD Division Jaisinghpur",Finance,Summary,Vijay Kumar Verma,09-Mar-2023 01:21 PM,finance_103969.pdf,BOQ Comparative Chart,1.0,326933.0,Rajinder Kumar Govt.Contractor,INR,"279,290",1.0,326989.0,Ajay Kumar,22-Feb-2023 01:53 PM,Rejected-Finance,Rejected due to higher rates bidder L5,09-Mar-2023,Technical,Summary,Vijay Kumar Verma,06-Mar-2023 12:54 PM,technical_103969.pdf,Executive Engineer,Internal,"Executive Engineer, DA, HDM, Supdt G-II",Vijay Kumar Verma,06-Mar-2023 12:56 PM,06-Mar-2023 03:00 PM,techsummary_103969.pdf (273.87 KB),PWD,2023_PWD_68947_1,Restoration of rain damages Panchrukhi Lambagaon,Restoration of rain damages on Panchrukhi Lambagaon road km 0/0 to 5/00,02-Aug-2023,"INR 331,373",60.0,Vijay Kumar Verma,02-Aug-2023 12:06 PM,AOC.pdf (453.00 KB),AOC,Executive Engineer,Internal,"Executive Engineer, HDM, Supdt G-II",Vijay Kumar Verma,09-Mar-2023 01:28 PM,finsummary_103969.pdf (210.58 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN/ EPF,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,2.0,325840.0,Asha Kumari,21-Feb-2023 01:18 PM,Rejected-Finance,Rejected due to higher rates bidder L4,09-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done detail/work in hand in last five year with base year indicated in performa of Schedule F i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,326933.0,Rajinder Kumar Govt.Contractor,22-Feb-2023 04:39 PM,Accepted-AOC,Award,02-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Rule 26.2 b in SBD one Similar work not less than 40 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,326302.0,Ranjit Singh,21-Feb-2023 04:04 PM,Rejected-Finance,Rejected due to higher rates bidder L2,09-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,326439.0,SUDHA THAKUR,22-Feb-2023 10:30 AM,Rejected-Finance,Rejected due to higher rates bidder L3,09-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,327008.0,Sunil Walia,22-Feb-2023 02:48 PM,Rejected-Finance,Rejected due to higher rates bidder L6,09-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
