Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
350.0,Executive Engineer RB MC Shimla,Shimla,No,Executive Engineer RB MC Shimla,Executive Engineer RB MC Shimla,1.0,DD - Demand Draft,Channelization of Nallah from Talland bus stand to dytron via Mohan Dhaba in ward No 34 under AMRUT,Channelization of Nallah from Talland bus stand to dytron via Mohan Dhaba in ward No 34 under AMRUT,Please refer Tender Documents ,NA ,"9,08,000",Civil Works,NA ,Tender,120.0,120.0,Shimla,171001.0,NA ,NA ,NA ,MC Shimla,No ,No,"18,100",No,fixed,,Executive Engineer RB MC Shimla,Shimla,Municipal Corporation Shimla,2249Dated01092020,2020_MC_40959_28,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form in shape of DD as per E procurement notice,22-Sep-2020 05:00 PM,28-Sep-2020 11:30 AM,22-Sep-2020 05:00 PM,28-Sep-2020 10:30 AM,NA ,NA ,22-Sep-2020 05:00 PM,28-Sep-2020 10:30 AM,05-Oct-2020 06:05 PM,EE,Internal,AGM AO,Rajesh Thakur,05-Oct-2020 06:00 PM,05-Oct-2020 06:05 PM,techsummary_60538.pdf (1722.34 KB),Municipal Corporation Shimla,2020_MC_40959_28,2249Dated01092020,Channelization of Nallah from Talland bus stand to dytron via Mohan Dhaba in ward No 34 under AMRUT,14-Aug-2023,"INR 798,098.7",90.0,Rajesh Thakur,14-Aug-2023 12:39 PM,2020_MC_40959_28.pdf (510.00 KB),AOC,EE,Internal,AGM AO,Rajesh Thakur,14-Aug-2023 12:36 PM,finsummary_60538.pdf (314.77 KB),Finance,BOS,Rajesh Thakur,04-Jul-2023 12:03 PM,finance_60538.pdf,BOQ Comparative Chart,1.0,179729.0,mukul thakur,INR,"798,098",1,179496,BABU RAM,25-Sep-2020 05:07 PM,Rejected-Finance,Rejected,14-Aug-2023,Technical,bos,Rajesh Thakur,05-Oct-2020 05:41 PM,technical_60538.pdf
,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money in shape of FDR and exemption shall not be allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,179686,BILAL AHMED BUTT,27-Sep-2020 11:54 PM,Rejected-Finance,Rejected,14-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with HPPWD in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,179536,Devinder Thakur,27-Sep-2020 03:24 PM,Rejected-Finance,Rejected,14-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax GST and EPF registration PAN permanent Account no and GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,179673,Kaku Ram,26-Sep-2020 07:03 PM,Rejected-Finance,Rejected,14-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor has to deposit FDR on account of 10 percent performance guarantee at the time of award,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,179570,Lokesh Bali,26-Sep-2020 08:30 AM,Rejected-Finance,Rejected,14-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Schedule of Quantity (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,179782,Mandeep Thakur,27-Sep-2020 01:39 PM,Rejected-Finance,Rejected,14-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,179729,mukul thakur,26-Sep-2020 08:09 PM,Accepted-AOC,Accepted,14-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,179345,Prem Prakash Negi,26-Sep-2020 01:44 PM,Rejected-Finance,Rejected,14-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,179308,Sandeep,27-Sep-2020 07:20 AM,Rejected-Finance,Rejected,14-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,179617,SUNIL SHARMA,26-Sep-2020 01:19 PM,Rejected-Technical,document not submitted,05-Oct-2020,,,,,
